,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1999583402738922,0.2624583494097077,7.49504294647134,5.111454071172254
"(5, 'split1')",0.0817889450624761,0.1373015190163097,8.110106462155118,5.087026471163242
"(5, 'split2')",0.1626058869298277,0.2262376614891447,7.907568453480273,5.039407937060392
"(5, 'split3')",0.2113171173233351,0.2559852788382338,7.659338159780915,4.743688309948339
"(5, 'split4')",0.2835960050329253,0.2917754382723996,7.184415863574098,4.803492413531374
"(5, 'mean')",0.1878532589244913,0.234751649405159,7.671294377092349,4.9570138405751205
"(10, 'split0')",0.2715530738971153,0.2861401440430348,7.221451856491981,4.762652805248759
"(10, 'split1')",0.2440915353897724,0.2444126638895843,7.411056153571655,4.936259037530366
"(10, 'split2')",0.2786227147366718,0.2889186809579592,7.249036308215072,4.846063461990944
"(10, 'split3')",0.2677812999008097,0.3039660383823939,7.435698848454803,4.763932884994104
"(10, 'split4')",0.3241759946944977,0.331714373946867,6.993950620917894,4.727891910632279
"(10, 'mean')",0.2772449237237734,0.2910303802439678,7.262238757530282,4.807360020079291
"(15, 'split0')",0.2731267508540689,0.3214581352076871,7.266349143188258,4.653430589452013
"(15, 'split1')",0.3241758621404014,0.3308297769886182,6.854901870159357,4.7414721311993056
"(15, 'split2')",0.2475532723315497,0.298329856126461,7.5320064014762655,4.882309577121264
"(15, 'split3')",0.2067036855119238,0.2988673439403793,7.779023337479197,4.764049162974986
"(15, 'split4')",0.3454811794731139,0.3648428080723819,6.985480005298739,4.604673704707554
"(15, 'mean')",0.2794081500622115,0.3228655840671055,7.283552151520364,4.729187033091025
"(20, 'split0')",0.2684170816333205,0.3148708121168047,7.359771693107901,4.715137846368868
"(20, 'split1')",0.2360410224069646,0.3006589760276746,7.129198466850032,4.768432217263663
"(20, 'split2')",0.2116204935623941,0.2713599846749049,7.76143494338457,4.971909755505076
"(20, 'split3')",0.2269591400753142,0.3048410104399936,7.795340466924315,4.813538979448853
"(20, 'split4')",0.3944574219289087,0.3993443653455804,6.608951913973092,4.454411357087474
"(20, 'mean')",0.2674990319213804,0.3182150297209916,7.330939496847982,4.744686031134786
"(30, 'split0')",0.3076418454715632,0.3668363328090079,7.263713719206931,4.674280075502118
"(30, 'split1')",0.2565848810095428,0.3254638709652728,6.784144978394347,4.6175096307109325
"(30, 'split2')",0.158711779435958,0.254706814586482,8.199639589579833,5.132710756785975
"(30, 'split3')",0.3725258335143225,0.3825449900741934,6.993085641480455,4.756760316058607
"(30, 'split4')",0.4242510063402991,0.4397250606126341,6.414359503138293,4.239018745462453
"(30, 'mean')",0.3039430691543371,0.353855413809518,7.130988686359972,4.6840559049040165
"(40, 'split0')",0.390864046239213,0.4449623260157791,6.933175715370099,4.435372494711734
"(40, 'split1')",0.4038778592328615,0.4097888074487278,6.174512330220753,4.374934249268487
"(40, 'split2')",0.2870647331365,0.3780777795416603,7.376412113002765,4.732723642360282
"(40, 'split3')",0.405350476961845,0.4055215047128223,6.721631643940024,4.688034012634319
"(40, 'split4')",0.4360285714576114,0.4559534342510495,6.478429744853018,4.235325476331964
"(40, 'mean')",0.3846371374056062,0.4188607703940078,6.736832309477332,4.493277975061358
"(50, 'split0')",0.4196740667331076,0.4565462318956379,6.582651037779431,4.373241879318977
"(50, 'split1')",0.41909474130547597,0.42400533902071175,6.176210652239795,4.250987203920978
"(50, 'split2')",0.33484828779251563,0.4023343329309237,7.167495404153344,4.63082751327908
"(50, 'split3')",0.3902449010527842,0.39157892994139437,6.663506691703449,4.68883728725376
"(50, 'split4')",0.4612012015355047,0.4846258120957062,6.407021076225571,4.181860915486486
"(50, 'mean')",0.4050126396838776,0.4318181291768748,6.599376972420319,4.425150959851856
