,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2984035769134318,0.3076878966358506,7.018778025754285,4.710859494212482
"(5, 'split1')",0.1013174147958834,0.2137645976254017,8.023400286506128,4.982672058790285
"(5, 'split2')",0.1102977510159989,0.2502260145741959,8.1508021741696,4.995653616293128
"(5, 'split3')",0.1851245447842517,0.2530997480677859,7.785484686429307,4.742711363803656
"(5, 'split4')",0.1559496254591847,0.2517803531485875,7.798240900068706,4.831714700674406
"(5, 'mean')",0.1702185825937501,0.2553117220103643,7.755341214585604,4.852722246754792
"(10, 'split0')",0.2841217079294511,0.3229491071556162,7.158881265106521,4.612651891449722
"(10, 'split1')",0.2698194180395952,0.2973089552394716,7.283844058780127,4.631234216595032
"(10, 'split2')",0.216426183757773,0.2766866032008213,7.555078846146091,4.803814707880792
"(10, 'split3')",0.2058648084071757,0.292567707514012,7.743701525442995,4.789494208429601
"(10, 'split4')",0.2617059284595022,0.2998093812352339,7.310051647106299,4.645273691034563
"(10, 'mean')",0.2475876093186994,0.297864350869031,7.410311468516406,4.696493743077943
"(15, 'split0')",0.2695951533607079,0.3298308040005601,7.283979951389436,4.646501804463843
"(15, 'split1')",0.3826254848179917,0.4044460170230003,6.551771486736987,4.369063196272357
"(15, 'split2')",0.1691015831659229,0.249437970018077,7.914924331839211,4.966086915894751
"(15, 'split3')",0.1833569412475824,0.2816079224991053,7.892661797780114,4.852579095378024
"(15, 'split4')",0.284442674489233,0.3542455662810106,7.30394342261768,4.542445889483969
"(15, 'mean')",0.2578243674162875,0.3239136559643507,7.3894561980726845,4.675335380298589
"(20, 'split0')",0.2780334507190278,0.3459627040917948,7.311241037567068,4.608064211325567
"(20, 'split1')",0.3851898532032664,0.3892140991169386,6.395524969337692,4.348648974151826
"(20, 'split2')",0.1647563386606274,0.2576491958156141,7.988789033920574,5.01824883625212
"(20, 'split3')",0.1986605203778838,0.2963493686285406,7.936739627230667,4.849395285760423
"(20, 'split4')",0.3641730148103766,0.3873509060749041,6.772199247986962,4.412223669297607
"(20, 'mean')",0.2781626355542365,0.3353052547455585,7.280898783208592,4.647316195357508
"(30, 'split0')",0.2783963517828454,0.3517209795122092,7.415538150008299,4.699972738186086
"(30, 'split1')",0.3411813669774172,0.3603686185864952,6.386491853039985,4.383145745911284
"(30, 'split2')",0.1476580303838649,0.2604529618336472,8.253331639054132,5.119482308331247
"(30, 'split3')",0.3148271885221467,0.3732286828009747,7.307536316678362,4.708364177999867
"(30, 'split4')",0.4123078317933594,0.4384133140445297,6.480546853157631,4.196711101854122
"(30, 'mean')",0.2988741538919267,0.3568369113555712,7.168688962387682,4.62153521445652
"(40, 'split0')",0.3507812199256543,0.4322444355087515,7.157652786796148,4.461802369229385
"(40, 'split1')",0.3991689822204149,0.4062041877483661,6.198851157482609,4.248048405987971
"(40, 'split2')",0.2422651789705563,0.3434161840468347,7.604641508349047,4.811588126830773
"(40, 'split3')",0.4040191961806412,0.423390296192572,6.7291515156858805,4.4704827167164085
"(40, 'split4')",0.4075991313466494,0.4579509363709239,6.639708993406743,4.186239240556571
"(40, 'mean')",0.3607667417287832,0.4126412079734896,6.866001192344086,4.4356321718642215
"(50, 'split0')",0.3693910504342647,0.4255352973107481,6.861908274967339,4.417968481819588
"(50, 'split1')",0.4213243212568817,0.4365361187871761,6.164346760751653,4.215438157531119
"(50, 'split2')",0.24992995658205086,0.3501892167713706,7.611284872376077,4.8130682998724845
"(50, 'split3')",0.4064970385226969,0.4202391646998307,6.574103891474072,4.447252263564211
"(50, 'split4')",0.43002341200664107,0.45931870123810553,6.589786616538035,4.161408258772756
"(50, 'mean')",0.375433155760507,0.4183636997614462,6.760286083221436,4.411027092312032
