,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1828045197031806,0.2492259029473079,7.574968001592461,5.22431973318256
"(5, 'split1')",0.1479440166194102,0.180777023135037,7.8124879758872146,4.990404136755905
"(5, 'split2')",0.0907959634656792,0.1314906523703232,8.239648514262738,5.193169791412638
"(5, 'split3')",0.2067357576568578,0.2224948041873142,7.681552013119781,4.89712403813071
"(5, 'split4')",0.3166934112663703,0.3185297545384128,7.016495771890535,4.740227842534147
"(5, 'mean')",0.1889947337422996,0.220503627435679,7.665030455350546,5.009049108403191
"(10, 'split0')",0.2788882111502629,0.2993968453740851,7.185001456871819,4.8455462602054045
"(10, 'split1')",0.3189641168127307,0.3309513595481291,7.03445567118496,4.689353672191432
"(10, 'split2')",0.2786562571812129,0.2876372511677487,7.248867774196975,4.856809467013264
"(10, 'split3')",0.2819276032461802,0.3109273374865067,7.363520502144656,4.677129850962017
"(10, 'split4')",0.356999939234253,0.362778688655326,6.821992879891851,4.621565502715787
"(10, 'mean')",0.303087225524928,0.3183382964463591,7.130767656858052,4.738080950617581
"(15, 'split0')",0.3089130027112083,0.3336056393079051,7.08521901544799,4.633384621670493
"(15, 'split1')",0.3999692477622669,0.4134606518255743,6.459087190959753,4.551037504427289
"(15, 'split2')",0.2573696641628855,0.293426832757333,7.482713970158645,4.868071069153036
"(15, 'split3')",0.2317003575195334,0.2978908310466568,7.65548432566221,4.642674573323039
"(15, 'split4')",0.4068408794476714,0.4134191737500397,6.6499869134260745,4.429595973001487
"(15, 'mean')",0.3209586303207131,0.3503606257375017,7.066498283130935,4.624952748315069
"(20, 'split0')",0.3578457525713205,0.3862445697872513,6.895285354844978,4.459501193387649
"(20, 'split1')",0.4641260834364591,0.484988683804386,5.97086146465633,4.232897411807374
"(20, 'split2')",0.2749644644417723,0.3206357877722841,7.443102585173038,4.8286166416246665
"(20, 'split3')",0.2585311202931607,0.3138706438355548,7.634495214213537,4.663104715793321
"(20, 'split4')",0.4710452377870008,0.4718664287983654,6.176884988323931,4.193545770270879
"(20, 'mean')",0.3653025317059427,0.3955212227995683,6.824125921442362,4.475533146576778
"(30, 'split0')",0.3836151151068845,0.4160883744448751,6.853608674563884,4.440593721687298
"(30, 'split1')",0.4365345988277809,0.500116728824402,5.906266684341565,4.230105102685872
"(30, 'split2')",0.2330950686210947,0.3276036176260837,7.828762619758863,4.934352090762304
"(30, 'split3')",0.439130150918955,0.4399348120485467,6.611529937186157,4.517606971296739
"(30, 'split4')",0.5183896577038356,0.5189563786855647,5.866574707302108,3.846188104288896
"(30, 'mean')",0.4021529182357101,0.4405399823258945,6.613348524630515,4.393769198144222
"(40, 'split0')",0.4844124375445786,0.5059551436645405,6.378613772319538,4.080579458706926
