,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2610143028070448,0.2672641979969321,7.203371961046928,4.921231876373136
"(5, 'split1')",0.0690769369736293,0.1703180355504244,8.166052948858937,5.0899683061784025
"(5, 'split2')",0.0347161259728757,0.1613007993297852,8.489957846137187,5.204020261437525
"(5, 'split3')",0.2218422718482166,0.253382275083756,7.608058686078301,4.7096749076946
"(5, 'split4')",0.155613179628497,0.239646376002879,7.7997949685892385,4.815636332697514
"(5, 'mean')",0.1484525634460527,0.2183823367927553,7.853447282142119,4.948106336876236
"(10, 'split0')",0.2470076499515154,0.2725997074039681,7.342109288977915,4.757739653533816
"(10, 'split1')",0.2801126427576704,0.3206195584935921,7.232322319418735,4.594259928149502
"(10, 'split2')",0.200752632857797,0.2518097934117724,7.630265514434042,4.925968154834387
"(10, 'split3')",0.239354569809732,0.2966247376236525,7.578661579856715,4.684236903625748
"(10, 'split4')",0.2994356836047518,0.3525927642092137,7.120815954434664,4.429711036852671
"(10, 'mean')",0.2533326357962934,0.2988493122284398,7.380834931424414,4.678383135399225
"(15, 'split0')",0.2722298142794671,0.3230906878506789,7.270830973396594,4.622538543430784
"(15, 'split1')",0.3911110768610798,0.404854359662929,6.50658981945997,4.400045921267759
"(15, 'split2')",0.1903351130152074,0.2736349862159101,7.813137265207823,4.922002646724594
"(15, 'split3')",0.2090848114555973,0.2936393357183254,7.767339963819002,4.701932602677585
"(15, 'split4')",0.3169860126868877,0.3762031932427109,7.135920173927627,4.438478553511072
"(15, 'mean')",0.2759493656596479,0.3342845125381109,7.298763639162203,4.616999653522358
"(20, 'split0')",0.307692317952344,0.3604472875198645,7.15949086611282,4.506371464158973
"(20, 'split1')",0.4677412335586445,0.4706665131593883,5.950686859482476,4.148640443924871
"(20, 'split2')",0.1883330853967901,0.2824668637220517,7.8752306100900755,4.987278052661901
"(20, 'split3')",0.2352568855740242,0.302652656833729,7.75339037748777,4.707540058174175
"(20, 'split4')",0.4162940333841408,0.4359357406653757,6.488694325979943,4.180705885875518
"(20, 'mean')",0.3230635111731887,0.3704338123800819,7.045498607830616,4.506107180959088
"(30, 'split0')",0.3441906971888321,0.408496352734815,7.069392582645849,4.454959313969892
"(30, 'split1')",0.4795263934626477,0.4940742120453786,5.6764756766359765,4.039434704472977
"(30, 'split2')",0.1571220199332553,0.3018470192103146,8.207383251183016,5.117746237200067
"(30, 'split3')",0.3645964538108244,0.4062586237782526,7.037132671413694,4.500905917712572
"(30, 'split4')",0.4435488000279907,0.4527344296091066,6.3059459632993,4.052884518921966
"(30, 'mean')",0.35779687288471,0.4126821274755735,6.859266029035567,4.433186138455495
"(40, 'split0')",0.4240322872443913,0.4759123532454352,6.741773527607829,4.236086014281691
"(40, 'split1')",0.5020402874166474,0.5071654873086736,5.6432870276982525,3.952019314930673
"(40, 'split2')",0.3290834193934283,0.3949232518394981,7.155737251389529,4.512444422182059
"(40, 'split3')",0.4637262286918135,0.4745806921015396,6.383185265588403,4.250109463725671
"(40, 'split4')",0.4785573353561209,0.5015461357510503,6.229375110592762,3.9185916611278935
"(40, 'mean')",0.4394879116204803,0.4708255840492394,6.4306716365753545,4.173850175249598
"(50, 'split0')",0.4415544909421993,0.4892406863331582,6.457363653014968,4.117198822384946
"(50, 'split1')",0.5034064247749175,0.5060980169456344,5.7104455435150525,3.9243004682387386
"(50, 'split2')",0.3768943496349973,0.4513014973712136,6.937259034835412,4.412781524229697
"(50, 'split3')",0.4985476798690583,0.4993801471075327,6.042823929879511,4.133275535264958
"(50, 'split4')",0.4861035616219492,0.4891937980771981,6.257208797330351,3.8982185786830494
"(50, 'mean')",0.4613013013686243,0.4870428291669474,6.28102019171506,4.097154985760279
"(5, 'split0')",0.2595505801800887,0.2664476079584614,7.210502357947487,4.92587967336249
"(5, 'split1')",0.0687368385304573,0.1699490478498089,8.167544483655899,5.08990401420642
"(5, 'split2')",0.0347533192041833,0.1613528214659337,8.48979428181366,5.203829420715016
"(5, 'split3')",0.2214109860007237,0.2527166807583029,7.610166737824135,4.711793066343235
