,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.109063164,0.26615995,7.909358888,5.349149392
"(5, 'split1')",0.109227171,0.176575372,7.988013264,5.05966601
"(5, 'split2')",0.023718032,0.129216237,8.538186608,5.630489043
"(5, 'split3')",0.289018294,0.309686497,7.272257521,4.509569154
"(5, 'split4')",0.044042065,0.147446861,8.299116379,5.835446343
"(5, 'split5')",0.115565099,0.221462745,8.086132661,5.167161122
"(5, 'split6')",0.350269584,0.351757087,6.892811034,4.543211891
"(5, 'split7')",0.154738348,0.243486867,7.779116441,5.150869625
"(5, 'split8')",0.13081002,0.236911244,7.886788843,4.77991775
"(5, 'split9')",0.290087073,0.29411858,7.194051989,4.819847962
"(5, 'mean')",0.161653885,0.237682144,7.784583363,5.084532829
"(10, 'split0')",0.305938065,0.327486485,7.048953993,4.67116568
"(10, 'split1')",0.274370393,0.27453684,7.261109681,4.879195936
"(10, 'split2')",0.246957073,0.274441771,7.406429789,4.878834757
"(10, 'split3')",0.34891002,0.389930069,7.011676813,4.406736989
"(10, 'split4')",0.383303036,0.395872485,6.681002896,4.37813285
"(10, 'split5')",0.271761673,0.287705779,7.336751611,4.89793213
"(10, 'split6')",0.357233769,0.373602085,6.864415439,4.693529221
"(10, 'split7')",0.27786496,0.338211371,7.07988258,4.750116331
"(10, 'split8')",0.226926903,0.227900949,7.466462919,4.892295357
"(10, 'split9')",0.306364731,0.319002542,7.184607741,4.399179809
"(10, 'mean')",0.299963062,0.320869038,7.134129346,4.684711906
"(15, 'split0')",0.278826833,0.335574962,7.237801999,4.802715543
"(15, 'split1')",0.452144469,0.452341835,6.171879208,4.2772798
"(15, 'split2')",0.280427484,0.335492956,7.365633156,4.717138381
"(15, 'split3')",0.223242109,0.272264967,7.697508783,4.78953738
"(15, 'split4')",0.417786652,0.443644958,6.588343941,4.24256881
"(15, 'split5')",0.401893661,0.412251642,6.764272322,4.426306455
"(15, 'split6')",0.331768593,0.332533265,7.09773565,4.657608428
"(15, 'split7')",0.33141818,0.365819406,6.887752205,4.521848466
"(15, 'split8')",0.283756519,0.296660187,7.191402677,4.522695427
"(15, 'split9')",0.304595732,0.309991506,7.196860979,4.547577475
"(15, 'mean')",0.330586023,0.355657568,7.019919092,4.550527617
"(20, 'split0')",0.260902401,0.358944603,7.397474211,4.900371856
"(20, 'split1')",0.473068835,0.483697253,5.920830498,4.106996868
"(20, 'split2')",0.284213301,0.374263081,7.395476653,4.726865409
"(20, 'split3')",0.316894694,0.370095977,7.327868927,4.472550254
"(20, 'split4')",0.463855067,0.469930986,6.218725002,4.01498932
"(20, 'split5')",0.39038597,0.396801787,6.772378686,4.385979713
"(20, 'split6')",0.357782857,0.358421954,6.899609579,4.541898969
"(20, 'split7')",0.338114768,0.381067455,6.927541588,4.484897191
"(20, 'split8')",0.403288864,0.425686743,6.397181096,4.295428855
"(20, 'split9')",0.300279503,0.314847935,7.256892103,4.46167442
"(20, 'mean')",0.358878626,0.393375777,6.851397834,4.439165285
"(30, 'split0')",0.426100554,0.474677809,6.613193287,4.220771673
"(30, 'split1')",0.442934929,0.467875151,5.872626626,4.10539719
"(30, 'split2')",0.269642385,0.359330912,7.639943387,4.824403477
"(30, 'split3')",0.388491723,0.399825804,6.903543914,4.457865451
"(30, 'split4')",0.478268882,0.490020943,6.106046026,3.904962877
"(30, 'split5')",0.419178551,0.441013037,6.488786252,4.293479745
"(30, 'split6')",0.438198347,0.452119845,6.6398123,4.301277971
"(30, 'split7')",0.395302326,0.424021196,6.790356879,4.375009488
"(30, 'split8')",0.45030985,0.470588035,6.237296678,4.036859651
"(30, 'split9')",0.406459102,0.455129485,6.387265725,4.353790176
"(30, 'mean')",0.411488665,0.443460222,6.567887108,4.28738177
"(40, 'split0')",0.50888977,0.535816214,6.22536157,3.893076658
"(40, 'split1')",0.48357027,0.501411781,5.746992814,4.065087443
"(40, 'split2')",0.408186615,0.466950592,6.720669125,4.252189351
"(40, 'split3')",0.48020102,0.480417267,6.28437197,4.249796265
"(40, 'split4')",0.419284856,0.446452394,6.573895228,4.184185133
"(40, 'split5')",0.355840452,0.429863114,6.748934235,4.502563951
"(40, 'split6')",0.495482224,0.50012037,6.254281349,4.112101831
"(40, 'split7')",0.451010164,0.462257275,6.53168985,4.169157257
"(40, 'split8')",0.470343446,0.47180194,6.243278658,3.97369017
"(40, 'split9')",0.396546152,0.444263177,6.396772471,4.286749135
"(40, 'mean')",0.446935497,0.473935413,6.372624727,4.16885972
"(50, 'split0')",0.385477389,0.426503596,6.773821947,4.383758442
"(50, 'split1')",0.530729547,0.53189364,5.551125567,3.809565547
"(50, 'split2')",0.446566512,0.506863197,6.537922731,4.190660485
"(50, 'split3')",0.511590018,0.515184615,5.963721904,4.019304211
"(50, 'split4')",0.481123677,0.48685302,6.287453268,3.892475155
"(50, 'split5')",0.367841102,0.423496049,6.57359616,4.319346675
"(50, 'split6')",0.444648369,0.449193604,6.312149033,4.146808193
"(50, 'split7')",0.452712453,0.466290873,6.486049241,4.145446617
"(50, 'split8')",0.492094213,0.496181528,6.179173208,4.017014267
"(50, 'split9')",0.440312919,0.46353299,6.31523619,4.125552709
"(50, 'mean')",0.45530962,0.476599311,6.298024925,4.10499323
