,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1815640106205931,0.3047891844023261,7.580715251440724,5.256311359550136
"(5, 'split1')",0.0018931928397659,0.1162536350639675,8.455587838128785,5.247131497454455
"(5, 'split2')",0.1767908762713909,0.260266107722127,7.84030749595699,4.957529763817714
"(5, 'split3')",0.2449736944555371,0.2567817523018191,7.494127505978845,4.6857084773303175
"(5, 'split4')",0.231105525238111,0.2727538190983221,7.442962548126734,5.1131633714519085
"(5, 'split5')",0.192893331518145,0.2061747014465051,7.724553650612786,4.963616480650683
"(5, 'split6')",0.3164146850283582,0.3313453260598497,7.070109430970846,4.94173641837484
"(5, 'split7')",0.1542418946075625,0.2957645478921256,7.781400585236674,5.206437488815719
"(5, 'split8')",-0.0157667491183834,0.086999680732636,8.525892530000382,5.954761593038065
"(5, 'split9')",0.3569831841045777,0.3750688277899774,6.846714126792343,4.7740714830897
"(5, 'mean')",0.1841093645565658,0.2506197582509656,7.676237096324511,5.110046793357354
"(10, 'split0')",0.2699207328043055,0.3088895910277495,7.2295384279804065,4.971864545114665
"(10, 'split1')",0.2015337245205606,0.2321436342861942,7.616821683720041,4.879121751264894
"(10, 'split2')",0.2352205909404667,0.2672549974054,7.4639227632418255,4.94393711237643
"(10, 'split3')",0.24074374069735,0.2713736728801744,7.571737941804272,4.740428158001959
"(10, 'split4')",0.3631132299158963,0.3843951822149589,6.789485553123891,4.655081159949551
"(10, 'split5')",0.3342713107923157,0.3352967872213508,7.014806353747336,4.737374729962127
"(10, 'split6')",0.337302508190633,0.3559794847509106,6.970030794992125,4.840390382080165
"(10, 'split7')",0.3507369639947939,0.3897729981278146,6.713162882477346,4.394011302841471
"(10, 'split8')",0.0994692724105589,0.1357172266458531,8.05849425804081,5.53646131047293
"(10, 'split9')",0.3342274509121292,0.3349962506883242,7.038829091610995,4.614073324936464
"(10, 'mean')",0.276653952517901,0.301581982524873,7.246682975073905,4.8312743777000655
"(15, 'split0')",0.3415001404337107,0.3740593212636696,6.9161557027368605,4.532628121371641
"(15, 'split1')",0.2450849868741517,0.330957952101459,7.244917155862792,4.576848648093215
"(15, 'split2')",0.2661281076811175,0.3151868254800773,7.438458231459093,4.722899169730096
"(15, 'split3')",0.2440835699206578,0.3330298586532577,7.593539363039023,4.534419920873255
"(15, 'split4')",0.4525705557116967,0.4575163493809809,6.388505319931494,4.185680214739549
"(15, 'split5')",0.4103045074284169,0.4110667736245047,6.716542773665522,4.465865547345375
"(15, 'split6')",0.3915428967139457,0.3926033105382919,6.7728485024030665,4.638080421377753
"(15, 'split7')",0.4247266305978552,0.440766232019802,6.389065903778482,4.174723716891419
"(15, 'split8')",0.2462206858386185,0.2482233750046255,7.377434694113778,4.867161729137772
"(15, 'split9')",0.3778844713651916,0.3818021919266345,6.807065955876552,4.383859501707299
"(15, 'mean')",0.3400046552565362,0.3685212189993303,6.964453360286666,4.508216699126737
"(20, 'split0')",0.3905483844705683,0.4102036852792745,6.717415009264662,4.394071280457767
"(20, 'split1')",0.3587675345434233,0.4099323639784364,6.531507604828003,4.108763240620988
"(20, 'split2')",0.2630733142902749,0.335548187555396,7.503890709079423,4.804002969267763
"(20, 'split3')",0.2713999111803841,0.3395364594848968,7.567953817238022,4.5235866098016455
"(20, 'split4')",0.5159566476552295,0.5164430144576567,5.908842027357428,3.9182514506365824
"(20, 'split5')",0.4189387932869935,0.4265794846859789,6.611875970123509,4.160850038113882
"(20, 'split6')",0.4158924434966502,0.4160422947707303,6.580061939912324,4.476881280416229
"(20, 'split7')",0.4080549870914104,0.4420660050980981,6.551314958414093,4.179554766377554
"(20, 'split8')",0.3848205479323134,0.4226519173578468,6.495423678614722,4.566876061999507
"(20, 'split9')",0.403544137079729,0.4118890146476876,6.700041980762868,4.302821984215094
"(20, 'mean')",0.3830996701026977,0.4130892427316002,6.716832769559505,4.343565968190701
"(30, 'split0')",0.4406071156946309,0.45975763417087,6.529076876872047,4.166969347946043
"(30, 'split1')",0.3286511514757964,0.443238397243027,6.446938835050244,4.192237880877368
"(30, 'split2')",0.287663030812354,0.3831244398368105,7.545101763813892,4.675785423045643
"(30, 'split3')",0.3164737938664524,0.3560783651438561,7.29875030967017,4.536314956962932
"(30, 'split4')",0.5320141886153351,0.5337839265432961,5.782998055880634,3.7234852582373534
"(30, 'split5')",0.4601871264194359,0.4758705113072609,6.255525000592935,4.175037299908092
"(30, 'split6')",0.4981569467191478,0.512026436712751,6.275498852136143,4.115591138849379
"(30, 'split7')",0.4303327270269808,0.4576940196105749,6.590738581442537,4.199174081263109
"(30, 'split8')",0.4750165086375834,0.496082290182338,6.095512804001721,4.103604553438569
"(30, 'split9')",0.4290929767088601,0.4923894132044201,6.26429717714113,4.222572398615084
"(30, 'mean')",0.4198195565976577,0.4610045433955204,6.5084438256601445,4.211077233914358
"(40, 'split0')",0.5662767508324196,0.5779874966922103,5.850344512380144,3.735074326422317
"(40, 'split1')",0.4863364374121117,0.5144391504338995,5.73158075547694,3.816291272224086
"(40, 'split2')",0.3704274544530018,0.4202151834943717,6.931751954866209,4.437096419585514
"(40, 'split3')",0.4955140193064922,0.4993664567404615,6.191112878974348,4.244903753927429
"(40, 'split4')",0.5257246117077797,0.5350045851381909,5.9409581931633815,3.763818934638336
"(40, 'split5')",0.4343642224854429,0.4975314144511099,6.324219104260042,4.315782400478655
"(40, 'split6')",0.5382139717611435,0.5424357364650534,5.983558924571864,3.887894260377012
"(40, 'split7')",0.4780724682264262,0.4875699198119905,6.368666477652829,4.086569060598123
"(40, 'split8')",0.4944535500893091,0.502644689669487,6.099525853602458,3.989048676256972
"(40, 'split9')",0.4461604804792519,0.4981285135923733,6.1281705560545765,4.131852032359284
"(40, 'mean')",0.4835543966753378,0.5075323146489148,6.154988921100279,4.040833113686772
"(50, 'split0')",0.5321184067093662,0.5567444761356508,5.910617067603664,3.838491640468243
"(50, 'split1')",0.5749439780344663,0.5770315644557928,5.283145029105324,3.645112212991823
"(50, 'split2')",0.4474147076765189,0.4921785029835848,6.532910782203864,4.104171984965474
