,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0968570299571502,0.2862668608599747,7.963355015639652,5.515738164186496
"(5, 'split1')",0.0028939349991649,0.1151941545013203,8.451347818279823,5.273014379258969
"(5, 'split2')",0.1588565551470113,0.2523814620403672,7.925251277434388,5.0294677034713455
"(5, 'split3')",0.2292105416541626,0.2411761702196651,7.571953176221064,4.725773282544198
"(5, 'split4')",0.2361639928290421,0.2727227461725255,7.418438953325954,5.067555564973283
"(5, 'split5')",0.2010318768851824,0.2189573542037681,7.685509297825584,4.906641618964549
"(5, 'split6')",0.3120222529649623,0.3263407449159504,7.092787835374138,4.947422595659408
"(5, 'split7')",0.1685121759278192,0.3026880423961051,7.715474424874049,5.140475658273916
"(5, 'split8')",-0.0023666905340475,0.0914528642119676,8.469468771595121,5.874700451266898
"(5, 'split9')",0.3409047786704824,0.3682155111928094,6.931785434419156,4.876352672934342
"(5, 'mean')",0.174408644850093,0.2475395910714453,7.722537200498893,5.13571420915334
"(10, 'split0')",0.2742674789976002,0.3105083348034616,7.207984684218723,4.960944571951078
"(10, 'split1')",0.1924816590827253,0.2264793817287466,7.659875258868293,4.903894668099083
"(10, 'split2')",0.2418732259192975,0.2693935049341044,7.431388408216033,4.9067064737865405
"(10, 'split3')",0.2297624738468947,0.2558494090657535,7.626297113910425,4.785463359831393
"(10, 'split4')",0.3653564198467651,0.3870889745095063,6.777518323964638,4.691532771805602
"(10, 'split5')",0.3275138817162695,0.3292342619627162,7.050318099050471,4.77933120523621
"(10, 'split6')",0.3346295859071857,0.3555644314245912,6.984073101434355,4.869622565284076
"(10, 'split7')",0.3498882036403109,0.3884099202477772,6.717549398611372,4.394330711578878
"(10, 'split8')",0.1182203504409475,0.1509937870710864,7.97415491436734,5.424729961713893
"(10, 'split9')",0.3355777592183917,0.335639768499543,7.031687453257255,4.539392359326073
"(10, 'mean')",0.2769571038616388,0.3009161774247286,7.24608467558989,4.825594864861283
"(15, 'split0')",0.3416083658821911,0.3727184879014287,6.915587339054784,4.550448158957212
"(15, 'split1')",0.2173275070809183,0.3182321935211901,7.376909031538881,4.639525936088489
"(15, 'split2')",0.254506434035941,0.301763494332301,7.497124989916679,4.767919030147764
"(15, 'split3')",0.2391010967309422,0.3218750573925961,7.618523914629088,4.530550547785191
"(15, 'split4')",0.449664118214415,0.4532828261607732,6.405441942150239,4.213108471250527
"(15, 'split5')",0.4073910228065746,0.4083685534625388,6.733114405529857,4.459810960484238
"(15, 'split6')",0.4110830946528647,0.4134106022541726,6.663208285771027,4.579294589920504
"(15, 'split7')",0.4224967874149218,0.4394176859673578,6.40143640188571,4.1937715039419565
"(15, 'split8')",0.2416695837989755,0.2444294768843119,7.399672589304953,4.888476602440768
"(15, 'split9')",0.3749574270199298,0.3794334454574594,6.823060736389063,4.453685928699993
"(15, 'mean')",0.3359805437637674,0.365293182333413,6.9834079636170285,4.527659172971664
"(20, 'split0')",0.3872061788798007,0.4069110554584547,6.73580882879946,4.433861395176253
"(20, 'split1')",0.3667497453594762,0.428107189470242,6.49072743452037,4.095108478558426
"(20, 'split2')",0.2615858053162891,0.3318250700713854,7.51146030718296,4.776023476885702
"(20, 'split3')",0.2801988797611533,0.3496383370306868,7.522117660432238,4.493315332253647
"(20, 'split4')",0.5001939245436307,0.5012467594018779,6.004281079096149,3.9885861733825534
"(20, 'split5')",0.4302530356498744,0.4346683644205264,6.547187330800035,4.19128894948138
"(20, 'split6')",0.4280858096058457,0.4283127135807589,6.511019644253051,4.422334044361165
"(20, 'split7')",0.4047495914927554,0.4366078956431007,6.569580626299298,4.15528662137338
"(20, 'split8')",0.4146133026821168,0.4493106371953843,6.336187176628859,4.473961851931329
"(20, 'split9')",0.39804013952954,0.4028384857894918,6.730884439894003,4.323940122525608
"(20, 'mean')",0.3871676412820483,0.4169466508061908,6.695925452790642,4.335370644592944
"(30, 'split0')",0.4410843987651965,0.4605451219217824,6.526290925412161,4.164477771952496
"(30, 'split1')",0.3332330691535444,0.4342327229496443,6.424901173934244,4.221605353093296
"(30, 'split2')",0.2998377989796,0.3913479161158077,7.480346065008369,4.604322926127791
"(30, 'split3')",0.3016385657474708,0.3466577072626475,7.377531047382868,4.603137615804154
"(30, 'split4')",0.5406977649109058,0.5421117766922728,5.729094457245173,3.6947081071768166
"(30, 'split5')",0.4638256809385214,0.4792614870803505,6.234406985109053,4.160564452794644
"(30, 'split6')",0.5004602630521773,0.5135962017430798,6.261080915551981,4.114748959603034
"(30, 'split7')",0.4224417534519932,0.4487354600714101,6.636228714888537,4.2151492597818665
"(30, 'split8')",0.4839760850727913,0.5048849267700403,6.043274746732182,4.067661377227026
"(30, 'split9')",0.436921409521819,0.501464182234615,6.22120005158037,4.233196097569665
"(30, 'mean')",0.4224116789594019,0.4622837502841651,6.4934355082844935,4.20795719211308
"(40, 'split0')",0.567034424094724,0.576924790183645,5.845232281057693,3.746349740635481
"(40, 'split1')",0.467449758756508,0.5018335235247987,5.836000613910089,3.889077479262056
"(40, 'split2')",0.3711974584879031,0.4165852966795187,6.927511688972835,4.429919034172086
"(40, 'split3')",0.4889991411720255,0.492408616836187,6.230960330825557,4.244913106438113
"(40, 'split4')",0.5253041326758108,0.5342609843199159,5.943591151759144,3.724546110223192
"(40, 'split5')",0.450311674509533,0.5029272986537171,6.234429649531097,4.26247402193821
"(40, 'split6')",0.5405311189057611,0.545121377736395,5.968527912304276,3.875778973342052
"(40, 'split7')",0.4808425078319748,0.4905420606803595,6.351743699233365,4.07458223961981
"(40, 'split8')",0.4966550828853132,0.5042113052626738,6.086230381558281,3.9614335582085154
"(40, 'split9')",0.4452222856073934,0.4976113007942555,6.1333588689074805,4.141938700728215
"(40, 'mean')",0.4833547584926947,0.5062426554671465,6.155758657805981,4.035101296456773
"(50, 'split0')",0.5444936228158932,0.572792407430017,5.831926934058177,3.7999259815023017
"(50, 'split1')",0.5618666971751949,0.5647050067576931,5.363800035520173,3.6661348778935094
"(50, 'split2')",0.44475550635417316,0.4942320686717047,6.548611050740166,4.111881102180043
"(50, 'split3')",0.45725409948206286,0.4632896668352039,6.286709515501903,4.227052934784082
"(50, 'split4')",0.5352980038237465,0.5364450219078597,5.9501801166794595,3.6964937522661225
"(50, 'split5')",0.4836238087957989,0.5090953275228494,5.941183927054117,3.9571852947194386
"(50, 'split6')",0.46654930127714744,0.47577097107624644,6.186433692338432,4.026858565297382
"(50, 'split7')",0.49735192338309175,0.5117098830807119,6.215906463718333,3.949781790060162
"(50, 'split8')",0.5561012885499509,0.5593726408688364,5.776712190103759,3.63734108275144
"(50, 'split9')",0.48197622566186593,0.5036569801678628,6.075636779919819,3.9577987736612257
"(50, 'mean')",0.5029270477318926,0.5191069974318985,6.017710070563433,3.9030454155115706
