,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1410430846670316,0.1512909256865295,7.766109592524716,5.234111717140612
"(5, 'split1')",-0.1196133229801061,0.0069205787617903,8.955489428298216,6.582904092053836
"(5, 'split2')",0.0298691627141132,0.0350341090945997,8.511246395055398,5.604169876568519
"(5, 'split3')",0.090616352560721,0.1453344381543811,8.224577677949055,5.910401135693212
"(5, 'split4')",0.1844388791282601,0.1844546156400238,7.665504107317575,5.168964406419153
"(5, 'split5')",0.0631630987083726,0.0729415404425193,8.322233956021133,5.676494976755719
"(5, 'split6')",0.0821165527820427,0.0906211586971331,8.192633794693007,5.624230969239052
"(5, 'split7')",0.1693564351296237,0.1721183586160887,7.71155643930133,5.249317726454608
"(5, 'split8')",-0.0894422351246315,0.0147513465917869,8.829679947293991,6.308056674820619
"(5, 'split9')",0.0646365242791945,0.1116157027082497,8.257740546371139,5.779126243173174
"(5, 'mean')",0.0616184531864622,0.0985082774393102,8.243677188482557,5.71377778183185
"(10, 'split0')",0.162862038926415,0.177067315224033,7.74148150860125,5.158412635291654
"(10, 'split1')",-0.0164199632669881,0.0997820450125196,8.593737678187514,6.545789469472748
"(10, 'split2')",0.1102647874308718,0.1276866355628587,8.050621945821957,5.646995047519708
"(10, 'split3')",0.1956622540173628,0.2416390981143371,7.793285903774047,5.095016635494559
"(10, 'split4')",0.1691914249426661,0.2667903325741903,7.754543561857935,5.183545550884541
"(10, 'split5')",0.0547381466627177,0.0952195405083497,8.358784258362002,5.958829577432635
"(10, 'split6')",0.1622782165532944,0.2067558275749091,7.83658661009153,5.302097264133159
"(10, 'split7')",0.1460021863655864,0.1748479167390877,7.699193327961501,5.45619164929313
"(10, 'split8')",0.121119590569546,0.1427022480292772,7.961034842527656,5.242293467164832
"(10, 'split9')",0.1231958742667318,0.1957791962236361,8.077719541819922,5.562883753233229
"(10, 'mean')",0.1228894556468204,0.1728270155563199,7.986698917900531,5.51520550499202
"(15, 'split0')",0.1236016459401369,0.2447149950553034,7.978802135344595,5.402608119055561
"(15, 'split1')",0.1108078100518725,0.3346363127051344,7.862890222943115,5.691045797523598
"(15, 'split2')",0.1205589698065309,0.244718258085802,8.142844913138726,5.581182955354618
"(15, 'split3')",0.1739764055082363,0.2171050311413241,7.937862694490013,5.2202894104184105
"(15, 'split4')",0.1487130300113032,0.3034231340330307,7.966603034289264,5.226232698260396
"(15, 'split5')",0.1177258493017698,0.12351610261258,8.215493537925978,5.528792474195625
"(15, 'split6')",0.1680233127291412,0.193851084371092,7.919758834839522,5.230911444910528
"(15, 'split7')",0.2027442664685448,0.2418838865063605,7.52140645510623,5.050186023158649
"(15, 'split8')",0.2162637321369845,0.216630360282114,7.522604656852854,4.846100598524711
"(15, 'split9')",0.0796127149536094,0.2425035486106782,8.279607377940025,5.499224714751497
"(15, 'mean')",0.1462027736908129,0.2362982713403419,7.934787386287032,5.32765742361536
"(20, 'split0')",0.2175388233924592,0.3084612827747307,7.611389787313887,4.980596924091112
"(20, 'split1')",0.2598256044311851,0.3307854375226088,7.017343154901555,4.7277916487706495
"(20, 'split2')",0.1940043870555785,0.2298444953294581,7.847669366259379,5.278262396387575
"(20, 'split3')",0.2333356534821782,0.2711534138675631,7.763123527207034,4.927058115228128
"(20, 'split4')",0.2138261860477278,0.3138418488792895,7.530425846954465,5.014749151769793
"(20, 'split5')",0.2363135732880592,0.275530222179,7.580036436563583,5.05736068032334
"(20, 'split6')",0.1655590978734581,0.2083304584263937,7.864685518806673,5.303716308140613
"(20, 'split7')",0.283798638563167,0.2888541359157487,7.206184331383738,4.950455214325818
"(20, 'split8')",0.263299896412247,0.3442844770862303,7.108073978629164,4.789425071949167
"(20, 'split9')",0.1667837573787375,0.2957938622270912,7.918943268320893,5.01589936006297
"(20, 'mean')",0.2234285617924797,0.2866879634208114,7.544787521634037,5.0045314871049165
"(30, 'split0')",0.2836803313875259,0.31846782892158,7.388337936175294,4.799408603968486
"(30, 'split1')",0.2539716696198192,0.3569400232708473,6.796058142601956,4.852308932883429
"(30, 'split2')",0.1643203858467616,0.3288664021173069,8.172261662229506,5.365376265525318
"(30, 'split3')",0.2047773063645119,0.2961694472826489,7.872547765724281,5.093464916048549
"(30, 'split4')",0.2820378020659687,0.3673169051291849,7.162876981445449,4.7302119484925145
"(30, 'split5')",0.2987176458388991,0.3245533400079425,7.129984750213042,4.751899932512931
"(30, 'split6')",0.2295000776981121,0.2929420336353129,7.775898726321736,5.184320509083411
"(30, 'split7')",0.2538278996927687,0.2948129361577609,7.542979962816076,4.932101169348703
"(30, 'split8')",0.3152078054546554,0.3641712349944079,6.961724379642192,4.4084559949433615
"(30, 'split9')",0.3294585780871542,0.3643697520857019,6.78894773189331,4.525081160173578
"(30, 'mean')",0.2615499502056176,0.3308609903602694,7.359161803906285,4.864262943298028
"(40, 'split0')",0.2755934972442463,0.3875068082577309,7.56077406037005,4.853787729048675
"(40, 'split1')",0.2873921732753151,0.4224237355180853,6.750879094553062,4.741744697805959
"(40, 'split2')",0.2578359910340247,0.3884967374452549,7.526101443471965,4.911884914525761
"(40, 'split3')",0.2487184216507456,0.387129603463256,7.55519262202185,5.070214701106296
"(40, 'split4')",0.3439111889141255,0.3624249170972262,6.987511212560241,4.446173488352192
"(40, 'split5')",0.3040651017418468,0.3353135531902145,7.014920919832411,4.801118412400767
"(40, 'split6')",0.2998563122937835,0.3461519172431619,7.36771412869108,4.97297335824222
"(40, 'split7')",0.292693995202604,0.370189441757053,7.413905995048824,4.734082503025997
"(40, 'split8')",0.3372412572876085,0.3812078727225533,6.98382384750227,4.46644519721016
"(40, 'split9')",0.3354898776472977,0.369317217720626,6.712583071684045,4.598809032865522
"(40, 'mean')",0.2982797816291598,0.3750161804415162,7.18734063957358,4.759723403458356
