,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1538309880199602,0.2103619014743816,7.708083009603187,5.260589715036555
"(5, 'split1')",0.0779007362933728,0.1036865824486427,8.127259639823603,5.2262768569882
"(5, 'split2')",0.1315271016521269,0.1657711697949634,8.05297115730091,5.119805542869401
"(5, 'split3')",0.1817776298700804,0.2112654482776698,7.801456853275214,5.429365252811956
"(5, 'split4')",0.1844585330171779,0.193398204907447,7.665411742766325,5.2233235600386045
"(5, 'split5')",0.0960898363968488,0.1400200657380541,8.174676232627968,5.136512843765181
"(5, 'split6')",0.2088432813776669,0.2254267306162303,7.606082537855267,5.1911968914888975
"(5, 'split7')",0.1793384316703627,0.1874767629609095,7.66508079443731,5.361878505308254
"(5, 'split8')",-0.3477050087855036,0.058770022739537,9.820651033657938,7.187400278814935
"(5, 'split9')",0.0900681978037758,0.1699472614055832,8.144706741065683,5.965639068502238
"(5, 'mean')",0.0956129727315869,0.1666124150363419,8.07663797424134,5.510198851562423
"(10, 'split0')",0.1945211665408691,0.2181715615444704,7.593685894025419,5.308727994505771
"(10, 'split1')",0.092826196977369,0.2319192082872204,8.11877956305662,6.178443969487413
"(10, 'split2')",0.1699949028726427,0.1859375325775362,7.775698688455116,5.5146787781972
"(10, 'split3')",0.2488232730415454,0.2704611621795694,7.531343330572513,4.9883210032440894
"(10, 'split4')",0.1563001595672172,0.2462127604209892,7.814473779653698,5.692376732765273
"(10, 'split5')",0.1395876899466527,0.1796093604049573,7.97481023905711,5.646236269484749
"(10, 'split6')",0.1975698644397999,0.2448483564535516,7.66974012044123,5.448577435123465
"(10, 'split7')",0.1045765746045523,0.1732227569230067,7.8837178237509,5.370147941271943
"(10, 'split8')",0.1410993412231005,0.1441274890198458,7.87002479432835,5.224719116445379
"(10, 'split9')",-0.0086799389051657,0.1650674549459607,8.663914739374261,6.616211604461632
"(10, 'mean')",0.1436619230308583,0.2059577642757108,7.889618897271522,5.598844084498691
