,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2274555528577742,0.2484297904230634,7.3651155068642336,5.158537668594788
"(5, 'split1')",0.1197076677299502,0.1263225517381431,7.940882249059709,5.388962903842527
"(5, 'split2')",0.0862209059222588,0.0975606441852597,8.260353197398198,5.526165725079965
"(5, 'split3')",0.1402798166994597,0.2341069126478119,7.996843517023668,5.457195893336087
"(5, 'split4')",0.216997071477206,0.2248778064005923,7.510937650226464,4.900251914361869
"(5, 'split5')",0.0782409351030977,0.1160597483405614,8.254991582834624,5.834970404209789
"(5, 'split6')",0.1993423790184534,0.2500942677202429,7.651616491204923,5.064492658245528
"(5, 'split7')",0.1662024187985573,0.198619948152292,7.726183248700835,5.591181421564997
"(5, 'split8')",-0.1339457197362599,0.0933461010706782,9.008220142863752,6.927915662446123
"(5, 'split9')",0.2124762102629117,0.2658429208042787,7.57709741328591,5.174499340598555
"(5, 'mean')",0.1312977238133409,0.1855260691482924,7.929224099946232,5.502417359228024
"(10, 'split0')",0.2075960655889207,0.2285077650080086,7.531801650344375,5.302527726110068
"(10, 'split1')",0.2111705964760952,0.2906322373961207,7.570717570357107,5.023616480137275
"(10, 'split2')",0.2209453551108583,0.2217994521148586,7.533260820729035,5.121168049160049
"(10, 'split3')",0.2174695338579449,0.2725190100222586,7.686913810525875,4.792794231581823
"(10, 'split4')",0.3142550195962353,0.3267314883811467,7.045098564047169,4.656992148446029
"(10, 'split5')",0.2298929817817043,0.2453404619202673,7.544710687323432,5.224105877602802
"(10, 'split6')",0.2674737424049609,0.2803599330234592,7.328053508279379,4.938388674013305
"(10, 'split7')",0.2165159852395739,0.2396398916372204,7.374488718887452,5.155594379669785
"(10, 'split8')",0.0655445049537986,0.0932322589796204,8.208880694255873,5.811177125248363
"(10, 'split9')",0.1038903597670931,0.1556603037286208,8.16616315809211,5.862412919829199
"(10, 'mean')",0.2054754144777185,0.2354422802211582,7.59900891828418,5.188877761179869
"(15, 'split0')",0.2128849797111467,0.242575652531484,7.561466259368128,5.383231713869673
"(15, 'split1')",0.2222728655376378,0.2595443531293656,7.353566400939202,5.087206736618244
"(15, 'split2')",0.2179152166605406,0.2393491458296039,7.678912512270115,5.182544604287632
"(15, 'split3')",0.2615788202078953,0.2997847901313676,7.505150897159409,4.637112506896325
"(15, 'split4')",0.1326628248762852,0.1800627420469634,8.041353698210926,5.3356481704529255
"(15, 'split5')",0.262990584910428,0.2774279801074462,7.508763031967157,4.796222422738949
"(15, 'split6')",0.2534755390616816,0.3042792493531934,7.502023146456407,4.976258367602403
"(15, 'split7')",0.240395905698272,0.2866751408344414,7.341653463971146,5.170988911119861
"(15, 'split8')",0.1154102011032939,0.1699521129798502,7.991977078723466,5.645394462978019
"(15, 'split9')",0.2319852888355484,0.3184167727281336,7.563263080533738,5.391614307652376
"(15, 'mean')",0.215157222660273,0.257806793967185,7.60481295695997,5.160622220421641
"(20, 'split0')",0.2316685911779252,0.2815890569922664,7.542353052987943,5.2359943299626455
"(20, 'split1')",0.2273543786736829,0.276147042774586,7.169615401157307,5.087230321846873
"(20, 'split2')",0.1724941673855773,0.2353436125628812,7.951698230855799,5.505375762324644
"(20, 'split3')",0.2406262264800196,0.2751263480552132,7.726123752805877,4.779326255762289
"(20, 'split4')",0.3515040704347291,0.3641842073038524,6.839334998405063,4.36705202215757
"(20, 'split5')",0.2284460354546217,0.2352150543792051,7.618981357929068,5.083345236664339
"(20, 'split6')",0.2001367250810091,0.2591109893669723,7.700012814091715,5.538676870339662
"(20, 'split7')",0.1791057022170541,0.2280665290497395,7.714919793142969,5.450609198244368
"(20, 'split8')",0.222969054234269,0.292752830574111,7.300048261480455,5.162432302054497
"(20, 'split9')",0.3263833910149446,0.3466520946025051,7.120242111791191,4.525274235883995
"(20, 'mean')",0.2380688342153833,0.2794187765661332,7.468332977464738,5.073531653524088
"(30, 'split0')",0.2806834486298696,0.2853403364591363,7.403777182700921,4.998063030372999
"(30, 'split1')",0.2963953982111194,0.3293192965739906,6.5999973522070245,4.620542695828684
"(30, 'split2')",0.2484407610839967,0.2603506112851688,7.750040437901896,5.089695105520288
"(30, 'split3')",0.3087778806183342,0.3170010699593507,7.339724104550201,4.822495350517784
"(30, 'split4')",0.3021561924275687,0.3057823515495558,7.061806572402211,4.730966374650347
"(30, 'split5')",0.3121987788337033,0.3470561998037076,7.061120398099712,4.943718898528872
"(30, 'split6')",0.2868737044350268,0.334666824459678,7.480790998921893,5.091732240088557
"(30, 'split7')",0.3628216585026574,0.3665746749742998,6.970339850440695,4.680344044759377
"(30, 'split8')",0.3039477663677744,0.3386250653284691,7.018726834416544,4.693931205681765
"(30, 'split9')",0.3263270932062032,0.36333830802181,6.804781745554983,4.747673123577937
"(30, 'mean')",0.3028622682316254,0.3248054738415167,7.149110547719607,4.841916206952661
"(40, 'split0')",0.3656332797518984,0.3903577140943016,7.075306949591101,4.79544918622452
"(40, 'split1')",0.3544169766933566,0.4025061039084895,6.4255615305897305,4.6301948482729065
"(40, 'split2')",0.287476851307937,0.2913633211461494,7.374279806566458,5.161581620028781
"(40, 'split3')",0.3570217053385831,0.4289284567926304,6.989439138522301,4.684746734871205
"(40, 'split4')",0.3302634214514918,0.3322195055843528,7.059813228281825,4.519904248976384
