,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0339485510566173,0.2678574071124182,8.236030623061053,5.487924700413284
"(5, 'split1')",0.1689069609583202,0.2042524519898399,7.715785027234544,5.065322674022547
"(5, 'split2')",0.0950155987744858,0.1523331836856135,8.22050608615787,5.331690668660839
"(5, 'split3')",0.2477535291356193,0.255361396278449,7.480318950015458,4.941211227301853
"(5, 'split4')",0.2327724044588103,0.2854811943933223,7.434890406036707,4.967729102421479
"(5, 'split5')",0.1803851564436285,0.2412619629253115,7.78417934975448,4.908582479788938
"(5, 'split6')",0.230510838292298,0.2658276624045136,7.501204874800812,4.989696167778357
"(5, 'split7')",0.1817028137225945,0.2685659618018849,7.6540310191543295,5.124473447656689
"(5, 'split8')",0.1102711150195498,0.2083107312198887,7.979426945723551,4.783495698904744
"(5, 'split9')",0.2536823777024701,0.2608745060976523,7.3762032980012116,5.081434293949504
"(5, 'mean')",0.1734949345564394,0.2410126457908894,7.738257657994001,5.068156046089824
"(10, 'split0')",0.2588129180523913,0.307068342152244,7.284327839612032,4.794309887619456
"(10, 'split1')",0.2504220150312478,0.2541692894714141,7.379958354535026,4.886759089364538
"(10, 'split2')",0.2218649146831927,0.2566258320244782,7.528813554089205,5.065632513609458
"(10, 'split3')",0.3068387420417298,0.3645923828040868,7.234666645174832,4.502726508034783
"(10, 'split4')",0.3748772375630282,0.386026104037414,6.726488613105794,4.46719455033888
"(10, 'split5')",0.2894440369079513,0.3187824079975505,7.247132379044824,4.81121160056914
"(10, 'split6')",0.3089140813417176,0.3309769589955693,7.117755334122985,4.854059853176045
"(10, 'split7')",0.2427839842031097,0.2991295333189828,7.249811939692212,4.813502461521319
"(10, 'split8')",0.1844415794283309,0.2269067086793442,7.668884036824474,4.787602617633801
"(10, 'split9')",0.3002298559883575,0.3153184256398768,7.21631001981124,4.456989260384828
"(10, 'mean')",0.2738629365241056,0.3059595985120961,7.265414871601264,4.743998834225225
"(15, 'split0')",0.3158262352186466,0.3692735293138062,7.04969173781216,4.679673374611622
"(15, 'split1')",0.4484226682481186,0.4498606086378461,6.192807742189033,4.307101049304801
"(15, 'split2')",0.2666470637510116,0.3557070763746957,7.435827720759106,4.774441683694924
"(15, 'split3')",0.2738618303562703,0.3362722696151053,7.442468225355323,4.524624665151927
"(15, 'split4')",0.3810413242449202,0.4216815299781483,6.793068777487511,4.350995957230722
"(15, 'split5')",0.3067824012034608,0.3419689573026607,7.282268216604053,4.674444209693006
"(15, 'split6')",0.4066074894949174,0.4068726426501592,6.688479630387663,4.3949752810882
"(15, 'split7')",0.3194596366246401,0.3572009111356523,6.949077852226857,4.582135663033608
"(15, 'split8')",0.3055500836425604,0.3083089335189665,7.081148974203161,4.606932877719554
"(15, 'split9')",0.376051434461861,0.3765117694225242,6.817086944632625,4.425241613031569
"(15, 'mean')",0.3400250167246407,0.3723658227949564,6.9731925821657486,4.532056637455994
"(20, 'split0')",0.3476205811382837,0.3919069195972512,6.949966156949131,4.520549381793143
"(20, 'split1')",0.4916114527942054,0.497918846706199,5.815721013817917,4.057979289062654
"(20, 'split2')",0.0251096755650377,0.2189128430460994,8.630823559693994,5.622740225065875
"(20, 'split3')",0.2368165155398606,0.3078305343342589,7.745480145014023,4.776165599742815
"(20, 'split4')",0.3612330150674913,0.4082573936450349,6.787838173203037,4.362279297017317
"(20, 'split5')",0.3232836584423197,0.3498896338081294,7.1353797150593365,4.533996304115538
"(20, 'split6')",0.3702211173863712,0.3795062623633694,6.832468158918312,4.4984918575164095
"(20, 'split7')",0.3334261853573685,0.4053387480085858,6.952034528090057,4.481585476828951
"(20, 'split8')",0.309605493674149,0.4420651931593427,6.881058295517032,4.763693517200752
"(20, 'split9')",0.3544311092809334,0.3748498763447186,6.970431521124279,4.364229099828288
"(20, 'mean')",0.3153358804246021,0.3776476251012989,7.07012012673871,4.598171004817174
"(30, 'split0')",0.3901388475059845,0.4287571631636418,6.817243373971938,4.480127228192393
"(30, 'split1')",0.4620522832841334,0.4912188120022376,5.770978548278557,4.064146885701234
"(30, 'split2')",0.1981805328105458,0.343017271732726,8.004987492249066,5.228026257927634
"(30, 'split3')",0.4256462259197621,0.4546557984356185,6.690532140101778,4.296763460330611
"(30, 'split4')",0.4393203588908185,0.4674138414658325,6.3298598821733,4.176718176147558
"(30, 'split5')",0.4006188830146976,0.4302006103945278,6.591642932803033,4.3151277467979945
"(30, 'split6')",0.4144434065133902,0.4180129200180557,6.778736208240495,4.449152147197575
"(30, 'split7')",0.3761579970407467,0.3938602866831327,6.897008431282748,4.474762811250915
"(30, 'split8')",0.3485637557531997,0.4192180458570246,6.790056427825316,4.360227125121199
"(30, 'split9')",0.4235376419240589,0.4752799080822373,6.29470144447856,4.177770693881207
"(30, 'mean')",0.3878659932657337,0.4321634657835035,6.696574688140478,4.402282253254833
"(40, 'split0')",0.5314101260882444,0.5389668104147065,6.080951502355238,3.902960542610913
