,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1502136139968787,0.3174444576107905,7.724541472623586,5.180832460137889
"(5, 'split1')",0.0167154910240622,0.1254058865696376,8.392568511975309,5.216732476505434
"(5, 'split2')",0.1931071643749737,0.2600449887860814,7.76221983211521,4.915873205950961
"(5, 'split3')",0.2357362857950228,0.2737385066086106,7.5398317847646625,4.627679780764508
"(5, 'split4')",0.2872895108994248,0.3044301309029354,7.165871876701826,4.879497603331501
"(5, 'split5')",0.2345685023615575,0.2480760866765294,7.522480851174454,4.819781338158905
"(5, 'split6')",0.320478772965119,0.3423980265273565,7.049061304058635,4.809925645572897
"(5, 'split7')",0.1670967427126359,0.2991750953824741,7.722038619106312,5.150349524668085
"(5, 'split8')",0.0155244453749475,0.0978716874569183,8.393543127616203,5.870893292135788
"(5, 'split9')",0.365460811654716,0.3853492673138813,6.801430335368432,4.726406234987201
"(5, 'mean')",0.1986191341159338,0.2653934133835215,7.607358771550463,5.019797156221317
"(10, 'split0')",0.2743802679801567,0.3300678752022839,7.207424551645835,4.795718119404268
"(10, 'split1')",0.2276450954527233,0.2643510575161588,7.491244192132529,4.633795304833023
"(10, 'split2')",0.2254100644878777,0.2632121070221703,7.511643500742937,5.000284609047495
"(10, 'split3')",0.2527648786390557,0.3021795024478728,7.511557953627106,4.7403012734516725
"(10, 'split4')",0.331752199100064,0.3709222761727963,6.9546379157223015,4.800109536850011
"(10, 'split5')",0.3470693193137354,0.3482134387127681,6.947052617614935,4.702184440901736
"(10, 'split6')",0.3431415864207098,0.3619525542423107,6.939256118579028,4.721425452565575
"(10, 'split7')",0.3286030731694971,0.3835787089417705,6.826632438438364,4.427624011782803
"(10, 'split8')",0.1397556840657022,0.1555293031831767,7.876178289821237,5.273903311849757
"(10, 'split9')",0.3524875645988539,0.3554603180941476,6.941631173299645,4.414979557860781
"(10, 'mean')",0.2823009733228376,0.3135467141535456,7.220725875162391,4.7510325618547125
"(15, 'split0')",0.333230366721171,0.3749880364284967,6.959448491290235,4.623740686903833
"(15, 'split1')",0.2391452158914723,0.3157497978314373,7.273363293311729,4.568405803788922
"(15, 'split2')",0.2122716720956745,0.2728788703294881,7.706568328975258,5.005765528736896
"(15, 'split3')",0.2320379906583856,0.3318135300564499,7.653802020288364,4.611519788347533
"(15, 'split4')",0.4453596711276388,0.4645939862985802,6.4304432034896495,4.166759452826354
"(15, 'split5')",0.4093610367635627,0.4170622125648526,6.721913620611368,4.368224266293696
"(15, 'split6')",0.4189048673819034,0.421207662688506,6.618811264326249,4.407065856435359
"(15, 'split7')",0.4109944731701234,0.4278827338537507,6.464871810760787,4.253405675960886
"(15, 'split8')",0.2464214754750944,0.2510393008100995,7.376452038406308,4.857614459420451
"(15, 'split9')",0.4207300416833811,0.4244389557653923,6.568480889431156,4.256381874667376
"(15, 'mean')",0.3368456810968407,0.3701655086627053,6.97741549608911,4.511888339338131
"(20, 'split0')",0.3796987394601536,0.4089519009208994,6.776943983232518,4.398237942795351
"(20, 'split1')",0.3473743723686329,0.4011004457212999,6.589276738294869,4.071363194948741
"(20, 'split2')",0.2140039983686517,0.2908437179572271,7.749693503620425,5.081435215056768
"(20, 'split3')",0.258379390058451,0.356658022936281,7.635276315435139,4.630941165677447
"(20, 'split4')",0.4926262462520644,0.4989827003682942,6.049566401925679,3.924515800642299
"(20, 'split5')",0.4229447535838351,0.428048671360115,6.589044707275791,4.22628092016358
"(20, 'split6')",0.4228097556707062,0.4250440761792197,6.540983603119702,4.469319153581617
"(20, 'split7')",0.3968060228689938,0.4477390831331546,6.613270610960356,4.1991845914453245
"(20, 'split8')",0.4263682959813772,0.4577826419479374,6.272246919182128,4.391495658388665
"(20, 'split9')",0.4069481921587936,0.4143870743771005,6.68089559654872,4.196492950020606
"(20, 'mean')",0.3767959766771659,0.4129538334901529,6.749719837959534,4.35892665927204
"(30, 'split0')",0.4294485953781359,0.4568939065363301,6.593874891963906,4.2402126294772176
"(30, 'split1')",0.3239998418184157,0.4288466291922318,6.469233465340404,4.093739311516366
"(30, 'split2')",0.2465540208388107,0.3324691135040378,7.759762324647904,4.953576962882254
"(30, 'split3')",0.3668548729797598,0.3818284356650939,7.024615474637389,4.513289476735778
"(30, 'split4')",0.5275544768707179,0.5383857722401648,5.810487513400548,3.75126725533064
"(30, 'split5')",0.4913317618810336,0.5065577431520332,6.072387193226095,4.130674659805553
"(30, 'split6')",0.4977800971268648,0.5080059176270703,6.277854643814513,4.103309443690525
"(30, 'split7')",0.4156370169464842,0.4294836777413247,6.675207947468504,4.362523867094004
"(30, 'split8')",0.4753302478350482,0.4999175194660015,6.093691139955947,4.066654335466417
"(30, 'split9')",0.4322185680599002,0.4825262419726414,6.247125812591489,4.196268918351135
"(30, 'mean')",0.420670949973517,0.4564914957096929,6.50242404070467,4.241151686034989
"(40, 'split0')",0.5559343584363582,0.5587453259190885,5.9196860711145805,3.846975415665754
"(40, 'split1')",0.4923254271684665,0.5178628578428301,5.698069499819495,3.8493314688370015
"(40, 'split2')",0.3639367491322535,0.4169031841000577,6.967392478059242,4.527826280053547
"(40, 'split3')",0.4929252909661338,0.4946735440004327,6.206977146878419,4.21454017361406
"(40, 'split4')",0.5260891192524311,0.5436875909251213,5.9386747726240365,3.750292864458721
"(40, 'split5')",0.4486290294571593,0.5021772842000162,6.243964431352758,4.290611790412148
"(40, 'split6')",0.5133069960379422,0.5186984285266893,6.142805006249931,4.033790063585195
"(40, 'split7')",0.4565379502216056,0.4615069085397869,6.4987228153107335,4.272769647280036
"(40, 'split8')",0.4963505781879144,0.4996107800751374,6.088071073169919,3.930050055060185
"(40, 'split9')",0.436638902826977,0.4719508283046359,6.180623654650214,4.122718610674758
"(40, 'mean')",0.4782674401687241,0.4985816732433796,6.188498694922933,4.08389063696414
"(50, 'split0')",0.5268618987733509,0.5314554203774469,5.943726330141931,4.000806295367931
"(50, 'split1')",0.5768180112066239,0.5768944267298883,5.271485711782675,3.638911507848273
"(50, 'split2')",0.38704209992957195,0.4428603309172545,6.880537875399363,4.482528451338255
"(50, 'split3')",0.462480227278665,0.4677952903900927,6.256368778354642,4.1505903881118105
"(50, 'split4')",0.5277644155827725,0.53740397656025,5.998217341036916,3.746321884165066
"(50, 'split5')",0.42101576192992507,0.4720391538254174,6.291051826863862,4.139570440219877
"(50, 'split6')",0.41059937223586407,0.4245640708796289,6.502771823971124,4.420881629420926
"(50, 'split7')",0.4400166783865125,0.4602277688743144,6.560848422785478,4.237636941393426
"(50, 'split8')",0.5737376408258298,0.5751512251259879,5.660793081088051,3.564814562090578
"(50, 'split9')",0.4143560390151044,0.4548005247758622,6.4600189393362175,4.233193520805365
"(50, 'mean')",0.47406921451642203,0.4943192188456143,6.1825820130760265,4.061525562076151
