,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1316294651778069,0.2960726355939918,7.808549432859984,5.351263768282054
"(5, 'split1')",0.0273888704408026,0.1332483148248084,8.346894304082062,5.186640795906541
"(5, 'split2')",0.1741174716275502,0.2541653478169279,7.853028033227543,4.995738940750555
"(5, 'split3')",0.2909019212376637,0.2987111063348363,7.26261781829747,4.583438025442206
"(5, 'split4')",0.2920872319815409,0.3112785079266248,7.141712060763196,4.807240661059836
"(5, 'split5')",0.2102379903327204,0.2308463030625437,7.641102852772967,4.875901045832232
"(5, 'split6')",0.3407319302163292,0.3507458315040573,6.943217894960377,4.782799858562511
"(5, 'split7')",0.1650720766849882,0.3014802964783341,7.731418495655275,5.1379723457410575
"(5, 'split8')",0.0045264024135613,0.093998526112157,8.440297036739823,5.8587471938552
"(5, 'split9')",0.3255761795304687,0.3494854974703421,7.011928520446937,4.911144871928698
"(5, 'mean')",0.1962269539643432,0.2620032367124624,7.618076644980564,5.049088750736089
"(10, 'split0')",0.2578444510975254,0.3103879048560203,7.2890852942453375,4.987044688204246
"(10, 'split1')",0.1811210097777831,0.2322142605733047,7.713568915088628,4.862331062766137
"(10, 'split2')",0.2285344451066744,0.2719932572710483,7.496478736473962,4.984336297097171
"(10, 'split3')",0.2949222535637494,0.3294416700904669,7.296589065133596,4.567005599735026
"(10, 'split4')",0.364810048585249,0.393476418924424,6.78043511434793,4.692429721339248
"(10, 'split5')",0.3494826976092381,0.3519639498160506,6.934201799143327,4.670039501105925
"(10, 'split6')",0.3374436023885112,0.3604856028086007,6.969288764678721,4.820693228139528
"(10, 'split7')",0.3573629221999227,0.3867981452988819,6.678819940221298,4.359777069149295
"(10, 'split8')",0.1106005524977266,0.1537841393784998,8.008534675559618,5.502177776174888
"(10, 'split9')",0.3627570215663828,0.3629042908676958,6.886364515724081,4.439237842351536
"(10, 'mean')",0.2844879004392763,0.3153449639884993,7.205336682061651,4.788507278606301
"(15, 'split0')",0.3232945262158981,0.3685286984630016,7.011109715038613,4.612557547046408
"(15, 'split1')",0.2519112269848234,0.3379324495440449,7.21208706855885,4.448453272652588
"(15, 'split2')",0.2696810238155604,0.333666045575418,7.420430369143997,4.782536377768763
"(15, 'split3')",0.2292548118412867,0.312322071182702,7.667658587528063,4.640116882870601
"(15, 'split4')",0.4660162946422633,0.4776746982554278,6.309561628418255,4.09860619267735
"(15, 'split5')",0.4214716365146729,0.4248876016913303,6.652642849217946,4.340362714613051
"(15, 'split6')",0.4277803209528964,0.4288583586645145,6.568070007826733,4.464326824234586
"(15, 'split7')",0.4226132526435475,0.4460013867370332,6.400790879635639,4.189232498159992
"(15, 'split8')",0.2860491251088877,0.2862833938219852,7.179884059454554,4.695889653796848
"(15, 'split9')",0.3822988346136933,0.3908555752579917,6.782872413836242,4.542731118741825
"(15, 'mean')",0.348037105333353,0.3807010279193449,6.920510757865888,4.4814813082562015
"(20, 'split0')",0.3534899677219985,0.3849002780959157,6.918631474717005,4.581983554627651
"(20, 'split1')",0.3146806283771125,0.4111426284286347,6.752307154528536,4.082841754801553
"(20, 'split2')",0.2521901025904943,0.331202838371675,7.559097772889716,4.819830444617245
"(20, 'split3')",0.2597749570237039,0.3484961299771896,7.628088976773499,4.594224883996382
"(20, 'split4')",0.4970362889097321,0.5012472276004767,6.023217904892992,3.90026586245386
"(20, 'split5')",0.4446319040528084,0.4536275819040141,6.464042765599771,4.0740977349682685
"(20, 'split6')",0.447149011421206,0.4474210737642031,6.401586448585,4.318321918220578
"(20, 'split7')",0.39459909702112,0.435772926210612,6.625357661700435,4.19127956515933
