,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0104074341664494,0.2765790564684253,8.335776018326456,5.563721435494769
"(5, 'split1')",0.1596834062718125,0.1804533051317723,7.758482171484274,4.8878201192289294
"(5, 'split2')",0.2112761692001392,0.2355182399836005,7.6743303494668815,4.767250263732923
"(5, 'split3')",0.2922677846168598,0.2959083995675488,7.255619826435431,4.599883574054788
"(5, 'split4')",0.2350256516084955,0.2982595547691522,7.423964727730376,4.937401969163576
"(5, 'mean')",0.1817320891727513,0.2573437111840998,7.689634618688684,4.951215472334996
"(10, 'split0')",0.2742650936388748,0.3235909236898287,7.207996529915679,4.804764180815369
"(10, 'split1')",0.2836755767981945,0.2860259557625644,7.214402675479669,4.735338649913209
"(10, 'split2')",0.2769231998969896,0.2942017963481109,7.25757039806707,4.823619882018328
"(10, 'split3')",0.3680662768086474,0.3816988557966517,6.907758568097624,4.407223925601787
"(10, 'split4')",0.3862733151676875,0.3977221312299449,6.664894177059858,4.400869169708585
"(10, 'mean')",0.3178406924620788,0.3366479325654201,7.05052446972398,4.634363161611455
"(15, 'split0')",0.3400225156142864,0.3573540939668967,6.923911024667134,4.458809589154271
"(15, 'split1')",0.4322075432412455,0.4365867816391332,6.283175664603848,4.208373920049649
"(15, 'split2')",0.3281408386894875,0.3471404293902674,7.117245119453098,4.556514604523401
"(15, 'split3')",0.3304422011413677,0.3732321078887132,7.146631554394413,4.34963197080422
"(15, 'split4')",0.4356812745086652,0.4392962229000883,6.4863057290042905,4.240215770135557
"(15, 'mean')",0.3732988746390105,0.3907219271570198,6.791453818424557,4.362709170933419
"(20, 'split0')",0.4181982360067499,0.4277549714633004,6.563267131722584,4.249113735728781
"(20, 'split1')",0.3751067998435917,0.4035767107350065,6.447755863134325,4.097563730312959
"(20, 'split2')",0.3337766564709331,0.3674541818859572,7.1348407022110125,4.530472984306114
"(20, 'split3')",0.3192376107396928,0.3561110266413747,7.31529156015953,4.470868545141602
"(20, 'split4')",0.4979521814151526,0.4985650577688152,6.017731292504882,3.986295313042752
"(20, 'mean')",0.388854296895224,0.4106923896988908,6.695777309946466,4.266862861706442
"(30, 'split0')",0.4364662716506324,0.4565163548436081,6.553197706469318,4.15616636574826
"(30, 'split1')",0.4253539719405075,0.4836788093603439,5.964576736453168,4.127470495705465
"(30, 'split2')",0.3473907456016251,0.4070151147025998,7.221858478349621,4.473986871870058
"(30, 'split3')",0.3822202041624762,0.3925462128681063,6.938854359834975,4.4102083922984905
"(30, 'split4')",0.5253729036010876,0.5255950586690974,5.8238873701804215,3.831207432147823
"(30, 'mean')",0.4233608193912658,0.4530703100887511,6.500474930257501,4.19980791155402
"(40, 'split0')",0.5420717701040081,0.5540563320750991,6.011374693827547,3.827636669564092
"(40, 'split1')",0.5224634782205239,0.5387631935264414,5.526349304575588,3.7957988320446616
"(40, 'split2')",0.4241489112102317,0.4553172642597868,6.629415192444851,4.233748138936164
"(40, 'split3')",0.4603146067975103,0.4730292144770677,6.4034570844827625,4.24843884756968
"(40, 'split4')",0.5113719568460708,0.5231146626839567,6.03018166962045,3.789074779996149
"(40, 'mean')",0.492074144635669,0.5088561334044703,6.120155588990239,3.978939453622149
"(50, 'split0')",0.5161762894000695,0.5339061680988177,6.010469772933145,3.8554070968547327
"(50, 'split1')",0.5583410776026605,0.5617767720209492,5.385337804220638,3.75249706327855
"(50, 'split2')",0.4602111819222622,0.47946469902455313,6.456824888497739,4.15928431721629
"(50, 'split3')",0.38388794324194053,0.4139813549326312,6.698151583110197,4.194451925678409
"(50, 'split4')",0.5259344583246612,0.5267069848696889,6.009827931757149,3.753942979612596
"(50, 'mean')",0.4889101900983189,0.503167195789328,6.112122396103773,3.9431166765281156
