,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1605712659017377,0.2766156603671945,7.677321720915081,4.970211936099922
"(5, 'split1')",0.1657635535821503,0.2295788188167115,7.730362796581208,4.912933218942684
"(5, 'split2')",0.1245236468008482,0.2163888274828032,8.085375953758948,5.0736844002109125
"(5, 'split3')",0.2852388536240346,0.3019238683209709,7.291560856482682,4.512442813707012
"(5, 'split4')",0.1971198787606672,0.2443649341019545,7.605675923378584,4.821960547814194
"(5, 'mean')",0.1866434397338876,0.2537744218179269,7.678059450223301,4.858246583354944
"(10, 'split0')",0.2995362456302592,0.3170293880838836,7.081388095337254,4.627566412556713
"(10, 'split1')",0.2954246187628667,0.3006447016596345,7.15499330624781,4.60244172939776
"(10, 'split2')",0.2582295103901102,0.2838845398219485,7.350786671350581,4.862674874093755
"(10, 'split3')",0.327409575935258,0.3431335558116588,7.126507130906837,4.45859428824629
"(10, 'split4')",0.3723756807073506,0.3788949503290185,6.739933886936013,4.348407942140168
"(10, 'mean')",0.3105951262851689,0.3247174271412288,7.090721818155698,4.5799370492869365
"(15, 'split0')",0.3071897170146275,0.3298929486324176,7.094047321091198,4.609389049175569
"(15, 'split1')",0.4371490618359634,0.4435610252225391,6.255774561889172,4.254377279720787
"(15, 'split2')",0.2780571926930206,0.3209810262695772,7.377754479834725,4.67009099279252
"(15, 'split3')",0.3047139683611082,0.3353381229088174,7.282644462839792,4.46554196520442
"(15, 'split4')",0.3834093729914003,0.4007947783076544,6.780061662365098,4.272853350043635
"(15, 'mean')",0.342103862579224,0.3661135802682012,6.958056497603996,4.454450527387387
"(20, 'split0')",0.3945604736304429,0.4026405194196842,6.695267746865285,4.267961572944274
"(20, 'split1')",0.4828073660979048,0.5014047615999958,5.86586212768277,4.111917489614847
"(20, 'split2')",0.3003431759248012,0.3515530671346979,7.311675277997924,4.656784034810399
"(20, 'split3')",0.3331394347694026,0.3624502219677495,7.24021364061129,4.434612237295113
"(20, 'split4')",0.4257633884298392,0.4325999638171822,6.4358466649677535,4.202956123064722
"(20, 'mean')",0.3873227677704782,0.4101297067878618,6.709773091625005,4.334846291545871
"(30, 'split0')",0.408738784658135,0.4438250469051859,6.712480070575396,4.2175547839877074
"(30, 'split1')",0.4173968209167549,0.4739313363115756,6.005730650807954,4.184139724711092
"(30, 'split2')",0.3015958942748068,0.3769105201806977,7.47094865168722,4.60971955487823
"(30, 'split3')",0.4200904733332673,0.4290084002233921,6.722813188791372,4.349720783616134
"(30, 'split4')",0.4786597082279114,0.4796830341495647,6.103758591159167,3.973062356676183
"(30, 'mean')",0.4052963362821751,0.4406716675540832,6.603146230604222,4.26683944077387
"(40, 'split0')",0.5065509533899769,0.5219575728215962,6.240167498894657,3.968803308857094
"(40, 'split1')",0.4975739311873063,0.5133084804816982,5.668538733671583,3.845967433890988
"(40, 'split2')",0.3847325619266921,0.4165321339969904,6.852548038806909,4.293510256079316
"(40, 'split3')",0.4984492616534005,0.500494552078282,6.173075780185982,4.148272311250402
"(40, 'split4')",0.4770475906261505,0.4850736220408085,6.238386617763625,3.960345626840165
"(40, 'mean')",0.4728708597567053,0.487473272283875,6.234543333864551,4.043379787383593
"(50, 'split0')",0.5307073706766771,0.5512320717421143,5.9195229694741816,3.782201859604035
"(50, 'split1')",0.5328137281634286,0.5411042559701292,5.538784681443855,3.774125084019182
"(50, 'split2')",0.3748466729786767,0.4068530654703984,6.948648445303474,4.21600044904422
"(50, 'split3')",0.483297854013082,0.48850111315482275,6.134020887154271,3.9713111015966316
"(50, 'split4')",0.47180593479438626,0.47341941292232087,6.343655673408362,3.9292722696487794
"(50, 'mean')",0.47869431212525004,0.49222198385195715,6.176926531356829,3.93458215278257
