,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0667758437031874,0.2645519532088988,8.094887371553531,5.435205833224483
"(5, 'split1')",0.0995363893913628,0.178513000592757,8.031346811228792,5.075701082814951
"(5, 'split2')",0.1849909261376098,0.2734897972662804,7.801160810954693,4.867220912069964
"(5, 'split3')",0.2571268792382035,0.281524842513192,7.433568688482381,4.625367687762966
"(5, 'split4')",0.1493877884303491,0.2091225812163632,7.8284948510549075,5.472188101356147
"(5, 'mean')",0.1515635653801425,0.2414404349594983,7.837891706654861,5.095136723445703
"(10, 'split0')",0.3563999499693696,0.3636865708629854,6.787871268458792,4.495239355059657
"(10, 'split1')",0.313326367694847,0.3203915480324257,7.06351196615559,4.834274163833048
"(10, 'split2')",0.2755864423034037,0.2883751304520167,7.264275863252743,4.796147244056079
"(10, 'split3')",0.3272419443610278,0.3713149809849869,7.1273951551341845,4.403110676595988
"(10, 'split4')",0.3778925141976271,0.3890049373681711,6.710246410665675,4.492474219175843
"(10, 'mean')",0.3300894437052551,0.3465546335401172,6.990660132733396,4.6042491317441225
"(15, 'split0')",0.3667079242881462,0.3911044435261412,6.782486617064838,4.406021174447073
"(15, 'split1')",0.1840773437432648,0.2844759145310174,7.531975330682539,4.498397597506876
"(15, 'split2')",0.3351190275811914,0.3669179502671599,7.0801874152356135,4.530392925347906
"(15, 'split3')",0.2995181110650114,0.377568373584436,7.309805335470721,4.4490577390411445
"(15, 'split4')",0.4248228709333996,0.4580166871839539,6.54841189510252,4.119297335172962
"(15, 'mean')",0.3220490555222027,0.3756166738185417,7.050573318711246,4.400633354303192
"(20, 'split0')",0.3946093886224242,0.4251897682879553,6.694997277587164,4.299764842474552
"(20, 'split1')",0.4266098845444531,0.4421858403795463,6.17633418663107,4.342938188016499
"(20, 'split2')",0.2830504357094807,0.358619839520764,7.401481550247997,4.723521900308807
"(20, 'split3')",0.3045790586235199,0.366785832039347,7.393630547585881,4.441566650275023
"(20, 'split4')",0.4894123440424833,0.4988936383952803,6.068696306054227,3.845734865626467
"(20, 'mean')",0.3796522223084723,0.4183349837245786,6.747027973621267,4.33070528934027
"(30, 'split0')",0.4220981728087376,0.4757130636389101,6.636213462336201,4.187271526017682
"(30, 'split1')",0.4570441973061778,0.48820364423171,5.797779110451775,4.1947918416796295
"(30, 'split2')",0.2890564569567696,0.3846093455041788,7.537718538583037,4.697539759785935
"(30, 'split3')",0.4285353080685445,0.446112958641317,6.673683756134201,4.322153876831732
"(30, 'split4')",0.5023311487001618,0.5102594609939849,5.963578398569476,3.747773433441411
"(30, 'mean')",0.4198130567680783,0.4609796946020202,6.521794653214937,4.229906087551277
"(40, 'split0')",0.4848293104401304,0.5279491155486863,6.376034570361472,3.9131187921570314
"(40, 'split1')",0.5332591660480762,0.5417307023473301,5.463525003681008,3.83690193580457
"(40, 'split2')",0.417293214831387,0.4907266934038469,6.668761115212257,4.1960797732911255
"(40, 'split3')",0.5151691405707262,0.5165746062810137,6.069309697794995,4.163344836735544
"(40, 'split4')",0.4713392970230647,0.4912384641652356,6.272341803486874,3.8654124545353215
"(40, 'mean')",0.4843780257826769,0.5136439163492226,6.169994438107321,3.994971558504718
"(50, 'split0')",0.5103541953324423,0.5522230474387114,6.046525132217503,3.8515220528104397
"(50, 'split1')",0.5550971405869419,0.5579785342212671,5.405078983183079,3.765046367098796
"(50, 'split2')",0.48853379725561896,0.533811239954912,6.285148410012628,4.022833327011852
"(50, 'split3')",0.5057553504339691,0.5126951635405174,5.999238202258396,4.071920118405913
"(50, 'split4')",0.4750797560207828,0.47924363410437854,6.323965679877369,3.8620692801991026
"(50, 'mean')",0.506964047925951,0.5271903238519573,6.011991281509795,3.9146782291052205
