,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.203257902,0.300915151,7.47957131,4.94983568
"(5, 'split1')",0.113996451,0.190262799,7.966600284,5.069942309
"(5, 'split2')",0.085795895,0.202784103,8.262273973,5.211249902
"(5, 'split3')",0.196604682,0.294920354,7.730448384,4.892947342
"(5, 'split4')",0.112060407,0.183328764,7.998419431,5.217687346
"(5, 'mean')",0.142343067,0.234442234,7.887462676,5.068332516
"(10, 'split0')",0.2969759302343584,0.3229523386777785,7.094318135941635,4.616132323213369
"(10, 'split1')",0.3406477431111199,0.3527463323865534,6.921564147239253,4.452916552096792
"(10, 'split2')",0.2251916982476686,0.2529366950862056,7.512702237556966,4.986770298967486
"(10, 'split3')",0.3254253765323609,0.3821587249480804,7.137011293014088,4.407690380500981
"(10, 'split4')",0.3523886710233862,0.3718963596768284,6.8464111046351945,4.434616300584247
"(10, 'mean')",0.3081258838297788,0.3365380901550893,7.102401383677427,4.579625171072576
"(15, 'split0')",0.3180152101045564,0.3675227815816268,7.038405159842595,4.525559599614093
"(15, 'split1')",0.4456655737814838,0.4493082675781482,6.208266021176397,4.32682338211781
"(15, 'split2')",0.2722410223712544,0.3531227255214678,7.40741347660293,4.678813941394693
"(15, 'split3')",0.2877229203369418,0.3634677638070187,7.37109215352091,4.408577081999336
"(15, 'split4')",0.3938303974207041,0.4384993776578028,6.722522452838489,4.226882591599472
"(15, 'mean')",0.3434950248029881,0.3943841832292128,6.949539852796264,4.433331319345081
"(20, 'split0')",0.3505836987341896,0.4197664617953587,6.934164766111522,4.367744291404422
"(20, 'split1')",0.4470960879884013,0.4638125806272964,6.064995975037047,4.25349656920117
"(20, 'split2')",0.2897377568187986,0.3880798501405075,7.366882154451485,4.667935130124048
"(20, 'split3')",0.2897023899891534,0.3546715571434045,7.472295529500173,4.478999210949745
"(20, 'split4')",0.4582954573122932,0.4634183732212953,6.250884696911808,4.015643363827941
"(20, 'mean')",0.3670830781685673,0.4179497645855725,6.817844624402406,4.356763713101465
"(30, 'split0')",0.395078608660528,0.4574359646513984,6.789578041578352,4.240241016155172
"(30, 'split1')",0.4576799727273072,0.4792638160594188,5.79438365438778,4.087683273648857
"(30, 'split2')",0.2642940032507154,0.3705085443296576,7.6678658734993395,4.759407503821205
"(30, 'split3')",0.3941069169788663,0.425247999965147,6.871774808426824,4.364578312797987
"(30, 'split4')",0.4893098937673704,0.4991505822710078,6.041091661666249,3.792264536771957
"(30, 'mean')",0.4000938790769575,0.4463213814553259,6.632938807911708,4.2488349286390354
"(40, 'split0')",0.489848941836816,0.5352163652443647,6.34489567974842,3.9096050655842745
"(40, 'split1')",0.5030369990412787,0.5118780774384546,5.637636422778042,3.8824020760680926
"(40, 'split2')",0.4185931552890309,0.4882911582293034,6.661318407459191,4.2053090310405175
"(40, 'split3')",0.4593958085987808,0.4602610501810683,6.408905613314685,4.303639059536965
"(40, 'split4')",0.4447250090563305,0.4571168548971092,6.428287010855273,3.934852005419441
"(40, 'mean')",0.4631199827644474,0.49055270119806,6.296208626831122,4.047161447529858
"(50, 'split0')",0.4963892921234011,0.5489855269461404,6.132143668094072,3.902738121716617
"(50, 'split1')",0.5299437223184673,0.5350307657149129,5.555771487961582,3.8163252306452717
"(50, 'split2')",0.45866439139827464,0.5205653523272511,6.466069439922928,4.071766610699206
"(50, 'split3')",0.5055256885424451,0.509907023559085,6.000631880850163,4.047431786753555
"(50, 'split4')",0.4601901963584927,0.46397682732556444,6.413029344733106,3.907138269353886
"(50, 'mean')",0.4901426581482161,0.5156930991745907,6.11352916431237,3.949080003833708
