,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0480808498461313,0.2919785705900856,8.17556652034858,5.33289817685909
"(5, 'split1')",0.173526484467631,0.2013924130543025,7.694311548102656,4.901233701544694
"(5, 'split2')",0.2213503104881437,0.2336575250986801,7.6251618405504065,4.855966711809264
"(5, 'split3')",0.2457515997519389,0.2681193192556567,7.490265902877194,4.61667641443031
"(5, 'split4')",0.2732307091497382,0.3144703969716542,7.236203099228345,4.8367675547896765
"(5, 'mean')",0.1923879907407166,0.2619236449940758,7.644301782221436,4.908708511886607
"(10, 'split0')",0.2063093023954776,0.3080383120419895,7.537914513629675,4.97243742469391
"(10, 'split1')",0.3430783835474058,0.3502463682205527,6.908794518380208,4.532450784128964
"(10, 'split2')",0.2506229255254824,0.278721384448139,7.388380353181298,4.9602561197791495
"(10, 'split3')",0.2882161163348328,0.3407403448482926,7.331206614404584,4.604331843025194
"(10, 'split4')",0.3490486240556578,0.3649735410792554,6.86404353702313,4.608921929264578
"(10, 'mean')",0.2874550703717713,0.3285439901276458,7.206067907323778,4.735679620178359
"(15, 'split0')",0.298205796237614,0.3473857722462634,7.139894704851971,4.816567733425685
"(15, 'split1')",0.4008136941087474,0.4116851343918606,6.454540529858443,4.604941211204051
"(15, 'split2')",0.2439515274494976,0.2913577821050123,7.550011648936099,4.924947333478535
"(15, 'split3')",0.263666849142977,0.3453888321408663,7.494532251234413,4.607864889046182
"(15, 'split4')",0.406713168150481,0.4373484027131621,6.650702769186034,4.26672698260487
"(15, 'mean')",0.3226702070178634,0.3666331847194329,7.057936380813392,4.644209629951865
"(20, 'split0')",0.3605540544149224,0.3972483956942601,6.880729470644055,4.482400881162462
"(20, 'split1')",0.4771713265594498,0.4874608161290077,5.897736760804423,4.099875158977979
"(20, 'split2')",0.223042364308612,0.2933138304081336,7.705006827829787,5.031513852153131
"(20, 'split3')",0.2755002846710012,0.3645759063774719,7.546628524937779,4.658966480712974
"(20, 'split4')",0.4710197102575663,0.490068385290617,6.177034035768282,4.035208587121174
"(20, 'mean')",0.3614575480423103,0.4065334667798981,6.841427123996864,4.461592992025544
"(30, 'split0')",0.4007117046527331,0.427679810114456,6.757891444801947,4.433597407020449
"(30, 'split1')",0.4819726283721293,0.506962570240151,5.6631201987156174,4.041983917612866
"(30, 'split2')",0.2571033796616492,0.3315218178740264,7.7052467487150915,4.942834434832496
"(30, 'split3')",0.3290211566115257,0.3563226264876993,7.231449122992793,4.550339296478419
"(30, 'split4')",0.5033557031387308,0.5168469120163364,5.957436605061667,3.882102385506516
"(30, 'mean')",0.3944329144873536,0.4278667473465338,6.663028824057423,4.370171488290149
"(40, 'split0')",0.50717495489501,0.5124049882504842,6.236220682362125,4.120927214728236
"(40, 'split1')",0.5110107509122879,0.5335567698384363,5.5922257051873085,3.904463080548568
"(40, 'split2')",0.3941559188947603,0.4464392913843091,6.7998691825459785,4.486852739861386
"(40, 'split3')",0.5077187306396042,0.508588460697615,6.115765535577392,4.201280379538416
"(40, 'split4')",0.5116803436213245,0.5307770906840017,6.028278461429903,3.797626456914784
"(40, 'mean')",0.4863481397925973,0.5063533201709693,6.154471913420542,4.102229974318279
"(50, 'split0')",0.4809379907034965,0.4846171659264611,6.225503265162806,4.19234078687592
"(50, 'split1')",0.5660727459441202,0.5674843511000233,5.3379918962793225,3.7313584264204724
"(50, 'split2')",0.408392697427042,0.4507086003376932,6.759644082735358,4.468946472261902
"(50, 'split3')",0.48252413948415873,0.48699175991287963,6.138611738748388,4.175456494805842
"(50, 'split4')",0.49635623468652434,0.5046563495606876,6.194475996586981,3.8785342161556544
"(50, 'mean')",0.4868567616490684,0.498891645367549,6.131245395902571,4.089327279303958
