,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1462126104892719,0.2973985677420405,7.742704640012198,5.024671150862539
"(5, 'split1')",0.2081870002931819,0.2568709563810857,7.531242130444958,4.776434257470854
"(5, 'split2')",0.1686500054696408,0.2259480012778222,7.878979265286684,5.020746691084838
"(5, 'split3')",0.3068514406874457,0.3133137234235256,7.180475404420857,4.613593744875622
"(5, 'split4')",0.2300258555324287,0.2863570750032492,7.448186361302831,4.792445830283034
"(5, 'mean')",0.2119853824943938,0.2759776647655446,7.556317560293505,4.845578334915378
"(10, 'split0')",0.2502685352242195,0.304554809084084,7.326194284858231,4.818589147234531
"(10, 'split1')",0.3225215725734157,0.3239348714414097,7.016059041203808,4.635195372868126
"(10, 'split2')",0.2526220973797272,0.2945581699867827,7.378518491299128,4.924880188111442
"(10, 'split3')",0.3528544608146561,0.3759174058171968,6.990405435975965,4.396907947642331
"(10, 'split4')",0.3816175283214287,0.4020281543919723,6.690126662340843,4.293886086212502
"(10, 'mean')",0.3119768388626894,0.3401986821442891,7.080260783135596,4.613891748413787
"(15, 'split0')",0.3182358110366036,0.3605820078672642,7.0372667148636445,4.571242874064873
"(15, 'split1')",0.4672838989924538,0.4706490724486584,6.086004991644765,4.150079356729963
"(15, 'split2')",0.2816722171703673,0.3662102756731333,7.3592597776810385,4.709314020060462
"(15, 'split3')",0.2448952893750482,0.3178904734188142,7.589461214328254,4.7743837168892345
"(15, 'split4')",0.4341103844993608,0.4500533725332939,6.495327396466199,4.1362405048910444
"(15, 'mean')",0.3492395202147667,0.3930770403882328,6.91346401899678,4.468252094527116
"(20, 'split0')",0.3927875281188172,0.4023021410656533,6.7050636611731536,4.386127944493464
"(20, 'split1')",0.5169716263059999,0.5273471599414323,5.668811380503962,3.8883086186417217
"(20, 'split2')",0.2555495740712485,0.3327818387388918,7.54209936296426,4.799562710402121
"(20, 'split3')",0.2788915494352665,0.3476708319861851,7.528945540476719,4.579296956201323
"(20, 'split4')",0.4471683429774687,0.4617151728046713,6.314757848871741,4.031722669300951
"(20, 'mean')",0.3782737241817601,0.4143634289073667,6.751935558797968,4.337003779807916
"(30, 'split0')",0.3989871421990006,0.4363331230500741,6.767607998220278,4.284079529863146
"(30, 'split1')",0.5002304910574331,0.5323711557351587,5.562426735545445,3.9162307390040025
"(30, 'split2')",0.2096289440013388,0.3225430850726004,7.947634263659809,5.088180763860096
"(30, 'split3')",0.4128348210401074,0.4248522786996277,6.764739355423275,4.369848078841248
"(30, 'split4')",0.4748979994093943,0.4918568036358445,6.125739717394598,3.854506963982977
"(30, 'mean')",0.3993158795414548,0.441591289238661,6.633629614048681,4.302569215110294
"(40, 'split0')",0.5022515273679997,0.5139279990045696,6.267293857023346,4.025576717872815
"(40, 'split1')",0.4871618667870772,0.5117622327473373,5.726973734836556,3.920764659112013
"(40, 'split2')",0.4096925408938356,0.4555944871658348,6.712112988001677,4.327324507378519
"(40, 'split3')",0.5679602175904465,0.5692136009142402,5.7293590632044,3.8706052645423337
"(40, 'split4')",0.4556536896061213,0.4726752750349052,6.36471327602743,3.951790970672402
"(40, 'mean')",0.4845439684490961,0.5046347189733774,6.160090583818682,4.019212423915617
"(50, 'split0')",0.463270731317429,0.49823242171530396,6.3305651526140805,4.087767970276763
"(50, 'split1')",0.5825384086128123,0.5853530743103494,5.23573561574989,3.614070858679766
"(50, 'split2')",0.5044234385343844,0.5430153074398679,6.186748268877069,4.028989931828712
"(50, 'split3')",0.5064575808197178,0.5148364676677826,5.994974782467981,3.9880784515362655
"(50, 'split4')",0.5177524512615785,0.5212937519390395,6.0614685721451105,3.771594714420559
"(50, 'mean')",0.5148885221091845,0.5325462046144687,5.961898478370825,3.898100385348413
