,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.144963358,0.299492633,7.74836709,5.062809026
"(5, 'split1')",0.173158089,0.218286893,7.696026203,4.917122711
"(5, 'split2')",0.170996121,0.256182868,7.867853953,4.975803871
"(5, 'split3')",0.328134705,0.350332001,7.069376967,4.382564537
"(5, 'split4')",0.093893174,0.226171298,8.079828908,5.229385927
"(5, 'mean')",0.18222909,0.270093139,7.692290624,4.913537214
"(10, 'split0')",0.29556643,0.328592289,7.101426309,4.655039366
"(10, 'split1')",0.306984763,0.307531262,7.096053666,4.691716792
"(10, 'split2')",0.248773821,0.287294341,7.397490234,4.90035299
"(10, 'split3')",0.367185669,0.404287513,6.912569916,4.312925832
"(10, 'split4')",0.412833686,0.428064952,6.519080151,4.257282564
"(10, 'mean')",0.326268874,0.351154071,7.005324055,4.563463509
"(15, 'split0')",0.320518429,0.373483295,7.025476082,4.550891117
"(15, 'split1')",0.466737477,0.468599429,6.089125488,4.112408185
"(15, 'split2')",0.257194528,0.359787361,7.483596253,4.763780267
"(15, 'split3')",0.251629808,0.337808243,7.555541523,4.646870534
"(15, 'split4')",0.429375884,0.455769147,6.52244229,4.099714191
"(15, 'mean')",0.345091225,0.399089495,6.935236327,4.434732859
"(20, 'split0')",0.360761287,0.382088604,6.879614419,4.49673642
"(20, 'split1')",0.505040186,0.509579269,5.738397855,3.958105923
"(20, 'split2')",0.246811241,0.337762448,7.586234675,4.82344798
"(20, 'split3')",0.261225065,0.346466848,7.620613567,4.633032688
"(20, 'split4')",0.447446904,0.464060688,6.31316671,4.005988691
"(20, 'mean')",0.364256937,0.407991571,6.827605445,4.38346234
"(30, 'split0')",0.399277372,0.451041983,6.765973761,4.308356056
"(30, 'split1')",0.478376956,0.507430266,5.682740311,4.007534413
"(30, 'split2')",0.239128789,0.352315772,7.797904923,5.009821336
"(30, 'split3')",0.420644937,0.436428808,6.719598511,4.374304148
"(30, 'split4')",0.485988392,0.509242006,6.060705294,3.811393716
"(30, 'mean')",0.404683289,0.451291767,6.60538456,4.302281934
"(40, 'split0')",0.502172844,0.519889081,6.267789202,3.973452576
"(40, 'split1')",0.493308178,0.503692376,5.692551698,3.90409627
"(40, 'split2')",0.396802362,0.451745458,6.785001361,4.355464173
"(40, 'split3')",0.54508981,0.54970302,5.879047971,3.961571012
"(40, 'split4')",0.45833795,0.479127495,6.349001163,3.883421313
"(40, 'mean')",0.479142229,0.500831486,6.194678279,4.015601069
"(50, 'split0')",0.460354776,0.487752195,6.347738278,4.110387214
"(50, 'split1')",0.573986603,0.574379114,5.28909143,3.62367613
"(50, 'split2')",0.499824146,0.561835315,6.215390613,3.98648751
"(50, 'split3')",0.500927107,0.507998138,6.028470068,4.067961739
"(50, 'split4')",0.497106422,0.504445229,6.189860879,3.89121666
"(50, 'mean')",0.506439811,0.527281998,6.014110253,3.935945851
