,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2630496800986831,0.2976235680639674,7.193445050933464,4.864762358244159
"(5, 'split1')",-0.0273273995517531,0.1029383908664775,8.578467934878443,5.343838898030028
"(5, 'split2')",0.1177926743009606,0.217965342253146,8.116398058717426,5.153655395166611
"(5, 'split3')",0.1866330072027797,0.2212207157128647,7.778275271132101,4.876329469620078
"(5, 'split4')",0.2016677959939062,0.2179776311427257,7.584104142806695,5.123243506894007
"(5, 'split5')",0.1203087909536404,0.1667216677558539,8.06441840492257,5.2364741045747065
"(5, 'split6')",0.2787621742948392,0.2812653945874556,7.2622136481095,4.849893793539917
"(5, 'split7')",0.1889943959515658,0.2696716322181027,7.619853411840383,5.08195541007947
"(5, 'split8')",0.0429397373789249,0.1170290122923135,8.275847898816767,5.66470410124394
"(5, 'split9')",0.2866135900349131,0.3068426817123845,7.21163014776507,4.635622469646092
"(5, 'mean')",0.165943444665846,0.2199256036605291,7.768465396992241,5.083047950703902
"(10, 'split0')",0.3119379249098533,0.3523450141957562,7.018420311277601,4.636621052356467
"(10, 'split1')",0.2848804099072685,0.3032143647421814,7.208332933212059,4.726069764044829
"(10, 'split2')",0.24816171307368,0.2852976367094527,7.400503400359362,4.845592655112708
"(10, 'split3')",0.1932606072728244,0.27565151538685,7.804912095145171,4.869274522045052
"(10, 'split4')",0.364907031590811,0.378280462133873,6.779917464409101,4.514497789627289
"(10, 'split5')",0.2030070275753642,0.274313063848147,7.675281207335693,4.944937652494325
"(10, 'split6')",0.3303422330668575,0.331138495394836,7.006538110872789,4.8516500662062905
"(10, 'split7')",0.282765673952973,0.3418330372331973,7.055818141949081,4.620324470252527
"(10, 'split8')",0.228845136248741,0.2358954402365432,7.457193866681955,4.840325839358032
"(10, 'split9')",0.2653343408670779,0.3186714014096704,7.394049403471705,4.552962133307534
"(10, 'mean')",0.271344209846545,0.3096640431290507,7.280096693471452,4.7402255944805045
"(15, 'split0')",0.3107696385642831,0.362060637562784,7.0756952371518285,4.588903493383163
"(15, 'split1')",0.401519809851741,0.4084767138774409,6.450736207080081,4.395415730021856
"(15, 'split2')",0.2305558144761746,0.2908653224409797,7.616603756868903,4.945320907039132
"(15, 'split3')",0.1819093265219961,0.2970720747929549,7.899654127208197,4.765697194508807
"(15, 'split4')",0.3741106430095197,0.4355064381336357,6.830995003194133,4.395909670393022
"(15, 'split5')",0.2937893191397495,0.3688014697640783,7.350197717123949,4.576320631059296
"(15, 'split6')",0.3115942720201267,0.3192005396216322,7.2040814795045005,4.811711426958238
"(15, 'split7')",0.3352696308392545,0.3875904798020932,6.867884663598619,4.495998324763927
"(15, 'split8')",0.2762369350156606,0.3052915583808328,7.229054093449185,4.522834582509166
"(15, 'split9')",0.2805891144210345,0.3273053180532168,7.320031335152922,4.586421351408918
"(15, 'mean')",0.299634450385954,0.3502170552429648,7.184493362033232,4.608453331204553
"(20, 'split0')",0.3247244776305706,0.3785607399138075,7.0708735020558535,4.574609053459474
"(20, 'split1')",0.4649932145032914,0.4697515266754041,5.966028596769924,4.30703602544702
"(20, 'split2')",0.2228579336242765,0.3007745920075941,7.705921263377369,5.020095342714516
"(20, 'split3')",0.208378276325692,0.3071356734017767,7.88846885192062,4.800264320093163
"(20, 'split4')",0.4823604381642841,0.4960511953637563,6.110461044331519,4.084448387330471
"(20, 'split5')",0.3511452479740025,0.3774773551252127,6.986947857133512,4.504828133971108
"(20, 'split6')",0.371653686071835,0.3870060578204026,6.824692769206161,4.467986659906239
"(20, 'split7')",0.338125544128525,0.423893389844437,6.927485191756854,4.480923453635071
"(20, 'split8')",0.4132374495254595,0.4183476423400019,6.3436288786934325,4.409529227529013
"(20, 'split9')",0.3086474691685411,0.3722085143439259,7.213368955999628,4.501113123370713
"(20, 'mean')",0.3486123737116477,0.3931206686836319,6.903787691124488,4.515083372745679
"(30, 'split0')",0.3853416223743897,0.4408345812062945,6.844003391334481,4.431455315520352
"(30, 'split1')",0.4246719227455612,0.4676461956386371,5.968115374291097,4.194893686600185
"(30, 'split2')",0.2211356152295178,0.3270435470868611,7.889569063001024,4.974015645463847
"(30, 'split3')",0.3927214647078231,0.430346935798887,6.879626919652639,4.475309468099826
"(30, 'split4')",0.5016315945215299,0.5088890252346302,5.967768314369434,3.906210936944866
"(30, 'split5')",0.4566745625622721,0.4583835289144941,6.2758443588757125,4.210422017327272
"(30, 'split6')",0.4047427321285503,0.4245643251719651,6.834655822642237,4.45081492300302
"(30, 'split7')",0.39751716087585,0.4592831295932057,6.777909899610743,4.4021993423768215
"(30, 'split8')",0.4928547768311186,0.4963111479998424,5.991058965821401,4.068743511010103
"(30, 'split9')",0.4883821656995196,0.4975865819559985,5.930106554659548,4.110024238826109
"(30, 'mean')",0.4165673617676132,0.4510888998600815,6.535865866425832,4.32240890851724
"(40, 'split0')",0.4669727229505971,0.5182054312727061,6.4855947304069534,4.088754773950543
"(40, 'split1')",0.5194480545521957,0.52293005927803,5.543770024919,3.9266277984319498
"(40, 'split2')",0.3714316454292268,0.4445162494157295,6.9262215511735326,4.427817484427892
"(40, 'split3')",0.4906592412058066,0.4977226679992085,6.220830766303291,4.254370197374725
"(40, 'split4')",0.5009745209544456,0.5272881779007296,6.09400157614745,3.8600018306357056
"(40, 'split5')",0.5192467319100522,0.5215198665410663,5.830416695504954,3.929861140332642
"(40, 'split6')",0.4687790041314665,0.4765804479278346,6.417661310396961,4.248261729478977
"(40, 'split7')",0.4349032789700322,0.4655471591069427,6.626814230311151,4.360336030634221
"(40, 'split8')",0.4983466531549844,0.5018381700645352,6.075994904535133,4.043269871811569
"(40, 'split9')",0.4704017007322368,0.4876610247266956,5.992556864286683,4.140405884170319
"(40, 'mean')",0.4741163553991043,0.4963809254233478,6.221386265398512,4.127970674124854
"(50, 'split0')",0.5014773992642576,0.5490874851872029,6.101087723434823,3.976839004130085
"(50, 'split1')",0.5413628420312164,0.5417446383232234,5.487873157706122,3.8112720064862753
"(50, 'split2')",0.4365561896393114,0.5033962733869493,6.596785648645005,4.2500470982428284
"(50, 'split3')",0.4937939390643459,0.49492850950038214,6.071399188249098,4.25565388417468
"(50, 'split4')",0.49169128246618643,0.49881297022487125,6.223097743618472,3.869456432699861
"(50, 'split5')",0.5129972596786194,0.5133493137276913,5.769731389854009,3.8739835742916506
"(50, 'split6')",0.43301632332566287,0.4379986563405853,6.37791161024799,4.249983669085911
"(50, 'split7')",0.45949814560043645,0.4952020107637049,6.44571430478762,4.223907214187878
"(50, 'split8')",0.5168610719282731,0.5186648195438187,6.026633814247637,3.8706049771737607
"(50, 'split9')",0.5013061952767843,0.5065836153077912,5.961203435951948,4.093821300555918
"(50, 'mean')",0.48885606482750943,0.5059768292306221,6.106143801674273,4.047556916102885
