,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0036298006485205,0.0357684598958585,8.364272811483339,5.7493222820648295
"(5, 'split1')",-0.1059265675656038,0.0025838775743563,8.90058275050136,5.913766288688288
"(5, 'split2')",-0.1085917793814927,0.0010579357573281,9.098375053105036,6.00144028061253
"(5, 'split3')",-0.0493521451382583,0.0084741864961529,8.834880177893965,5.925428444464772
"(5, 'split4')",-0.0287354050374248,0.024577442383476,8.609229934061386,5.786663772955148
"(5, 'split5')",-0.1090614748609222,0.0008638028253335,9.054943314910735,5.984508531352232
"(5, 'split6')",-0.0062776334205971,0.0294194462767976,8.578052175187814,5.758434933418491
"(5, 'split7')",-0.0164732402104956,0.0244408235998829,8.530660608398861,5.795457956508465
"(5, 'split8')",-0.0985261324581814,0.013898079035138,8.866414985302542,5.879486332526565
"(5, 'split9')",-0.0228603651340246,0.0173413771082724,8.635335291289607,5.825890246686921
"(5, 'mean')",-0.054217494255848,0.0158425430952596,8.747274710213464,5.862039906927825
"(10, 'split0')",0.049482426637964,0.0660261831035651,8.249082329242192,5.56389997098012
"(10, 'split1')",0.0110433368404064,0.0329395912092517,8.476842813577903,5.662231382299008
"(10, 'split2')",0.0275994025951465,0.0489495740358811,8.41630861159458,5.703033715668064
"(10, 'split3')",0.0440564063666354,0.0542789838724037,8.496058961105039,5.62649056712732
"(10, 'split4')",0.0950453587203912,0.0976639139166407,8.093179274634753,5.453467988251353
"(10, 'split5')",-0.0464880149746051,0.0140098637545079,8.794966298191225,5.857972078501245
"(10, 'split6')",0.0733942772142851,0.0808898789898883,8.241846514479564,5.605810638948277
"(10, 'split7')",0.0571681286700259,0.0817242914905222,8.08972899449272,5.558480465529666
"(10, 'split8')",-0.0243898977413026,0.0206982678929919,8.594829704746212,5.688040407673064
"(10, 'split9')",0.0153747609687664,0.0375329835314061,8.559984140051611,5.584680935876247
"(10, 'mean')",0.0302286185297713,0.0534713531797059,8.40128276421158,5.630410815085437
"(15, 'split0')",0.0588204397384573,0.086211346576402,8.268432057001776,5.47151774874262
"(15, 'split1')",0.1241543595497597,0.1257278365752029,7.803657118997528,5.4039914218186205
"(15, 'split2')",0.0777170773835448,0.0953525544204477,8.338825486791922,5.540253808136312
"(15, 'split3')",0.0731378280773383,0.0835062749194703,8.408430423156014,5.462207093478005
"(15, 'split4')",0.1034802267452372,0.1143598678591599,8.175515018145916,5.378041316610713
"(15, 'split5')",0.0158815908939463,0.0408434690477026,8.67671951685762,5.6672629054897
"(15, 'split6')",0.0961645577148291,0.0997144242432262,8.254695587292554,5.5082915507729
"(15, 'split7')",0.1021868790384897,0.1180926444813328,7.981659687564762,5.415319674721281
"(15, 'split8')",0.046388398636376,0.0593438411560776,8.297915906084087,5.454400315959507
"(15, 'split9')",0.0645727926680665,0.0720524376210938,8.346981220389667,5.466991166466923
"(15, 'mean')",0.0762504150446045,0.0895204696900116,8.255283202228185,5.476827700219658
"(20, 'split0')",0.0920575569580083,0.1233868020470024,8.199015796724858,5.35259829257226
"(20, 'split1')",0.2201977484991133,0.2311621545563652,7.202743148356756,5.0830911089039805
"(20, 'split2')",0.0920388522068652,0.1196914358053949,8.329290149511065,5.495895774513313
"(20, 'split3')",0.0957317803815379,0.1090302081018589,8.43106615771519,5.418204618930872
"(20, 'split4')",0.1870587726977836,0.1961693426490419,7.657549690461154,5.187534580013668
"(20, 'split5')",0.0937752052012399,0.1014210640400083,8.257179537026273,5.445388121998468
"(20, 'split6')",0.1462019933400246,0.1470296030780749,7.955383819770599,5.373831457460947
"(20, 'split7')",0.1332006140726412,0.1555461451728682,7.927697922065024,5.307399114226751
"(20, 'split8')",0.1670603896061846,0.1765641764194608,7.558112142398942,5.127922084627622
"(20, 'split9')",0.0847839483490305,0.0945305906710549,8.299466612551763,5.392572964108335
"(20, 'mean')",0.1312106861312429,0.1454531522541131,7.9817504976581635,5.318443811735621
"(30, 'split0')",0.1426226963269873,0.1864412691858347,8.083125183881084,5.214654776115928
"(30, 'split1')",0.2633927325342164,0.2880409612514591,6.753010506058693,4.776928998609433
"(30, 'split2')",0.0669716500333228,0.1485176433099374,8.635147882735653,5.51167729312396
"(30, 'split3')",0.1493779149720545,0.1699518575156414,8.142152810283081,5.333179127060232
"(30, 'split4')",0.2427769760927013,0.2632436467291149,7.356116667524727,4.8621459220519485
"(30, 'split5')",0.2084188493303813,0.2164873627254018,7.575126111779744,5.037587148683815
"(30, 'split6')",0.2040714951307047,0.2198130798165436,7.903170026308373,5.239631402360462
"(30, 'split7')",0.1853992983771381,0.2216385728100012,7.881263370348383,5.185601311918653
"(30, 'split8')",0.2561843646375082,0.2724260737809481,7.255545602397313,4.801890111539666
"(30, 'split9')",0.2725088657859006,0.2937893225799651,7.07136919120538,4.846947643711039
"(30, 'mean')",0.1991724843220915,0.2280349789704847,7.665602735252243,5.081024373517514
"(40, 'split0')",0.2158902907366354,0.2693038220908463,7.866173222576148,5.071858135742217
"(40, 'split1')",0.2970113121351889,0.3190900345709784,6.705160907868982,4.605655905505057
"(40, 'split2')",0.1991210994990987,0.2842698345579352,7.818141908615542,5.114876710850585
"(40, 'split3')",0.2651457641173953,0.299762974552253,7.472136075780041,5.039029542121696
"(40, 'split4')",0.2622654930300622,0.2914322653291885,7.4095400694715154,4.841933831915631
"(40, 'split5')",0.2823604566205071,0.2995638320591382,7.123470868174605,4.770903180902659
"(40, 'split6')",0.2511123028709869,0.2720801243563602,7.619869363824288,5.105587645221068
"(40, 'split7')",0.2482349761799522,0.2868174000019444,7.643362558325611,5.040217204391491
"(40, 'split8')",0.2704992228526767,0.2900838402849865,7.3270376539964355,4.743769167381772
"(40, 'split9')",0.3130052212548108,0.3351675549081817,6.825203284814628,4.653288875235529
"(40, 'mean')",0.2604646139297314,0.2947571682711812,7.381009591344781,4.898712019926771
"(50, 'split0')",0.2522230317184306,0.3065988701114122,7.47224126078472,4.924878238377197
"(50, 'split1')",0.2997115999047196,0.3271703919635386,6.781221220113422,4.604179100496194
"(50, 'split2')",0.2621543168198367,0.3544119808233059,7.549007152237113,4.833583078566261
