,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2658468293487817,0.312962000207854,7.179780446941084,4.732382904549844
"(5, 'split1')",0.1268478350305217,0.2121218996931229,7.908611906537878,5.015368731409119
"(5, 'split2')",0.0509645755114128,0.1732568987130179,8.41819962586017,5.351692420426057
"(5, 'split3')",0.1832499917508221,0.269767551205689,7.794434471477824,4.798895676554876
"(5, 'split4')",0.2027525874433153,0.245091734559009,7.57894966701312,5.01189017573539
"(5, 'split5')",0.1788475508448992,0.2097320724225779,7.79147752743718,4.951776508623054
"(5, 'split6')",0.3208679743340168,0.331259072668222,7.04704231101359,4.688393942301425
"(5, 'split7')",0.1290314434608316,0.2844490948011987,7.896523410931083,5.133857201657997
"(5, 'split8')",0.1029696139173901,0.1951743791866182,8.012101366656447,4.811362714754415
"(5, 'split9')",0.2107152972202693,0.2712310625940178,7.585563925409591,4.7676983383661655
"(5, 'mean')",0.1772093698862261,0.2505045766051327,7.721268465927797,4.926331861437834
"(10, 'split0')",0.282184894438155,0.3423307246085075,7.168558924277277,4.596442846873317
"(10, 'split1')",0.2944853837864789,0.3149473506100731,7.159760703775688,4.552175526875375
"(10, 'split2')",0.1579444792469534,0.2107895758968022,7.831941001174896,5.213609562739086
"(10, 'split3')",0.2214217063504684,0.3090010095678878,7.667477848359103,4.75557473156847
"(10, 'split4')",0.3668943786208216,0.4083351004037604,6.769301218555944,4.391966033792291
"(10, 'split5')",0.2126631107097876,0.3164272351279386,7.628644029597369,4.752367370137151
"(10, 'split6')",0.3445161599787014,0.3466555333475389,6.931991605257602,4.625879518987645
"(10, 'split7')",0.2120027087989805,0.3251147441915929,7.395698667731606,4.742727085050272
"(10, 'split8')",0.2380253339824196,0.2922979311827771,7.412673965407912,4.676772757975636
"(10, 'split9')",0.2228839095145811,0.2781294701882695,7.604670977972091,4.6947673602678375
"(10, 'mean')",0.2553022065427348,0.3144028675125148,7.357071894210949,4.7002282794267085
"(15, 'split0')",0.2460631948460055,0.3515769291851246,7.400386309749122,4.749919221693384
"(15, 'split1')",0.4131657725739925,0.4152934036432233,6.387664694311254,4.398617386590531
"(15, 'split2')",0.1705152214635354,0.2765250238027297,7.908188488454961,5.073765757167426
"(15, 'split3')",0.1962183087180671,0.31432488090759,7.830264110790918,4.743390459907272
"(15, 'split4')",0.3685026465213454,0.4344105580960278,6.861529767103588,4.3106017515912
"(15, 'split5')",0.2744763625356027,0.3845045686208507,7.450023864069421,4.566982971456857
"(15, 'split6')",0.2966513417089506,0.3198274518892316,7.281849690907229,4.690973715124166
"(15, 'split7')",0.3003036311479116,0.3772006659719758,7.046201247130434,4.513077621729425
"(15, 'split8')",0.2720926252374749,0.3078352967720176,7.24972154388069,4.523657480366197
"(15, 'split9')",0.2516147066935196,0.3117343312241997,7.465984087001741,4.589727588698199
"(15, 'mean')",0.2789603811446405,0.3493233110112971,7.288181380339937,4.616071395432465
"(20, 'split0')",0.3046279895667859,0.4039717284978176,7.175318227497165,4.514963965398359
"(20, 'split1')",0.4957723519971315,0.4963190306191639,5.791872772089083,4.087433460641837
"(20, 'split2')",0.1785945315143003,0.2975283934157338,7.922334095659313,5.090422269044572
"(20, 'split3')",0.2293962769206905,0.3177560041927048,7.783042728262823,4.726901034299338
"(20, 'split4')",0.4507526562719099,0.4735401771599133,6.294253526321246,4.067520839192761
"(20, 'split5')",0.3505432166110508,0.3816531492474386,6.990188479534886,4.413099514689501
"(20, 'split6')",0.3157318461349964,0.3364587717963396,7.121914138541889,4.557356557658481
"(20, 'split7')",0.2973875062300883,0.3965873704704201,7.137493568937509,4.513235616115503
"(20, 'split8')",0.4016539325929579,0.4068180875665163,6.405938931898907,4.383121819609409
"(20, 'split9')",0.2664725607017812,0.3266441362202854,7.430132355855417,4.629780924351984
"(20, 'mean')",0.3290932868541693,0.3837276849186334,7.005248882459824,4.498383600100175
"(30, 'split0')",0.3565376260675431,0.4355713909124759,7.002528609544487,4.422254495695222
"(30, 'split1')",0.4932229462538076,0.5056696150993122,5.601287917663258,4.001253312452103
"(30, 'split2')",0.1804582682929602,0.3193014259208088,8.092969359454468,5.090346307873739
"(30, 'split3')",0.4202313600202922,0.4601758821276412,6.72199649897343,4.446492113511239
"(30, 'split4')",0.4951518583301888,0.5194444616639743,6.006439185159967,3.828793109417216
"(30, 'split5')",0.4643293779404253,0.4685403772610747,6.231477909758042,4.0732754303574845
"(30, 'split6')",0.3674365009264994,0.3945385489773921,7.045573666440427,4.467496147322292
"(30, 'split7')",0.393258269734545,0.4518769374016688,6.801823897385331,4.353810453205216
"(30, 'split8')",0.4709340145856885,0.4739833000723281,6.119167550770918,4.089552020302508
"(30, 'split9')",0.480367114610664,0.487203723724833,5.976376832110294,4.117639412661331
"(30, 'mean')",0.4121927336762613,0.4516305663161509,6.559964142726062,4.289091280279835
"(40, 'split0')",0.4247472313817377,0.4983693855132656,6.737587973421878,4.17166311493531
"(40, 'split1')",0.5181866347993527,0.5204167035509706,5.551041286673152,3.903307733911362
"(40, 'split2')",0.3267590700896522,0.4154029007993141,7.168121840448415,4.55179349667216
"(40, 'split3')",0.4806672656044914,0.4942348732848428,6.281552880753586,4.234578240736905
"(40, 'split4')",0.4788399741496071,0.5120372946472909,6.227686620339092,3.911785360073032
"(40, 'split5')",0.5030234449155578,0.5035839674473952,5.927975808222157,3.935906381800204
"(40, 'split6')",0.4472114060745186,0.4582528788173612,6.546643840587538,4.324805132097607
"(40, 'split7')",0.41739937338335,0.4549597164027026,6.728664528823442,4.374632626065671
"(40, 'split8')",0.4648866096770223,0.4703896799530542,6.275357227508389,4.162670030371149
"(40, 'split9')",0.4733843715571041,0.4819459195826421,5.9756581489899725,4.168623886578199
"(40, 'mean')",0.4535105381632395,0.4809593319998839,6.342029015576761,4.173976600324159
"(50, 'split0')",0.44501720687072566,0.4982434140772595,6.437312649774315,4.172440095757536
"(50, 'split1')",0.5271227721424704,0.5289035178065356,5.572417485107021,3.830691659860041
"(50, 'split2')",0.39024599374078395,0.4671369842111452,6.862532238651127,4.386000097567257
"(50, 'split3')",0.4947241748646525,0.49576901823328556,6.065818032265247,4.224135459378845
"(50, 'split4')",0.49280363819810713,0.5003506264945922,6.216284866469944,3.8548455992799844
"(50, 'split5')",0.5057196991238044,0.5057950810284203,5.812681725473856,3.833175763305726
"(50, 'split6')",0.4134565699316026,0.4152347821825154,6.4869911516802174,4.345419850850663
"(50, 'split7')",0.4518225552912696,0.49080630966011646,6.491320302605207,4.2343933546723935
"(50, 'split8')",0.4728462430243452,0.4769295978411612,6.295169690686449,4.090640081207031
"(50, 'split9')",0.4874266246418224,0.48804368722190944,6.043589785607424,4.094340971776618
"(50, 'mean')",0.4681185477829583,0.4867213018756941,6.228411792832081,4.106608293365609
