,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.28409053111204663,0.30942875288800004,7.09001049291236,4.806101776499438
"(5, 'split1')",0.026159408432240405,0.12937819354484065,8.352168225028343,5.352149163614384
"(5, 'split2')",0.1472456830205474,0.2038805167324959,7.979762610943625,5.143959855080423
"(5, 'split3')",0.2004498820101589,0.24778714660586645,7.711926509645774,4.803665214445258
"(5, 'split4')",0.23275226895944945,0.2532500409671281,7.43498796786169,5.078193230221996
"(5, 'split5')",0.1258443608813712,0.14789079809292294,8.039005168480237,5.224206761299665
"(5, 'split6')",0.3093846668798278,0.3096806624386945,7.106371081508121,4.89109354735255
"(5, 'split7')",0.2241825113660073,0.27073298200896884,7.4527142796953045,5.04534680565837
"(5, 'split8')",0.030870639277849166,0.09959087840235786,8.32786609512957,5.4532067926219225
"(5, 'split9')",0.2768384558203856,0.2894227176691933,7.260870506766499,4.712894321793185
"(5, 'mean')",0.18578184077598836,0.22610426893504684,7.675568293797151,5.051081746858719
