,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2430889585303317,0.2982122673624956,7.290213461829389,4.909073923976496
"(5, 'split1')",0.1200924530633302,0.2095000064998921,7.939146536452436,5.096281613789674
"(5, 'split2')",-0.0094174613629951,0.157344500534983,8.681872727518218,5.577157276473656
"(5, 'split3')",0.1725882142901033,0.2587562872757262,7.845143426249019,4.875846515095228
"(5, 'split4')",0.1990406614420375,0.237080086444694,7.596572697316746,5.048948203271726
"(5, 'split5')",0.0553510336226309,0.1616870310254831,8.35686050712541,5.465596683589888
"(5, 'split6')",0.3050003642819063,0.3162131194363589,7.128892438613983,4.779516537699131
"(5, 'split7')",0.1393119973719355,0.2600226771808146,7.849781416607972,5.112315400507697
"(5, 'split8')",0.0668448172154102,0.1692925708865734,8.171838858805646,4.924830206726037
"(5, 'split9')",0.201172918432143,0.2705221286111529,7.631280544969377,4.832759415760809
"(5, 'mean')",0.1493073956886833,0.2338630675258174,7.849160261548819,5.062232577689034
"(10, 'split0')",0.263159171362771,0.3224827246856653,7.262939121775739,4.732201715300613
"(10, 'split1')",0.3028365405883296,0.3233055764108955,7.11725961460546,4.669874077255995
"(10, 'split2')",0.1772152176923155,0.2151037595238695,7.741803941711373,5.109219859094522
"(10, 'split3')",0.2011845219723138,0.3019003199758974,7.766487002425559,4.877088926877934
"(10, 'split4')",0.3473881105008585,0.3998992385721043,6.8727927142411165,4.464240585629016
"(10, 'split5')",0.1999522301781623,0.3125132717503943,7.689976446718372,4.845029489316055
"(10, 'split6')",0.3036390043694598,0.312626654907865,7.144868699947342,4.73032857126066
"(10, 'split7')",0.239493067027146,0.3188607163132697,7.265548970855445,4.784865796763446
"(10, 'split8')",0.1578419740149443,0.2177448091221708,7.792941725239708,4.924079313611354
"(10, 'split9')",0.2054069102160988,0.2759573759078146,7.689708376727408,4.788712762058212
"(10, 'mean')",0.23981167479224,0.3000394447169947,7.434432661424753,4.79256410971678
"(15, 'split0')",0.2310265075299108,0.3269460233790577,7.473819470281597,4.845955552414432
"(15, 'split1')",0.3787765453914756,0.3824201900057685,6.572162828963052,4.489522052069124
"(15, 'split2')",0.1668875986714058,0.252041172568301,7.925462239824831,5.066145973972044
"(15, 'split3')",0.1699265758159324,0.2882613384405646,7.957297784458562,4.9004024302891445
"(15, 'split4')",0.3340298252054676,0.4048791704346307,7.046323440564617,4.470485872743963
"(15, 'split5')",0.2495563783982901,0.3363550400302294,7.576888845268898,4.708001919396285
"(15, 'split6')",0.2738382132651922,0.3014293384794329,7.399000795260738,4.807446174976288
"(15, 'split7')",0.28721943605234,0.3662366490922786,7.111777443505778,4.646449139832551
"(15, 'split8')",0.2357625854809875,0.2851869840787523,7.428436478554171,4.6399937946932
"(15, 'split9')",0.2238013614563996,0.2864872463771866,7.603453179933381,4.727568386374289
"(15, 'mean')",0.2550825027267401,0.3230243152886202,7.409462250661562,4.7301971296761325
"(20, 'split0')",0.2612941293029638,0.3945458536061802,7.3955135865169535,4.707845149908829
"(20, 'split1')",0.413999820169453,0.415373563003745,6.24388017849124,4.325348553710046
"(20, 'split2')",0.1532250827862392,0.2548089090324045,8.043746047773972,5.184796031752588
"(20, 'split3')",0.2016095899799665,0.2990894422304324,7.922121870069517,4.907622698300451
"(20, 'split4')",0.3957433158548855,0.4169369599488733,6.6019309976023575,4.304063055196627
"(20, 'split5')",0.3120778164083173,0.364935605004879,7.194215032685961,4.540547025397094
"(20, 'split6')",0.2881857521649984,0.3254966655582261,7.263850676380827,4.644878870965499
"(20, 'split7')",0.2788246475520103,0.370213671525678,7.231164372094431,4.687483839540053
"(20, 'split8')",0.3548783689955841,0.3559015448521674,6.651619161719464,4.557491912688178
"(20, 'split9')",0.2378997553758092,0.3139624745083618,7.573461438268302,4.703986679914143
"(20, 'mean')",0.2897738278590228,0.3511264689270947,7.212150336160302,4.656406381737351
"(30, 'split0')",0.3015214827831695,0.3901540929243613,7.295748256776958,4.620643088449778
"(30, 'split1')",0.4254597539895542,0.4261449771732117,5.964027725273095,4.1717178223093
"(30, 'split2')",0.1321183959993744,0.2636807518500467,8.328227900707864,5.323672492361617
"(30, 'split3')",0.3394408408971289,0.3970914831879433,7.175080551955052,4.699972721796517
"(30, 'split4')",0.4087952129093151,0.4538700155756974,6.499885019700899,4.138940313225408
"(30, 'split5')",0.3781162153003121,0.3862876548016304,6.714238466855444,4.4207008072475045
"(30, 'split6')",0.3082497879140081,0.3496859534245027,7.367818969820297,4.685082401129065
"(30, 'split7')",0.3220454024629415,0.3679052042422202,7.189914996132659,4.685783200457167
"(30, 'split8')",0.4154524778945553,0.4208980976954817,6.432019263269334,4.255271810990486
"(30, 'split9')",0.3901506554349928,0.3971500634846988,6.474421062486201,4.422224097315684
"(30, 'mean')",0.3421350225585352,0.3852868294359794,6.94413822129778,4.542400875528252
"(40, 'split0')",0.3455134151654168,0.4335071331873272,7.186632956388599,4.482199769375939
"(40, 'split1')",0.4412386819872576,0.4451403625174069,5.977893899729304,4.167749832899315
"(40, 'split2')",0.2598744313459064,0.3697147464967805,7.515758677457871,4.756325524294995
"(40, 'split3')",0.4258202329587778,0.4435057096977436,6.60492839457518,4.485879720195511
"(40, 'split4')",0.3979102781732277,0.4617987744747675,6.693785768486518,4.185350229827782
"(40, 'split5')",0.3942852962846823,0.3947231628464564,6.544440598310826,4.354779740798999
"(40, 'split6')",0.356721456383465,0.3809019804425725,7.062178831255247,4.644252247358287
"(40, 'split7')",0.356183287414729,0.3905078533282702,7.073339860432895,4.669234544886968
