,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.243088959,0.298212267,7.290213462,4.909073924
"(5, 'split1')",0.120092453,0.209500006,7.939146536,5.096281614
"(5, 'split2')",-0.009417461,0.157344501,8.681872728,5.577157276
"(5, 'split3')",0.172588214,0.258756287,7.845143426,4.875846515
"(5, 'split4')",0.199040661,0.237080086,7.596572697,5.048948203
"(5, 'mean')",0.145078565,0.23217863,7.87058977,5.101461507
"(10, 'split0')",0.263159171,0.322482725,7.262939122,4.732201715
"(10, 'split1')",0.302836541,0.323305576,7.117259615,4.669874077
"(10, 'split2')",0.177215218,0.21510376,7.741803942,5.109219859
"(10, 'split3')",0.201184522,0.30190032,7.766487002,4.877088927
"(10, 'split4')",0.347388111,0.399899239,6.872792714,4.464240586
"(10, 'mean')",0.258356712,0.312538324,7.352256479,4.770525033
"(15, 'split0')",0.231026508,0.326946023,7.47381947,4.845955552
"(15, 'split1')",0.378776545,0.38242019,6.572162829,4.489522052
"(15, 'split2')",0.166887599,0.252041173,7.92546224,5.066145974
"(15, 'split3')",0.169926576,0.288261338,7.957297784,4.90040243
"(15, 'split4')",0.334029825,0.40487917,7.046323441,4.470485873
"(15, 'mean')",0.256129411,0.330909579,7.395013153,4.754502376
"(20, 'split0')",0.261294129,0.394545854,7.395513587,4.70784515
"(20, 'split1')",0.41399982,0.415373563,6.243880178,4.325348554
"(20, 'split2')",0.153225083,0.254808909,8.043746048,5.184796032
"(20, 'split3')",0.20160959,0.299089442,7.92212187,4.907622698
"(20, 'split4')",0.395743316,0.41693696,6.601930998,4.304063055
"(20, 'mean')",0.285174388,0.356150946,7.241438536,4.685935098
"(30, 'split0')",0.301521483,0.390154093,7.295748257,4.620643088
"(30, 'split1')",0.425459754,0.426144977,5.964027725,4.171717822
"(30, 'split2')",0.132118396,0.263680752,8.328227901,5.323672492
"(30, 'split3')",0.339440841,0.397091483,7.175080552,4.699972722
"(30, 'split4')",0.408795213,0.453870016,6.49988502,4.138940313
"(30, 'mean')",0.321467137,0.386188264,7.052593891,4.590989288
"(40, 'split0')",0.345513415,0.433507133,7.186632956,4.482199769
"(40, 'split1')",0.441238682,0.445140363,5.9778939,4.167749833
"(40, 'split2')",0.259874431,0.369714746,7.515758677,4.756325524
"(40, 'split3')",0.425820233,0.44350571,6.604928395,4.48587972
"(40, 'split4')",0.397910278,0.461798774,6.693785768,4.18535023
"(40, 'mean')",0.374071408,0.430733345,6.795799939,4.415501015
"(50, 'split0')",0.384158759,0.455437065,6.781085619,4.340436493
"(50, 'split1')",0.442970438,0.454169512,6.047955237,4.088132736
"(50, 'split2')",0.307709078,0.408518713,7.312255954,4.668605005
"(50, 'split3')",0.405710843,0.408852022,6.578456709,4.652598884
"(50, 'split4')",0.410139157,0.446648497,6.703747175,4.184456646
"(50, 'mean')",0.390137655,0.434725162,6.684700139,4.386845953
