,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.265846829,0.312962,7.179780447,4.732382905
"(5, 'split1')",0.126847835,0.2121219,7.908611907,5.015368731
"(5, 'split2')",0.050964576,0.173256899,8.418199626,5.35169242
"(5, 'split3')",0.183249992,0.269767551,7.794434471,4.798895677
"(5, 'split4')",0.202752587,0.245091735,7.578949667,5.011890176
"(5, 'mean')",0.165932364,0.242640017,7.775995224,4.982045982
"(10, 'split0')",0.282184894,0.342330725,7.168558924,4.596442847
"(10, 'split1')",0.294485384,0.314947351,7.159760704,4.552175527
"(10, 'split2')",0.157944479,0.210789576,7.831941001,5.213609563
"(10, 'split3')",0.221421706,0.30900101,7.667477848,4.755574732
"(10, 'split4')",0.366894379,0.4083351,6.769301219,4.391966034
"(10, 'mean')",0.264586168,0.317080752,7.319407939,4.70195374
"(15, 'split0')",0.246063195,0.351576929,7.40038631,4.749919222
"(15, 'split1')",0.413165773,0.415293404,6.387664694,4.398617387
"(15, 'split2')",0.170515221,0.276525024,7.908188488,5.073765757
"(15, 'split3')",0.196218309,0.314324881,7.830264111,4.74339046
"(15, 'split4')",0.368502647,0.434410558,6.861529767,4.310601752
"(15, 'mean')",0.278893029,0.358426159,7.277606674,4.655258915
"(20, 'split0')",0.30462799,0.403971728,7.175318227,4.514963965
"(20, 'split1')",0.495772352,0.496319031,5.791872772,4.087433461
"(20, 'split2')",0.178594532,0.297528393,7.922334096,5.090422269
"(20, 'split3')",0.229396277,0.317756004,7.783042728,4.726901034
"(20, 'split4')",0.450752656,0.473540177,6.294253526,4.067520839
"(20, 'mean')",0.331828761,0.397823067,6.99336427,4.497448314
"(30, 'split0')",0.356537626,0.435571391,7.00252861,4.422254496
"(30, 'split1')",0.493222946,0.505669615,5.601287918,4.001253312
"(30, 'split2')",0.180458268,0.319301426,8.092969359,5.090346308
"(30, 'split3')",0.42023136,0.460175882,6.721996499,4.446492114
"(30, 'split4')",0.495151858,0.519444462,6.006439185,3.828793109
"(30, 'mean')",0.389120412,0.448032555,6.685044314,4.357827868
"(40, 'split0')",0.424747231,0.498369386,6.737587973,4.171663115
"(40, 'split1')",0.518186635,0.520416704,5.551041287,3.903307734
"(40, 'split2')",0.32675907,0.415402901,7.16812184,4.551793497
"(40, 'split3')",0.480667266,0.494234873,6.281552881,4.234578241
"(40, 'split4')",0.478839974,0.512037295,6.22768662,3.91178536
"(40, 'mean')",0.445840035,0.488092232,6.39319812,4.154625589
"(50, 'split0')",0.445017207,0.498243414,6.43731265,4.172440096
"(50, 'split1')",0.527122772,0.528903518,5.572417485,3.83069166
"(50, 'split2')",0.390245994,0.467136984,6.862532239,4.386000098
"(50, 'split3')",0.494724175,0.495769018,6.065818032,4.224135459
"(50, 'split4')",0.492803638,0.500350626,6.216284866,3.854845599
"(50, 'mean')",0.469982757,0.498080712,6.230873054,4.093622582
