,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2184920362889351,0.2756055002754713,7.407719492316371,5.065348210346351
"(5, 'split1')",-0.0222080656281302,0.103204428803624,8.55706731380739,5.383326854877673
"(5, 'split2')",0.1418359517419672,0.2218806074469894,8.005033737455562,5.176233349547823
"(5, 'split3')",0.1408734684292782,0.1441838914087636,7.994082060509989,5.214887077209409
"(5, 'split4')",0.2125140326456722,0.2423862216898273,7.532408684926889,5.210836937057362
"(5, 'split5')",0.1502866674581084,0.1740347852620836,7.925818858006469,5.1113838157816485
"(5, 'split6')",0.2830302299954924,0.2959202615631604,7.240694030822151,5.0680185839728
"(5, 'split7')",0.1555701483535466,0.2849524190813743,7.775287882552725,5.2434132816478
"(5, 'split8')",0.0005751840436993,0.0800664175828399,8.457030996211746,5.897328206656713
"(5, 'split9')",0.3355559854237125,0.3542928626212334,6.959855557650842,4.845304121044557
"(5, 'mean')",0.1616525638752282,0.2176527395735367,7.785499861426013,5.221608043814213
"(10, 'split0')",0.2776266885253203,0.3062579077436576,7.191283479515752,4.905170865996724
"(10, 'split1')",0.1575808700773719,0.1932613646908487,7.82365353605739,5.061422664176914
"(10, 'split2')",0.2080092223175802,0.2444659834828258,7.59554787905141,5.023425580844026
"(10, 'split3')",0.2174365822027337,0.2458954673701,7.687075653340958,4.920942979284782
"(10, 'split4')",0.3381239725543978,0.352553232876941,6.921402103839008,4.861283691470514
"(10, 'split5')",0.2792112617388986,0.2807175953420765,7.299129122135504,4.942683766558001
"(10, 'split6')",0.3273902949052374,0.3356455046995273,7.021963993436135,4.918223676281893
"(10, 'split7')",0.336810518305927,0.3616156854436007,6.784778287095056,4.4955924762133375
"(10, 'split8')",0.1135540794919964,0.132451834362622,7.995226204757954,5.467845999578563
"(10, 'split9')",0.3012914862643173,0.3055803054230149,7.210833963751908,4.639782180771322
"(10, 'mean')",0.2557034976383781,0.2758444881435214,7.353089422298107,4.923637388117608
