,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2124176899755053,0.2712479900486199,7.436452376590169,5.107561300256215
"(5, 'split1')",-0.0108510155964236,0.1085894241725164,8.509398698988386,5.348283675938045
"(5, 'split2')",0.1355686673617967,0.2089647624841518,8.034211466802674,5.209517646083741
"(5, 'split3')",0.1402868588119279,0.143855441570877,7.996810765212177,5.19951770461054
"(5, 'split4')",0.21283989641796,0.2442090258595484,7.530850058369407,5.193231210017077
"(5, 'split5')",0.15938240527205,0.1826151270111349,7.883283845518488,5.075854870512173
"(5, 'split6')",0.2787298526102815,0.2915409035198285,7.262376371375422,5.072664799741339
"(5, 'split7')",0.1600467468641326,0.2893112480901186,7.754650824672691,5.207101018195999
"(5, 'split8')",0.0066636135123299,0.0852715310229261,8.431231809442599,5.885923604614967
"(5, 'split9')",0.3436002356927156,0.3619262816417237,6.917596686502463,4.815469454582734
"(5, 'mean')",0.1638684950922276,0.2187531735421445,7.775686290347447,5.211512528455283
"(10, 'split0')",0.2659626757487041,0.2966844955098293,7.249109074861686,4.947518544172351
"(10, 'split1')",0.1632092678469717,0.197334539708221,7.797473911992124,5.021125757971084
"(10, 'split2')",0.2060117123532032,0.2393929372094621,7.605120356699827,5.028224342230647
"(10, 'split3')",0.2175706904210923,0.2484742949936211,7.686416956443661,4.900857848632271
"(10, 'split4')",0.3279812035645248,0.343209196159123,6.974233201786341,4.885213927108637
"(10, 'split5')",0.2866692426467638,0.288115437282259,7.261268990652536,4.890172569565556
"(10, 'split6')",0.3211087813985325,0.3303204138199123,7.054676915040138,4.930193094411778
"(10, 'split7')",0.3372988300002896,0.3601657944629696,6.782279984000431,4.503429209006134
"(10, 'split8')",0.120462554906074,0.1370885776679733,7.964010051968452,5.433059254469037
"(10, 'split9')",0.3030285610550174,0.3077686929849149,7.201864878299372,4.618385984332413
"(10, 'mean')",0.2549303519941173,0.2748554379798286,7.357645432174458,4.915818053189991
"(15, 'split0')",0.3181837503511705,0.3605706414590727,7.037535398626216,4.622540875426557
"(15, 'split1')",0.1859391176028045,0.2748918299155301,7.52337718529095,4.816341492148454
"(15, 'split2')",0.2026100996619053,0.2488425955263484,7.753685239367071,5.051360021935656
"(15, 'split3')",0.2210060584183703,0.3056973228344321,7.708580216976215,4.652043364347488
"(15, 'split4')",0.410188853900144,0.4166678496575506,6.631193059708625,4.476765301270082
"(15, 'split5')",0.3317965717149648,0.3396695854978537,7.149673844587831,4.66413940796517
"(15, 'split6')",0.3763348262433924,0.3794359452047036,6.856968037357872,4.74371775449008
"(15, 'split7')",0.3849858469080975,0.3927281021555975,6.606064169078192,4.388418078799163
"(15, 'split8')",0.2377610965733336,0.2411447963446778,7.418717292652663,4.897727466846181
"(15, 'split9')",0.3348592313423117,0.3475579586786401,7.038517936597062,4.551787036192961
