,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.191157232,0.217624349,7.536155968,4.956969437
"(5, 'split1')",0.075691815,0.190580104,8.136988387,5.162169777
"(5, 'split2')",0.081460425,0.213393156,8.281842076,5.118921226
"(5, 'split3')",0.101526081,0.216058015,8.175094355,4.970702081
"(5, 'split4')",0.150897667,0.189706241,7.821543784,5.097436786
"(5, 'mean')",0.120146644,0.205472373,7.990324914,5.061239862
"(10, 'split0')",0.185193646,0.244211659,7.637527134,4.895463002
"(10, 'split1')",0.15772441,0.213906798,7.822986971,4.970751132
"(10, 'split2')",0.139031874,0.209878502,7.919405489,5.053445594
"(10, 'split3')",0.146350363,0.24522916,8.028625752,4.987172167
"(10, 'split4')",0.185277617,0.204041434,7.679104521,5.095185875
"(10, 'mean')",0.162715582,0.223453511,7.817529973,5.000403554
"(15, 'split0')",0.191214729,0.265076953,7.664847796,4.914696947
"(15, 'split1')",0.194528708,0.201984628,7.483580346,4.890251829
"(15, 'split2')",0.092227069,0.142958368,8.272969355,5.291773099
"(15, 'split3')",0.13990293,0.236607424,8.099926725,4.997583028
"(15, 'split4')",0.222035605,0.26501291,7.615791485,4.807875643
"(15, 'mean')",0.167981808,0.222328057,7.827423142,4.980436109
"(20, 'split0')",0.209487599,0.278218958,7.650448707,4.887073176
"(20, 'split1')",0.283855116,0.287584442,6.902495507,4.702949585
"(20, 'split2')",0.081424131,0.145793234,8.377836385,5.308477626
"(20, 'split3')",0.157210884,0.242089751,8.139417443,5.043208899
"(20, 'split4')",0.28855798,0.301683338,7.16357819,4.711127713
"(20, 'mean')",0.204107142,0.251073945,7.646755246,4.9305674
"(30, 'split0')",0.232637578,0.306986452,7.647043796,4.89342437
"(30, 'split1')",0.304725875,0.329638076,6.560809977,4.542238522
"(30, 'split2')",0.033796206,0.122205368,8.787325805,5.568109192
"(30, 'split3')",0.181182429,0.229168457,7.988486368,5.084437746
"(30, 'split4')",0.321346801,0.335916724,6.964030326,4.511636671
"(30, 'mean')",0.214737778,0.264783015,7.589539254,4.9199693
"(40, 'split0')",0.257208259,0.316829106,7.656118083,4.85411838
"(40, 'split1')",0.272628543,0.283173698,6.820452101,4.623182923
"(40, 'split2')",0.160339195,0.233913856,8.00519773,5.116031569
"(40, 'split3')",0.311443503,0.342828033,7.232924994,4.795074729
"(40, 'split4')",0.323834398,0.354817086,7.093617041,4.522263245
"(40, 'mean')",0.26509078,0.306312356,7.36166199,4.782134169
"(50, 'split0')",0.270092762,0.299388981,7.382418796,4.835114992
"(50, 'split1')",0.390335262,0.394114429,6.327249856,4.430948186
"(50, 'split2')",0.189942363,0.274049258,7.909791339,5.023963038
"(50, 'split3')",0.31923571,0.330028144,7.040824205,4.845465955
"(50, 'split4')",0.36957927,0.393329796,6.930396566,4.365208974
"(50, 'mean')",0.307837073,0.338182122,7.118136152,4.700140229
