,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.150618611,0.177904748,7.722700548,4.929616813
"(5, 'split1')",-0.002521192,0.127924198,8.474265718,5.294263659
"(5, 'split2')",0.006896521,0.109531627,8.611429692,5.316305864
"(5, 'split3')",0.103692576,0.171022118,8.165232084,4.973860655
"(5, 'split4')",0.081100011,0.154336455,8.136667828,5.090542413
"(5, 'mean')",0.067957305,0.148143829,8.222059174,5.120917881
"(10, 'split0')",0.167000824,0.219688683,7.722320972,4.887447396
"(10, 'split1')",0.180608212,0.211992659,7.715983728,4.879496885
"(10, 'split2')",0.124084256,0.187425549,7.987855679,5.100569995
"(10, 'split3')",0.137434855,0.212459309,8.070442294,4.952728315
"(10, 'split4')",0.227379171,0.266521064,7.478060266,4.713037023
"(10, 'mean')",0.167301464,0.219617453,7.794932588,4.906655923
"(15, 'split0')",0.15457508,0.241077998,7.836541561,4.968076268
"(15, 'split1')",0.30416728,0.311119602,6.955635511,4.63009661
"(15, 'split2')",0.057996452,0.143897372,8.42750601,5.347593004
"(15, 'split3')",0.143828642,0.229029671,8.081420474,4.90049122
"(15, 'split4')",0.223685083,0.280316263,7.607713517,4.745649074
"(15, 'mean')",0.176850507,0.241088181,7.781763414,4.918381235
"(20, 'split0')",0.189687788,0.270543106,7.745665823,4.868062574
"(20, 'split1')",0.409705955,0.422775411,6.266714171,4.407629619
"(20, 'split2')",0.093461611,0.180520048,8.322761668,5.287504125
"(20, 'split3')",0.166611989,0.230757063,8.093893533,4.935491679
"(20, 'split4')",0.353034972,0.36494635,6.831257436,4.526160768
"(20, 'mean')",0.242500463,0.293908396,7.452058526,4.804969753
"(30, 'split0')",0.249130013,0.321317098,7.564420904,4.735108615
"(30, 'split1')",0.384403444,0.418097324,6.173444049,4.406948564
"(30, 'split2')",0.067151499,0.178407074,8.634315595,5.473408814
"(30, 'split3')",0.26972942,0.303794933,7.544193586,4.80005209
"(30, 'split4')",0.445848043,0.450992436,6.292904471,4.071821392
"(30, 'mean')",0.283252484,0.334521773,7.241855721,4.697467895
"(40, 'split0')",0.380064906,0.413493942,6.994363536,4.450977227
"(40, 'split1')",0.443431278,0.454626607,5.966153654,4.144738199
"(40, 'split2')",0.264196166,0.314367184,7.493783577,4.79969203
"(40, 'split3')",0.41306332,0.435901501,6.677898239,4.389626081
"(40, 'split4')",0.428227183,0.437762143,6.52308375,4.130786359
"(40, 'mean')",0.38579657,0.411230276,6.731056551,4.383163979
"(50, 'split0')",0.378655065,0.405768913,6.811319069,4.413928878
"(50, 'split1')",0.459931327,0.465719521,5.955166925,4.092614985
"(50, 'split2')",0.369554262,0.438830237,6.977999325,4.436762304
"(50, 'split3')",0.478237439,0.481268755,6.16398502,4.249835757
"(50, 'split4')",0.430460052,0.432063539,6.587262024,4.145817059
"(50, 'mean')",0.423367629,0.444730193,6.499146473,4.267791797
