,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0039129761781071,0.2868270111479074,8.363084133972363,5.567921710121799
"(5, 'split1')",-0.0018898964290841,0.0942505125245123,8.47159714179788,5.43436840563647
"(5, 'split2')",0.1787967907527582,0.203502007325517,7.830749427373996,5.175920427157073
"(5, 'split3')",0.1960450446975286,0.2202799138050925,7.733140391803723,4.934346766818559
"(5, 'split4')",0.0948248152185745,0.1819677805933485,8.07567408092984,5.753749995543754
"(5, 'split5')",0.1548291755392968,0.225665844158255,7.904605031302474,4.949159252044147
"(5, 'split6')",0.3357415273709918,0.3426484128127325,6.96944708169456,4.630097171996618
"(5, 'split7')",0.2125833090222378,0.2936205645578015,7.508220133004938,5.151751526975901
"(5, 'split8')",0.1027532219421896,0.1441999386656775,8.013067693951879,5.015996754303063
"(5, 'split9')",0.2560408682422709,0.2998676295858926,7.364539047369544,5.135173889910392
"(5, 'mean')",0.1533637832534871,0.2292829615176737,7.82341241632012,5.174848590050777
"(10, 'split0')",0.2782158120085058,0.3213500920998904,7.188350495956088,4.689938377341204
"(10, 'split1')",0.3076696966841984,0.3088008275086898,7.092546147399924,4.707126969554794
"(10, 'split2')",0.243694099104785,0.2661052465492308,7.422458667705333,4.943753129815766
"(10, 'split3')",0.2876626678645262,0.3264748635841351,7.3340562551227295,4.624487985285589
"(10, 'split4')",0.1630098465219984,0.2475489907605816,7.783338693392921,5.184415478963439
"(10, 'split5')",0.3278935230123246,0.3369558266934482,7.04832774587335,4.59081022504306
"(10, 'split6')",0.3052539719546939,0.3172488032286921,7.136578869519674,4.808416079152549
"(10, 'split7')",0.2881261870404911,0.3575567815736006,7.029401572014112,4.535562504664247
"(10, 'split8')",0.2490804215428256,0.2496143592422494,7.35870421185068,4.814949606396419
"(10, 'split9')",0.3287245083158134,0.3328356273683963,7.067858947263236,4.512948466813289
"(10, 'mean')",0.2779330734050163,0.3064491418608915,7.246162160609805,4.741240882303036
"(15, 'split0')",0.3136602301618588,0.3568701728325721,7.060842122689411,4.577493544821791
"(15, 'split1')",0.4640783541396274,0.4689081045815179,6.104288371659227,4.360887445913391
"(15, 'split2')",0.300172066019282,0.3394903391516353,7.263876275907766,4.65638551058557
"(15, 'split3')",0.2582715603066223,0.3277468419393909,7.521939252221878,4.651684110444788
"(15, 'split4')",0.37534917979085,0.3941755799987604,6.824232922894908,4.484468272766459
"(15, 'split5')",0.3740174670948243,0.3945646018457008,6.920109846375771,4.433375675397838
"(15, 'split6')",0.385715509340917,0.3892079758843558,6.805204080171941,4.419717868476397
"(15, 'split7')",0.4070100232786818,0.4227706631088964,6.486701437468069,4.264251770829475
"(15, 'split8')",0.3346737444407573,0.3394871066360485,6.931074985099169,4.448620612726476
"(15, 'split9')",0.3700699822950151,0.3781002722467034,6.849684840422373,4.49410862310241
"(15, 'mean')",0.3583018116868436,0.3811321658225581,6.876795413491051,4.47909934350646
"(20, 'split0')",0.3429427616858519,0.3692675189598572,6.974838658533326,4.586727491570908
"(20, 'split1')",0.4557726686715023,0.4717037548955478,6.017219577320152,4.213953065040475
"(20, 'split2')",0.2600526016297557,0.3128812879963004,7.519254460385333,4.856629295210864
"(20, 'split3')",0.2489860438593335,0.3394882779764946,7.683478264219012,4.63331647635901
"(20, 'split4')",0.3836132730691495,0.4006779224685984,6.667866381586503,4.319288830294556
