,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.10,0.30,7.96,5.32
"(5, 'split1')",0.05,0.13,8.24,5.27
"(5, 'split2')",0.19,0.26,7.76,4.84
"(5, 'split3')",0.24,0.25,7.52,4.79
"(5, 'split4')",0.23,0.28,7.45,5.01
"(5, 'split5')",0.15,0.22,7.93,4.99
"(5, 'split6')",0.29,0.31,7.20,4.96
"(5, 'split7')",0.28,0.30,7.19,4.96
"(5, 'split8')",0.10,0.14,8.02,5.12
"(5, 'split9')",0.28,0.35,7.25,5.30
"(5, 'mean')",0.19,0.25,7.65,5.06
"(10, 'split0')",0.34,0.35,6.86,4.56
"(10, 'split1')",0.34,0.34,6.92,4.72
"(10, 'split2')",0.30,0.30,7.16,4.72
"(10, 'split3')",0.32,0.36,7.16,4.47
"(10, 'split4')",0.40,0.41,6.58,4.38
"(10, 'split5')",0.33,0.34,7.02,4.62
"(10, 'split6')",0.33,0.35,7.02,4.89
"(10, 'split7')",0.32,0.35,6.88,4.61
"(10, 'split8')",0.18,0.19,7.69,5.04
"(10, 'split9')",0.31,0.31,7.17,4.65
"(10, 'mean')",0.32,0.33,7.05,4.67
"(15, 'split0')",0.36,0.38,6.81,4.47
"(15, 'split1')",0.30,0.34,6.97,4.44
"(15, 'split2')",0.33,0.35,7.10,4.59
"(15, 'split3')",0.29,0.36,7.37,4.47
"(15, 'split4')",0.43,0.44,6.54,4.15
"(15, 'split5')",0.39,0.42,6.83,4.25
"(15, 'split6')",0.38,0.39,6.83,4.50
"(15, 'split7')",0.38,0.41,6.61,4.33
"(15, 'split8')",0.31,0.31,7.07,4.61
"(15, 'split9')",0.36,0.38,6.91,4.45
"(15, 'mean')",0.35,0.38,6.90,4.43
"(20, 'split0')",0.39,0.44,6.74,4.25
"(20, 'split1')",0.40,0.42,6.29,4.41
"(20, 'split2')",0.31,0.39,7.28,4.63
"(20, 'split3')",0.31,0.37,7.35,4.42
"(20, 'split4')",0.49,0.49,6.09,3.85
"(20, 'split5')",0.35,0.37,6.97,4.39
"(20, 'split6')",0.38,0.38,6.78,4.59
"(20, 'split7')",0.41,0.46,6.55,4.30
"(20, 'split8')",0.39,0.42,6.45,4.31
"(20, 'split9')",0.38,0.40,6.86,4.28
"(20, 'mean')",0.38,0.41,6.73,4.34
"(30, 'split0')",0.42,0.47,6.65,4.24
"(30, 'split1')",0.46,0.49,5.78,4.11
"(30, 'split2')",0.28,0.39,7.59,4.66
"(30, 'split3')",0.43,0.45,6.67,4.31
"(30, 'split4')",0.50,0.52,5.95,3.75
"(30, 'split5')",0.42,0.44,6.49,4.26
"(30, 'split6')",0.43,0.44,6.67,4.35
"(30, 'split7')",0.40,0.44,6.78,4.39
"(30, 'split8')",0.48,0.49,6.06,3.89
"(30, 'split9')",0.44,0.48,6.22,4.13
"(30, 'mean')",0.43,0.46,6.49,4.21
"(40, 'split0')",0.50,0.53,6.26,3.90
"(40, 'split1')",0.55,0.56,5.37,3.75
"(40, 'split2')",0.44,0.49,6.51,4.20
"(40, 'split3')",0.51,0.51,6.12,4.09
"(40, 'split4')",0.48,0.50,6.25,3.84
"(40, 'split5')",0.42,0.47,6.41,4.27
"(40, 'split6')",0.48,0.48,6.37,4.19
"(40, 'split7')",0.47,0.48,6.44,4.15
"(40, 'split8')",0.49,0.49,6.13,3.93
"(40, 'split9')",0.43,0.47,6.21,4.21
"(40, 'mean')",0.48,0.50,6.21,4.05
"(50, 'split0')",0.52,0.55,5.97,3.85
"(50, 'split1')",0.56,0.56,5.39,3.78
"(50, 'split2')",0.45,0.49,6.52,4.16
"(50, 'split3')",0.51,0.52,5.97,4.05
"(50, 'split4')",0.46,0.47,6.39,3.89
"(50, 'split5')",0.47,0.49,6.03,4.00
"(50, 'split6')",0.44,0.44,6.35,4.18
"(50, 'split7')",0.46,0.48,6.42,4.07
"(50, 'split8')",0.52,0.52,6.00,3.82
"(50, 'split9')",0.45,0.48,6.26,4.15
"(50, 'mean')",0.48,0.50,6.13,4.00
