,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",-0.06,0.26,8.63,5.71
"(5, 'split1')",-0.78,0.01,11.30,5.79
"(5, 'split2')",0.12,0.15,8.10,5.24
"(5, 'split3')",0.21,0.22,7.66,5.09
"(5, 'split4')",0.20,0.24,7.60,5.24
"(5, 'split5')",0.04,0.10,8.42,5.51
"(5, 'split6')",0.27,0.29,7.31,4.98
"(5, 'split7')",-0.39,0.19,9.96,6.81
"(5, 'split8')",-0.05,0.06,8.68,6.06
"(5, 'split9')",0.23,0.29,7.48,5.55
"(5, 'mean')",-0.02,0.18,8.51,5.60
"(10, 'split0')",0.22,0.29,7.48,5.04
"(10, 'split1')",-0.54,0.06,10.57,5.52
"(10, 'split2')",0.19,0.22,7.68,5.08
"(10, 'split3')",0.28,0.32,7.35,4.69
"(10, 'split4')",0.32,0.35,7.02,4.87
"(10, 'split5')",0.26,0.27,7.39,5.08
"(10, 'split6')",0.29,0.32,7.20,4.98
"(10, 'split7')",0.24,0.27,7.26,4.87
"(10, 'split8')",0.09,0.13,8.08,5.60
"(10, 'split9')",0.28,0.28,7.33,4.97
"(10, 'mean')",0.16,0.25,7.74,5.07
"(15, 'split0')",0.28,0.31,7.24,4.87
"(15, 'split1')",-0.61,0.12,10.59,5.14
"(15, 'split2')",0.23,0.27,7.64,4.97
"(15, 'split3')",0.21,0.27,7.74,4.81
"(15, 'split4')",0.38,0.38,6.81,4.50
"(15, 'split5')",0.36,0.37,6.97,4.67
"(15, 'split6')",0.33,0.33,7.12,4.87
"(15, 'split7')",0.35,0.37,6.78,4.41
"(15, 'split8')",0.17,0.19,7.73,5.20
"(15, 'split9')",0.30,0.31,7.22,4.87
"(15, 'mean')",0.20,0.29,7.58,4.83
"(20, 'split0')",0.31,0.34,7.17,4.76
"(20, 'split1')",-0.57,0.13,10.21,4.74
"(20, 'split2')",0.20,0.26,7.82,5.04
"(20, 'split3')",0.23,0.28,7.77,4.81
"(20, 'split4')",0.42,0.42,6.48,4.24
"(20, 'split5')",0.34,0.35,7.05,4.50
"(20, 'split6')",0.36,0.36,6.91,4.77
"(20, 'split7')",0.37,0.41,6.77,4.39
"(20, 'split8')",0.28,0.36,7.02,4.78
"(20, 'split9')",0.35,0.35,7.01,4.56
"(20, 'mean')",0.23,0.33,7.42,4.66
"(30, 'split0')",0.39,0.42,6.80,4.33
"(30, 'split1')",-0.65,0.16,10.12,4.78
"(30, 'split2')",0.21,0.27,7.95,4.99
"(30, 'split3')",-1.00,0.07,12.47,5.22
"(30, 'split4')",0.45,0.45,6.28,4.15
"(30, 'split5')",0.38,0.42,6.68,4.47
"(30, 'split6')",0.42,0.43,6.73,4.43
"(30, 'split7')",0.36,0.38,7.00,4.58
"(30, 'split8')",0.39,0.42,6.55,4.41
"(30, 'split9')",0.37,0.43,6.58,4.46
"(30, 'mean')",0.13,0.35,7.71,4.58
"(40, 'split0')",0.49,0.50,6.35,4.14
"(40, 'split1')",0.12,0.30,7.50,4.37
"(40, 'split2')",0.29,0.32,7.34,4.66
"(40, 'split3')",-0.09,0.20,9.08,4.74
"(40, 'split4')",0.44,0.45,6.47,4.10
"(40, 'split5')",0.33,0.41,6.90,4.67
"(40, 'split6')",0.47,0.48,6.39,4.16
"(40, 'split7')",0.40,0.41,6.85,4.50
"(40, 'split8')",0.42,0.43,6.56,4.39
"(40, 'split9')",0.37,0.43,6.52,4.47
"(40, 'mean')",0.32,0.39,7.00,4.42
"(50, 'split0')",0.45,0.46,6.42,4.26
"(50, 'split1')",0.49,0.50,5.79,4.08
"(50, 'split2')",0.27,0.29,7.52,4.78
"(50, 'split3')",0.09,0.27,8.13,4.57
"(50, 'split4')",0.44,0.45,6.52,4.12
"(50, 'split5')",0.36,0.43,6.60,4.41
"(50, 'split6')",0.42,0.43,6.43,4.32
"(50, 'split7')",0.44,0.46,6.58,4.21
"(50, 'split8')",0.52,0.52,6.02,3.90
"(50, 'split9')",0.44,0.46,6.34,4.12
"(50, 'mean')",0.39,0.43,6.63,4.28
