,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2369644904500474,0.2690102078894267,7.319648047408806,4.910940555793345
"(5, 'split1')",-0.0152802183665843,0.0892329160879548,8.528020956822742,5.146426195437602
"(5, 'split2')",0.1273051475334663,0.1948953348020072,8.072521597110716,5.1478609337487855
"(5, 'split3')",0.2261878841129351,0.2823695121870728,7.586785389288786,4.694783533793251
"(5, 'split4')",0.2076591141297002,0.2251429740638363,7.555591980803139,4.93429804883278
"(5, 'split5')",0.1196323959649895,0.1721463297378602,8.06751817675487,5.0041673267868925
"(5, 'split6')",0.2892468839446597,0.2983871243530702,7.209234623433841,4.7464016623327865
"(5, 'split7')",0.119304862925503,0.226780759654118,7.940493382807281,5.168919479807575
"(5, 'split8')",0.0743734255061154,0.1783030044966362,8.138807286128651,4.941839967025947
"(5, 'split9')",0.2243905356722136,0.2652939537197777,7.519562608722903,4.765060564521907
"(5, 'mean')",0.1609784521873046,0.220156211699176,7.7938184049281745,4.946069826808087
"(10, 'split0')",0.2619257881801632,0.2827836068676046,7.269015224718352,4.746693345014591
"(10, 'split1')",0.2275435875567184,0.2433550393426254,7.491736449933133,4.867126987787371
"(10, 'split2')",0.1617943695535678,0.1886153828055386,7.814016614963544,5.223063442559506
"(10, 'split3')",0.2689152577726675,0.3322027160715097,7.429938932560019,4.630348812680758
"(10, 'split4')",0.32436732404205,0.3264101067724995,6.992960538647059,4.6685127567627935
"(10, 'split5')",0.2328593489587372,0.2732199486899144,7.530165971517238,4.822531297319712
"(10, 'split6')",0.2873489176834293,0.2941885659888473,7.227956130670735,4.944145098915207
"(10, 'split7')",0.2612763181847941,0.2870277305242421,7.160739196273934,4.8258908078698335
"(10, 'split8')",0.1603256391912724,0.1805341393140367,7.781441894569164,4.846953842140596
"(10, 'split9')",0.2416969535864268,0.2996678373959424,7.512057066001481,4.578952094881684
"(10, 'mean')",0.2428053504709827,0.270800507377276,7.421002801985466,4.815421848593205
"(15, 'split0')",0.2556661022367263,0.3261548655423811,7.3531058438117265,4.676902340969914
"(15, 'split1')",0.408826071742473,0.4277564898429035,6.411239915399648,4.451999165357841
"(15, 'split2')",0.1569818161802231,0.1881567487526853,7.972440243978571,5.236134123575171
"(15, 'split3')",0.2137272796537852,0.335726740603317,7.744510272126775,4.662072402646827
"(15, 'split4')",0.3194818240358945,0.3695422644007729,7.122870506904568,4.451297517792434
"(15, 'split5')",0.2725991878432835,0.3424886756019527,7.459655501992404,4.587637194142543
"(15, 'split6')",0.3067329475714339,0.3207224903022589,7.229473312847145,4.724202649295843
"(15, 'split7')",0.2867943370602356,0.3424176788580552,7.113897842793842,4.626699861030053
"(15, 'split8')",0.2527466744090533,0.2734237478708204,7.345429494853713,4.571043483819183
"(15, 'split9')",0.2786067149515068,0.3301475108516847,7.330109889382958,4.536655545254579
"(15, 'mean')",0.2752162955684615,0.3256537212626831,7.308273282409135,4.652464428388439
"(20, 'split0')",0.3249136156845095,0.3730782753904751,7.069883191531644,4.46699427345087
"(20, 'split1')",0.444833646842584,0.4511050872985805,6.077392060282949,4.194071076307425
"(20, 'split2')",0.1748952941450609,0.2266605605051217,7.940153354023636,5.198391995875654
"(20, 'split3')",0.2486782322266754,0.3359877773983824,7.685052683497247,4.639524567876872
"(20, 'split4')",0.4296403933811991,0.4532665695900632,6.414083799538724,4.172275697363439
"(20, 'split5')",0.3549106435823825,0.3648187369806856,6.96664523778172,4.489243775101585
"(20, 'split6')",0.3221530628993764,0.3265413461985744,7.088419121226533,4.71735845467536
"(20, 'split7')",0.3347258898633639,0.4156803311496441,6.945253584130624,4.432876370597578
"(20, 'split8')",0.4266776730277545,0.4344162103879194,6.270555284179894,4.210727226414504
"(20, 'split9')",0.2664013291111846,0.3289181287876161,7.430493110797519,4.525840942313433
"(20, 'mean')",0.3327829780764091,0.3710473023687062,6.988793142699048,4.504730437997672
"(30, 'split0')",0.3517186048149291,0.3992648500255463,7.0287013817353365,4.427469145525467
"(30, 'split1')",0.4446516540625305,0.4751104170674989,5.863570713852921,4.155724586920417
"(30, 'split2')",0.1757458290222173,0.2762551561318543,8.116203661325043,5.09232367950136
"(30, 'split3')",0.3222780594501631,0.3622031124204229,7.2676950234517586,4.5559552746070295
"(30, 'split4')",0.4681787762066098,0.4823186841370106,6.164807723502017,3.976380872686793
"(30, 'split5')",0.4007152683075471,0.4114702803781634,6.591112916958084,4.436348022458061
"(30, 'split6')",0.4160767289740472,0.450483584695346,6.76927547136266,4.350925502778341
"(30, 'split7')",0.3628425613301975,0.4187950744376293,6.970225517453169,4.516064598277178
"(30, 'split8')",0.439537651326463,0.4433899978747091,6.298115860537894,4.132682509877855
"(30, 'split9')",0.4640236842805169,0.4744856584708179,6.069633374266967,4.052628835278933
"(30, 'mean')",0.3845768817775221,0.4193776815638999,6.713934164444585,4.369650302791143
"(40, 'split0')",0.4234243491199549,0.4755760628634027,6.745330584811578,4.195908085554667
"(40, 'split1')",0.4909751287615516,0.4960381070054478,5.705642249410361,3.9608183462190456
"(40, 'split2')",0.3158092079934537,0.3719501229122864,7.22617933771533,4.565149775644983
"(40, 'split3')",0.4859635118300967,0.4964397162539826,6.249440610825672,4.2248341494686406
"(40, 'split4')",0.4380192829692489,0.4475862964178974,6.466985826902273,4.072430130945211
"(40, 'split5')",0.3837784156527579,0.4121361808807354,6.600957325579643,4.475123949797452
"(40, 'split6')",0.4521074383715509,0.4622628184272099,6.517587644175155,4.308204230298934
"(40, 'split7')",0.4157071959499377,0.4373867745786726,6.73842922692231,4.382486852338415
"(40, 'split8')",0.4415046438837301,0.4444663285103592,6.410993360589389,4.19655054068307
"(40, 'split9')",0.4485437234962131,0.4581007103982886,6.1149711862197735,4.129859359379925
"(40, 'mean')",0.4295832898028495,0.4501943118248283,6.477651735315149,4.251136542033035
"(50, 'split0')",0.46755682821259803,0.5276669839760658,6.305237856667709,4.0351335125929815
"(50, 'split1')",0.5083933835725867,0.5123956148083314,5.681700091381535,3.9219620181444834
"(50, 'split2')",0.37030107892609376,0.4698444734848792,6.973865080323525,4.390822534733153
"(50, 'split3')",0.5004203712365092,0.5081176399719175,6.031529805942063,4.075894359935264
"(50, 'split4')",0.4421746904857644,0.4474105241572,6.519164665532529,4.027504745941796
"(50, 'split5')",0.42665030236395607,0.4417326491888114,6.2603654569140055,4.271748325329306
"(50, 'split6')",0.4692228314452126,0.47022961786370526,6.170911740248642,4.153120468991866
"(50, 'split7')",0.4538588669483392,0.49413367460965657,6.479252449653292,4.159744022339704
"(50, 'split8')",0.5000442913870684,0.5012128626283537,6.130622208143296,3.9393063677328652
"(50, 'split9')",0.4605808954516851,0.46478501702486186,6.199834813919281,4.076831155475684
"(50, 'mean')",0.45992035400298137,0.4837529057713782,6.2752484168725875,4.1052067511217105
