,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0966252919348653,0.2976126439067979,7.964376611245002,5.319299002077484
"(5, 'split1')",0.0514989835789317,0.1276416063983634,8.242789267955633,5.271316318520729
"(5, 'split2')",0.1935960015375142,0.2627017362267979,7.759868196172496,4.8385043822079385
"(5, 'split3')",0.2396179039263608,0.2493881790414511,7.520660389734457,4.792316395842788
"(5, 'split4')",0.2298593050068844,0.2785738808343254,7.448991863855696,5.008493704059189
"(5, 'split5')",0.1486414852834985,0.2213238147795756,7.933487979994139,4.993777344083938
"(5, 'split6')",0.2907428653626575,0.3092665527220323,7.2016436880366514,4.956612094123933
"(5, 'split7')",0.2787323133224353,0.303799399581526,7.1859290842349886,4.959856163124638
"(5, 'split8')",0.1001629253879117,0.1397474477916411,8.024625976045225,5.117110485800317
"(5, 'split9')",0.2790785178014813,0.3459159111787432,7.2496161645717825,5.299466433884856
"(5, 'mean')",0.1908555593142541,0.2535971172461254,7.653198922184606,5.055675232372581
"(10, 'split0')",0.3422800236362915,0.3510152029411283,6.861926770552254,4.557578607570297
"(10, 'split1')",0.340628758480729,0.3426488174690089,6.921663792299865,4.715950264858634
"(10, 'split2')",0.2962309083468072,0.3046754861892594,7.160018396571099,4.715942326497743
"(10, 'split3')",0.3213814109238139,0.3585313994286874,7.158371940812649,4.470137960259482
"(10, 'split4')",0.4017249205639467,0.4082074361882639,6.580459360637346,4.383615917893875
"(10, 'split5')",0.3340582992610462,0.3447139634777261,7.015928518947431,4.623912442763117
"(10, 'split6')",0.3274660125585907,0.3501813739356163,7.021568740739279,4.894852629145941
"(10, 'split7')",0.3188624050048335,0.3475618934579971,6.875974720606382,4.605803061963447
"(10, 'split8')",0.1795049039370692,0.1889305883241157,7.692059368398671,5.03792848889649
"(10, 'split9')",0.3101004754414208,0.3116156415594142,7.165234377315061,4.653689103393168
"(10, 'mean')",0.3172238118154549,0.3308081802971217,7.045320598688003,4.665941080324219
"(15, 'split0')",0.362163455598113,0.3800199568329029,6.806778488931629,4.473427367452179
"(15, 'split1')",0.3006485631803852,0.3359285160363407,6.973200109922814,4.440342321309593
"(15, 'split2')",0.3310324464821464,0.3535118582833052,7.1019126850436365,4.585139289933406
"(15, 'split3')",0.2887087370494686,0.3571298827319917,7.365989460992455,4.466100987482838
"(15, 'split4')",0.4265648248821483,0.4381403607450567,6.538488272288915,4.146320613437282
"(15, 'split5')",0.3904781616902913,0.4216851231955044,6.828518902660897,4.249170600742751
"(15, 'split6')",0.3817247212475536,0.3860764203460318,6.8272737900162905,4.500053670680433
"(15, 'split7')",0.3844101246474325,0.4130992982413728,6.609155454478414,4.33466492959048
"(15, 'split8')",0.3081064546331012,0.3105167763670121,7.068103588793402,4.614596810641704
"(15, 'split9')",0.3581463094826524,0.3750669948383416,6.914208298302684,4.446587308001866
"(15, 'mean')",0.3531983798893293,0.377117518761786,6.903362905143114,4.425640389927253
