,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2188971160593467,0.2969314941418937,7.405799418310378,4.903759961842788
"(5, 'split1')",0.1465669333941416,0.2054828613628012,7.818798654374579,4.960265620483297
"(5, 'split2')",0.0848738141054072,0.217298798612671,8.266439655421516,5.258782364555701
"(5, 'split3')",0.1544693232636627,0.2134881874792792,7.93057580867296,5.133857938439548
"(5, 'split4')",0.2682175585154782,0.3291223424976001,7.261117356388384,4.670377810373207
"(5, 'split5')",0.1165900089311932,0.1868033332759288,8.081446076773746,5.170096732662444
"(5, 'split6')",0.3274368930585377,0.3286378609793106,7.012878164834473,4.563658301531443
"(5, 'split7')",0.1947484123622215,0.2691434704837973,7.592774186251779,5.061640392841516
"(5, 'split8')",0.0910434787225304,0.1848504352383682,8.06518646874773,4.8125963350405065
"(5, 'split9')",0.2858166213081284,0.2895213052658664,7.215657305631515,4.64775951101427
"(5, 'mean')",0.1888660159720648,0.2521280089337517,7.665067309540706,4.918279496878472
"(10, 'split0')",0.3144843417966337,0.3320383830461091,7.005421200757446,4.530523831704749
"(10, 'split1')",0.3568002991087752,0.3775606721148565,6.836257558091281,4.387083838584217
"(10, 'split2')",0.2340941278224616,0.263273535694298,7.469417641803308,4.941957225386006
"(10, 'split3')",0.3373051475054673,0.3957725115401104,7.0738880543811415,4.368098620830959
"(10, 'split4')",0.3897549124891473,0.4056334884039148,6.64596272026053,4.294628523851101
"(10, 'split5')",0.3239146452979745,0.3593466736795563,7.069160048280494,4.51032613772991
"(10, 'split6')",0.3241362608757089,0.3360877655692058,7.038929359814918,4.774018792822057
"(10, 'split7')",0.3006695292650286,0.3265348959898581,6.967196690798858,4.628317366968938
"(10, 'split8')",0.1667183201972319,0.1938602343247614,7.751764129230531,4.844079123921224
"(10, 'split9')",0.2975733569845294,0.3148950327909472,7.229994485614609,4.422073353185027
"(10, 'mean')",0.3045450941342958,0.3305003193153618,7.108799188903312,4.570110681498419
"(15, 'split0')",0.2871631042067323,0.3277510566717299,7.195848376295226,4.682904343263131
"(15, 'split1')",0.4609880820327297,0.4612881548187199,6.1218625793104176,4.163808319568983
"(15, 'split2')",0.3078949198009608,0.3538355590522323,7.223685340013719,4.60183305274494
"(15, 'split3')",0.2762397053012122,0.3651314720874488,7.430272357215484,4.482913681095706
"(15, 'split4')",0.4137707668107938,0.4664388258528291,6.611026835297615,4.132761414060224
"(15, 'split5')",0.3832486275461308,0.4475082711406575,6.868896034195367,4.256201035208754
"(15, 'split6')",0.3479500118824548,0.3577460812588742,7.011272135637083,4.476611196324918
"(15, 'split7')",0.3662221099417955,0.3988039286393514,6.706080695419017,4.381174853941635
"(15, 'split8')",0.3337349555479794,0.3479078098337913,6.935963205323513,4.30408015392141
"(15, 'split9')",0.2879875395696897,0.293288905853365,7.282294443376008,4.492932494032798
"(15, 'mean')",0.3465199822640478,0.3819700065209,6.938720200208344,4.3975220544162505
