,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1254852951891583,0.2833662114504349,7.836125500023823,5.485891496639675
"(5, 'split1')",0.1135034783345501,0.1689960509861445,7.968816285150681,5.132384912369504
"(5, 'split2')",0.1645117844938215,0.2256153295932477,7.898564568483848,5.078022536984205
"(5, 'split3')",0.1463539061032314,0.1875178287826251,7.968543819511944,4.966566683426099
"(5, 'split4')",0.2660553480002195,0.2701310087721906,7.271836719957784,4.891914540355635
"(5, 'split5')",0.1603259989344713,0.17489080950678,7.878858108204938,5.131155034822845
"(5, 'split6')",0.2768115779262216,0.296392722664463,7.272027389294686,5.088572065660602
"(5, 'split7')",0.1865733901565492,0.2527568967679305,7.6312182915693665,5.232583456708074
"(5, 'split8')",-0.0070395677827812,0.061358946167761,8.489187488459459,5.539632316163137
"(5, 'split9')",0.2379065367582137,0.3290980535200967,7.453755588890949,5.529435649574678
"(5, 'mean')",0.1670487748113655,0.2250123858211674,7.766893375954747,5.2076158692704455
"(10, 'split0')",0.2833528997985827,0.3216531536135557,7.1627243270440495,4.880019900912725
"(10, 'split1')",0.3013058180527156,0.3052232186472357,7.125068813406521,4.781142876842759
"(10, 'split2')",0.2216422535472197,0.2483547678812523,7.529890651308469,4.982546460302103
"(10, 'split3')",0.2334363947807433,0.2831477363017306,7.6080872094842205,4.782848363407936
"(10, 'split4')",0.3289195190016986,0.343716445595574,6.969362566764948,4.694122024990284
"(10, 'split5')",0.292886183528851,0.2942597150524266,7.229557425042144,4.881893666271435
"(10, 'split6')",0.2739216948363541,0.3098721273944819,7.295730175197797,5.15959056569927
"(10, 'split7')",0.2559082015441392,0.3172581510290571,7.186709734325848,4.919454783665568
"(10, 'split8')",0.1215858833599234,0.1317791403280947,7.958922686187528,5.422463610657075
"(10, 'split9')",0.2811830514741646,0.2855962431978706,7.313859821276839,4.935488290422924
"(10, 'mean')",0.2594141899924392,0.284086069904128,7.337991341003837,4.943957054317208
"(15, 'split0')",0.2749572864837064,0.3313766568925126,7.257193698283578,4.943840209687998
"(15, 'split1')",0.4400676290207648,0.4401879578379484,6.239534357798358,4.371155615612187
"(15, 'split2')",0.2169590191516087,0.2499032732848689,7.683605298935833,5.096971376937579
"(15, 'split3')",0.2279515154210112,0.3003543941037918,7.674138687034912,4.768476079168252
"(15, 'split4')",0.3872543953319528,0.4171799740747383,6.758888572329004,4.357563646363992
"(15, 'split5')",0.3343571073638145,0.342593388065517,7.135962027475731,4.685666075097728
"(15, 'split6')",0.3711260750874265,0.3759100949234862,6.8855426455110695,4.551100917303675
