,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1875809849787114,0.2624604703375895,7.552797910453137,5.1521505247621935
"(5, 'split1')",0.0831729546143272,0.2229397654456895,8.103992019528395,5.024207680328622
"(5, 'split2')",0.1293516987561866,0.1770898491088005,8.063050631403176,5.154253534244937
"(5, 'split3')",0.2532371644130463,0.303166299967774,7.453004518745439,4.600552690923121
"(5, 'split4')",0.1804640861722082,0.2173228747752858,7.684161052378145,4.967314194129759
"(5, 'split5')",0.1523908539501666,0.1980572815556867,7.915999229486422,4.939661279266998
"(5, 'split6')",0.2944110386679747,0.3029771737758946,7.182996627260768,4.675249747441427
"(5, 'split7')",0.1044789716831305,0.1727423697701283,8.007050786789135,5.251941840646431
"(5, 'split8')",0.1149667126798331,0.1992951732993032,7.958343138537255,4.822256307006146
"(5, 'split9')",0.2427831024970062,0.2551557128001423,7.429869369079144,4.876003442375098
"(5, 'mean')",0.1742837568412591,0.2311206970836294,7.735126528366102,4.946359124112474
"(10, 'split0')",0.2418172203407285,0.2726594605988985,7.367370671335059,4.970461257019247
"(10, 'split1')",0.2762117513768328,0.3014544304455926,7.25189092801629,4.728641802841886
"(10, 'split2')",0.1194077176283815,0.1612610276219993,8.009150985664546,5.3490984870471285
"(10, 'split3')",0.2606346930140581,0.3207749470765311,7.471897719862936,4.685220272252414
"(10, 'split4')",0.3122399437649061,0.316609986176996,7.055442055021572,4.685591664465849
"(10, 'split5')",0.2496296668930074,0.2738349937818906,7.447403384581716,4.768091598676485
"(10, 'split6')",0.3549956868529252,0.3567251423539767,6.8763558438076,4.648618446033219
"(10, 'split7')",0.2531215142841637,0.2933578045372528,7.200154578576175,4.768196887710429
"(10, 'split8')",0.160624580713196,0.2037606718333027,7.780056593747972,4.805021649906427
"(10, 'split9')",0.2485403669516118,0.2683475068716929,7.478083430230365,4.664072283285237
"(10, 'mean')",0.2477223141819811,0.2768785971298133,7.393780619084422,4.807301434923833
"(15, 'split0')",0.2698928642158045,0.3195903879725986,7.282495335750977,4.785048515922885
"(15, 'split1')",0.4687156122262425,0.4792283292951074,6.077821198969247,4.319725102121756
"(15, 'split2')",0.1830670424941275,0.2346918670734604,7.848126780309654,5.131521791373164
"(15, 'split3')",0.1847491200302341,0.3011207789581965,7.885931388980178,4.805942873241806
"(15, 'split4')",0.3416452357038694,0.3737596728845349,7.005920030505735,4.397055838575813
"(15, 'split5')",0.3435644590334565,0.3592399853754591,7.08643689605766,4.544629076384873
"(15, 'split6')",0.3087161520189991,0.3287781871398439,7.219125358201786,4.613597227568275
"(15, 'split7')",0.2691396785901051,0.338054961903483,7.201408138441732,4.658790778401318
"(15, 'split8')",0.2467658194076133,0.2597431942686097,7.374766529430918,4.661393261636199
"(15, 'split9')",0.2882774057731089,0.3211724729821407,7.280811951113667,4.5955380996643
"(15, 'mean')",0.2904533389493561,0.3315379837853434,7.226284360776155,4.651324256489039
"(20, 'split0')",0.3379676571321042,0.358669213689419,7.0011948956108805,4.551078690449346
"(20, 'split1')",0.5085966866142047,0.5087394483754372,5.717744250348595,3.948528027154553
"(20, 'split2')",0.2005271795389774,0.2583088111221355,7.815849896870927,5.136210155513151
"(20, 'split3')",0.2198065096736284,0.3086772702296199,7.831320976324041,4.864052085497155
"(20, 'split4')",0.4237342196741711,0.432000760645869,6.447207750355911,4.221061108202527
"(20, 'split5')",0.3393702265739284,0.348437996583364,7.050060253266551,4.533900187700663
"(20, 'split6')",0.3453881505738875,0.3526822354884121,6.965872172072402,4.549406214045385
"(20, 'split7')",0.3445521964764126,0.4299446943377875,6.893770989943528,4.430370474097856
"(20, 'split8')",0.4198358636992446,0.4453226709094007,6.307859524609578,4.31281112065009
"(20, 'split9')",0.3083212353970792,0.3511367790037929,7.215070668880656,4.480750914588887
"(20, 'mean')",0.3448099925353638,0.3793919880385238,6.924595137828307,4.502816897789962
"(30, 'split0')",0.3757781028067033,0.417659966810401,6.897041085209434,4.424851566270183
"(30, 'split1')",0.481264761666293,0.5000173295802239,5.666988107965744,4.015446742640365
"(30, 'split2')",0.1671767228653526,0.2628564150140539,8.158283390215058,5.212746481806512
"(30, 'split3')",0.3209140146305973,0.3677034885051057,7.275005159057459,4.651858779407801
"(30, 'split4')",0.4612101072425525,0.4730198661692251,6.205066258387717,4.010791523025634
"(30, 'split5')",0.417580608299671,0.4323545405713765,6.49770602289012,4.4026402033651975
"(30, 'split6')",0.4055809115852045,0.4232721914871722,6.829842201319949,4.391249705512027
"(30, 'split7')",0.3719497779180767,0.393835857895584,6.920231731727793,4.425337782487223
"(30, 'split8')",0.4702231951406425,0.4766591414791072,6.123276833368637,4.005155342131692
"(30, 'split9')",0.4449346798072441,0.4641372012809938,6.176773931100958,4.112640103203868
"(30, 'mean')",0.3916612881962338,0.4211515998793244,6.675021472124287,4.365271822985051
"(40, 'split0')",0.4775982017843563,0.4830689470736197,6.420626718348411,4.228270500742551
"(40, 'split1')",0.4984435690594875,0.5054011608178077,5.66363083653038,3.866617407231854
"(40, 'split2')",0.3283494191794136,0.404872378175835,7.159650462859693,4.568759992388996
"(40, 'split3')",0.5052072164925241,0.5116422121874977,6.131346354699879,4.153905289123284
"(40, 'split4')",0.4372246953074367,0.4504587467831815,6.4715560656179605,4.071057956032662
"(40, 'split5')",0.4246221901170058,0.4493289113626412,6.37844810374034,4.291842350458023
"(40, 'split6')",0.4496331485400596,0.451707586714699,6.532287820997272,4.350230471801129
"(40, 'split7')",0.4228810669222904,0.4596267896781486,6.696934689076859,4.286586478289469
"(40, 'split8')",0.4675672552084555,0.4731237241415709,6.259619321325916,4.0522588670598845
"(40, 'split9')",0.4445578321544586,0.460712021738632,6.137030710668527,4.04414653316359
"(40, 'mean')",0.4456084594765489,0.4649942478673633,6.385113108386523,4.191367584629145
