,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.0435173007067247,0.2865628060283739,8.195140131397837,5.459199486903847
"(5, 'split1')",0.0437895269458311,0.1378664214602522,8.276220344140508,5.154780966401496
"(5, 'split2')",0.1825326540031097,0.2491347082512189,7.812917083169654,4.942715260318479
"(5, 'split3')",0.1429807614088887,0.2207724483073915,7.98427197136873,4.941673372529019
"(5, 'split4')",0.2105412522895913,0.259389854846394,7.541837737377459,4.9851893998847
"(5, 'split5')",0.145660825734592,0.2152028532987738,7.947363665159005,4.950179347525003
"(5, 'split6')",0.3224922861921024,0.334391346408291,7.038609895449686,4.793537945642724
"(5, 'split7')",0.231040391410929,0.3107103657590831,7.419701831367551,5.092239697515167
"(5, 'split8')",0.0657952082547844,0.1330128307134695,8.17643339189901,5.130315242066562
"(5, 'split9')",0.2615933221054667,0.3375489266667785,7.337005380261337,5.285775436195211
"(5, 'mean')",0.164994352905202,0.2484592561740026,7.772950143159077,5.073560615498221
"(10, 'split0')",0.3244709491832267,0.3548770793101513,6.954206425854729,4.614444632301981
"(10, 'split1')",0.3493685687229139,0.3497470719084117,6.875638258863901,4.627268066836981
"(10, 'split2')",0.2541955888829218,0.280189967066434,7.370747219665416,4.889391625520562
"(10, 'split3')",0.2898297927752614,0.3722236435868828,7.322891655117875,4.571095376069725
"(10, 'split4')",0.3923374710840922,0.4093015260480531,6.631884945519605,4.294692382467854
"(10, 'split5')",0.2844465598263048,0.3031423729821078,7.272572964909992,4.763757133671743
"(10, 'split6')",0.306254166322312,0.3357828947212293,7.131439914704839,4.894952399245836
"(10, 'split7')",0.320635158365069,0.3713531616164825,6.8670210606804005,4.529616222287897
"(10, 'split8')",0.1050373477771211,0.1667739079188302,8.033542373172045,5.58543346154439
"(10, 'split9')",0.3118648550939533,0.3149858234188017,7.156066167619443,4.6960484724727936
"(10, 'mean')",0.2938440458033177,0.3258377448577385,7.161601098610824,4.746669977241977
"(15, 'split0')",0.3069696871407484,0.3654793205780549,7.095173732219519,4.640049359155739
"(15, 'split1')",0.437668850078946,0.4459129180619459,6.252885316336873,4.308301461215473
"(15, 'split2')",0.2700965369962625,0.3207814841893013,7.418319151027459,4.826271164068216
"(15, 'split3')",0.249764260272852,0.3437034225931544,7.564952939653006,4.609757828371851
"(15, 'split4')",0.4018191827119914,0.4368150839297635,6.678077045573613,4.197270288891115
"(15, 'split5')",0.4176040990615518,0.4323790682833581,6.674842700714063,4.294482543230223
