,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.1495073334461284,0.2875423097165856,7.727750844044749,5.157235007297563
"(5, 'split1')",0.1158090154421175,0.1961096066696613,7.958447173616073,5.115900841582942
"(5, 'split2')",0.1431598439572277,0.2363901944223226,7.998856659576166,5.038805397351812
"(5, 'split3')",0.2444354129313183,0.2698100107306935,7.496798427257535,4.992788210281329
"(5, 'split4')",-0.2445830914237674,0.0813702072084231,9.469442513076745,6.247990584724178
"(5, 'split5')",0.1791885749901554,0.2293054213965561,7.789859461330656,4.932642104968441
"(5, 'split6')",0.3393281220300695,0.3441484569761729,6.950606211969932,4.54143607023404
"(5, 'split7')",0.2389159240078715,0.299666135022741,7.381608483072478,4.8654675020248455
"(5, 'split8')",0.1508230718829154,0.1745538456136848,7.7954636522709935,5.132052896861145
"(5, 'split9')",0.2629211218299346,0.2664429833027636,7.330405726239387,4.837387508745388
"(5, 'mean')",0.1579505329093971,0.2385339171059604,7.789923915245471,5.086170612407169
"(10, 'split0')",0.2447712822426344,0.2993603459835338,7.353004142498385,4.857051478476733
"(10, 'split1')",0.2405088060696142,0.2503419295387518,7.428598238554271,4.728899761660212
"(10, 'split2')",0.2317959760790225,0.2757897823904463,7.480615491472551,4.951285760801223
"(10, 'split3')",0.2975527454141022,0.3491605567305374,7.282965352397831,4.554159406171055
"(10, 'split4')",0.3785994683476638,0.400517027751106,6.7064326123031925,4.328739619469005
"(10, 'split5')",0.3178842531782828,0.3403789129739056,7.100617000010093,4.5517159016243856
"(10, 'split6')",0.3818024560157281,0.3884430701283146,6.731946736178149,4.467642231268342
"(10, 'split7')",0.2542793997133525,0.3362994811381819,7.194571215328196,4.631462756293853
"(10, 'split8')",0.2296544215989001,0.2712554492507792,7.453279878574175,4.607843773584043
"(10, 'split9')",0.3228136873237679,0.3248505246057552,7.098908260995868,4.515418175441062
"(10, 'mean')",0.2899662495983069,0.3236397080491312,7.183093892831272,4.619421886478992
"(15, 'split0')",0.3191032647421057,0.3703801316367376,7.032788299735347,4.556388744098872
"(15, 'split1')",0.4639926996276368,0.4786734561120701,6.104776165868988,4.32194058527375
"(15, 'split2')",0.3009392539686654,0.3854163148951209,7.259893663754859,4.657541438131119
"(15, 'split3')",0.256066124569892,0.3360595874948365,7.533113719594649,4.546664845620108
"(15, 'split4')",0.4230690983175084,0.4691451730147091,6.558387678134983,4.071606501757219
"(15, 'split5')",0.416990439512185,0.4266915017295637,6.678358352639609,4.29356548931133
"(15, 'split6')",0.3640835792182223,0.3864847522721155,6.923989462796167,4.395193612526131
"(15, 'split7')",0.3128663766622105,0.3736870785626871,6.98265898972946,4.507682101478192
"(15, 'split8')",0.3536798603349413,0.3618545380614936,6.831359029405211,4.279577110837891
"(15, 'split9')",0.3655920174483764,0.3749901552199157,6.873987802276393,4.351568219350504
"(15, 'mean')",0.3576382714401743,0.3963382688999249,6.877931316393567,4.3981728648385126
"(20, 'split0')",0.386434059134461,0.4125229567360511,6.740051049904326,4.3738233917123015
"(20, 'split1')",0.4928525780279218,0.4991224768881482,5.808617737334159,3.981544656006746
"(20, 'split2')",0.2554023004839,0.3654868606966148,7.542845347560037,4.830828203878336
"(20, 'split3')",0.2367912755877528,0.3288217065767507,7.745608222950433,4.76759952533142
"(20, 'split4')",0.4419544926180555,0.4618458382110727,6.344465751385874,4.021628513751468
"(20, 'split5')",0.3432002138860616,0.366256158261074,7.029594258827347,4.434261061438094
"(20, 'split6')",0.3826595642302169,0.3867353905550372,6.764659348865357,4.35457414952932
"(20, 'split7')",0.3974231295295135,0.4548683418643888,6.609886842357836,4.232633706415356
"(20, 'split8')",0.419415427254789,0.4597807548236035,6.310144717335734,4.195099860917912
"(20, 'split9')",0.3784313814625348,0.396484064405725,6.839634714372671,4.281478926326255
"(20, 'mean')",0.3734564422215207,0.4131924549018466,6.773550799089376,4.347347199530721
"(30, 'split0')",0.3935196163099609,0.4491226784298092,6.798321400097995,4.348547216774514
"(30, 'split1')",0.4754721934000904,0.4980091706009756,5.698541085649064,3.967851577683896
"(30, 'split2')",0.2231450265529809,0.3577586425599257,7.879385244051929,5.005800357951221
"(30, 'split3')",0.3470535421551803,0.3719563151575079,7.133615657183562,4.551150822401056
"(30, 'split4')",0.4984801112419401,0.5146178875657889,5.986607473300706,3.8600782990253553
"(30, 'split5')",0.4494035901938232,0.474317373299084,6.317697580403474,4.105349066326811
"(30, 'split6')",0.4330013393902638,0.4462332840357377,6.670452755290719,4.259121905364999
"(30, 'split7')",0.3682290233044761,0.3984423470094965,6.940700207323401,4.385526139649079
"(30, 'split8')",0.489655395349688,0.5097401156736838,6.0099268826001735,3.8757103908716
"(30, 'split9')",0.4286058432319021,0.4656591791297379,6.266969151801405,4.089270156257215
"(30, 'mean')",0.4106565681130306,0.4485856993461747,6.570221743770243,4.244840593230575
"(40, 'split0')",0.5100221798035918,0.5240034404753332,6.218180159712503,3.970705731347549
"(40, 'split1')",0.5320104086724221,0.537623062974682,5.470828906933275,3.783810123524489
"(40, 'split2')",0.408238162886951,0.458864083574244,6.720376431035271,4.33925561496967
"(40, 'split3')",0.5243848718238975,0.527282410515931,6.011349814811092,3.980555700211392
"(40, 'split4')",0.4495418780875704,0.4689029683297978,6.400344404349316,3.972868225013472
"(40, 'split5')",0.4273598061844087,0.4674551909935242,6.363255858074771,4.143864776017236
"(40, 'split6')",0.4662025506609673,0.4707913144084846,6.433205505428524,4.219436915594194
"(40, 'split7')",0.422360943868217,0.4393887630974531,6.699951784401674,4.246938044116103
"(40, 'split8')",0.4737106456041637,0.4856986220816031,6.223401735391683,3.9576477003733497
"(40, 'split9')",0.4404471957997296,0.4742303573164265,6.159697876260181,3.984279630115233
"(40, 'mean')",0.4654278643391919,0.485424021376748,6.270059247639829,4.059936246128268
"(50, 'split0')",0.49662372406091493,0.5304344776577538,6.130716238498397,3.996976884427319
"(50, 'split1')",0.5550977017590499,0.5617424965662922,5.405075574370955,3.7587867856817216
"(50, 'split2')",0.4230820382619541,0.4909520988625127,6.675197145611267,4.252253930590159
"(50, 'split3')",0.5053543044515743,0.5104867380247614,6.001671695982673,4.047311058686996
"(50, 'split4')",0.4412110809572144,0.4483988771668698,6.5247929675386915,4.015616230104408
"(50, 'split5')",0.3506063583115254,0.43701930994279675,6.66260257888543,4.27049797436594
"(50, 'split6')",0.4181042983927791,0.43183580405684324,6.461238806814249,4.290386650382557
"(50, 'split7')",0.4806426800827357,0.49114217734708276,6.318377743706402,4.01086335839667
"(50, 'split8')",0.5491410635378501,0.5517017231603096,5.82182476807882,3.6744706215972607
"(50, 'split9')",0.452261954233826,0.47817193803106894,6.2474589411479355,4.03867435078198
"(50, 'mean')",0.4672125204049424,0.4931885640816292,6.224895646063482,4.035583784501501
