,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2367606760420966,0.2610941937238111,7.320625557698846,5.055979759598285
"(5, 'split1')",0.0553885896774405,0.0843346627766641,8.225870920212564,5.352430750641374
"(5, 'split2')",0.0984001901150199,0.1201645130384184,8.205119568664008,5.446962307564081
"(5, 'split3')",0.1620877974744244,0.1761574782670045,7.8947665805529725,5.1585704844835805
"(5, 'split4')",0.1647638034269681,0.1687125555950374,7.757416635578209,5.322410696262168
"(5, 'split5')",0.0788717619369832,0.1096237768833937,8.25216635351492,5.396631334976778
"(5, 'split6')",0.2723990159023599,0.2791223532274654,7.294178928726552,4.902862379387114
"(5, 'split7')",0.2429912594470952,0.2638333183188767,7.361819007703996,5.037076766419996
"(5, 'split8')",-0.1867619997505594,0.0391160114286364,9.21562244365835,6.245594209225353
"(5, 'split9')",0.2163729505096514,0.2335456051328959,7.558328078448013,4.987103253429059
"(5, 'mean')",0.134127404478148,0.1735704468392204,7.908591407475844,5.290562194198779
"(10, 'split0')",0.2698623031015111,0.303405928974143,7.22982771939658,4.758490151886059
"(10, 'split1')",0.1772424936705868,0.1796630653631437,7.731814504808763,4.982219737837041
"(10, 'split2')",0.2178832870698223,0.2307614192222229,7.548051012454095,5.017470182894842
"(10, 'split3')",0.1886671407803419,0.2358648964363696,7.827100619545096,4.953042113354703
"(10, 'split4')",0.3045282854274641,0.3045885130579712,7.094887126431813,4.874106287699692
"(10, 'split5')",0.1854950938936093,0.2096224920659168,7.759145617741068,5.161444623782039
"(10, 'split6')",0.2990924168709132,0.3039058153170225,7.168155414380177,5.02037230059111
"(10, 'split7')",0.2302910904121822,0.2549952802473065,7.309372625169452,4.916381164440455
"(10, 'split8')",0.0279605182050159,0.0884775966759809,8.372334768010015,5.802235119477492
"(10, 'split9')",0.2110695000244709,0.2314198710095229,7.662259409501332,4.835521081258529
"(10, 'mean')",0.2112092129455918,0.2342704878369599,7.570294881743839,5.032128276322196
"(15, 'split0')",0.2672671975496179,0.3306237859832173,7.295578514708348,4.743280664689618
"(15, 'split1')",0.2903047783365688,0.3041299539425007,7.024579519768899,4.879837412894155
"(15, 'split2')",0.1790829381007787,0.2108342840294719,7.867240788568496,5.139641958915488
"(15, 'split3')",0.1789205822245255,0.2776197045457935,7.914070940982886,4.803645152991741
"(15, 'split4')",0.303102492836532,0.3138151260538422,7.208080693479304,4.740543543621015
"(15, 'split5')",0.2605609847828655,0.2993765639340485,7.521129414895772,4.744420377550635
"(15, 'split6')",0.2877656971628345,0.2945088764147444,7.327702378091943,4.905803504456732
"(15, 'split7')",0.2986866846222435,0.3299986227388681,7.054338173689761,4.67583193303059
"(15, 'split8')",0.2228334190672952,0.2314564636612436,7.491009103355664,4.804904198484491
"(15, 'split9')",0.2460162967545127,0.2748641994913856,7.493857271113476,4.86273474348827
"(15, 'mean')",0.2534541071437775,0.2867227580795116,7.4197586798654545,4.830064349012273
"(20, 'split0')",0.315073754120323,0.3519537046830965,7.121221070955974,4.607742345220294
"(20, 'split1')",0.4601205289985762,0.4687470653535682,5.993135439133844,4.303140781486461
"(20, 'split2')",0.1982998631939765,0.2504485485224065,7.826729730301174,5.110757645206176
"(20, 'split3')",0.1908348578920283,0.2712859876256858,7.975399486848013,4.862156171692204
"(20, 'split4')",0.4285468864620058,0.4306268068262101,6.420229471826128,4.380317979900531
"(20, 'split5')",0.3293772293391046,0.3529089023151964,7.103181390057886,4.603720363026302
"(20, 'split6')",0.347917798623279,0.36280417994079,6.952399866646272,4.582264802314996
"(20, 'split7')",0.31707047495344,0.3788350484294568,7.036808631078337,4.589972496345221
"(20, 'split8')",0.37287809292775,0.391138374732316,6.55816833226484,4.661432502661
"(20, 'split9')",0.2676672831626546,0.3154559722519647,7.42407902844479,4.670972375642166
"(20, 'mean')",0.3227786769673137,0.3574204590680691,7.041135244755727,4.637247746349535
"(30, 'split0')",0.3465772693834411,0.3931441540129136,7.05651765606894,4.611009276886148
"(30, 'split1')",0.4581283204642967,0.4780830610258674,5.791987987784194,4.198392400691579
"(30, 'split2')",0.1690927402490626,0.254438845321155,8.148893394700092,5.189901151126831
"(30, 'split3')",0.3333041723851283,0.361948675705099,7.208332153365378,4.707775561017074
"(30, 'split4')",0.4723123346211071,0.477562462942338,6.140803132612344,4.060292832543726
"(30, 'split5')",0.4174353332892457,0.4176615640800424,6.498516345715482,4.412814656470305
"(30, 'split6')",0.3936262252982988,0.4162477578929885,6.898179658373106,4.492650222469927
"(30, 'split7')",0.3300029170575244,0.388109985663961,7.147594512076615,4.642764472879945
"(30, 'split8')",0.4646334290356518,0.4713250348552675,6.15549594208137,4.196040187470466
"(30, 'split9')",0.4588002518273674,0.4771267575896029,6.099137895656456,4.253178688847632
"(30, 'mean')",0.3843912993611124,0.4135648299089235,6.714545867843398,4.476481945040364
"(40, 'split0')",0.4267958068740323,0.4613586628358358,6.725580410379775,4.313380162685757
"(40, 'split1')",0.4830043107042974,0.4928081481086375,5.750141037034498,4.100888089553711
"(40, 'split2')",0.3605080617620355,0.4373807310876077,6.986146040475173,4.496961040494832
"(40, 'split3')",0.4781720928738161,0.4928006167377327,6.296624892695745,4.291040301612466
"(40, 'split4')",0.4664939753700725,0.4802268039279178,6.301020116466939,4.097298839321721
"(40, 'split5')",0.4735955995940744,0.4784556350965241,6.100960700710192,4.245046307304694
"(40, 'split6')",0.451830428098915,0.4597864124723799,6.519235057108228,4.350060333875148
"(40, 'split7')",0.4057706404546427,0.4344902922295771,6.795484954663305,4.501113977785452
"(40, 'split8')",0.4576213858631482,0.4607799485502173,6.3178138052044535,4.250915883016782
"(40, 'split9')",0.4701173635406731,0.4836268872190341,5.994165326916985,4.121893275511752
"(40, 'mean')",0.4473909665135707,0.4681714138265464,6.37871723416553,4.276859821116231
"(50, 'split0')",0.456261722495818,0.4940419044468566,6.371765689314028,4.230960556331856
"(50, 'split1')",0.5271941049589524,0.5306571217996582,5.571997173869805,3.906960762867598
"(50, 'split2')",0.4411817145714161,0.5065558479049054,6.5696520829345735,4.272503221467483
"(50, 'split3')",0.4787271292214931,0.4802976173823993,6.161091793423115,4.314966366132143
"(50, 'split4')",0.4695271816510296,0.47278127307598955,6.3573249557414755,4.049467318019214
"(50, 'split5')",0.47569053493955504,0.4779964363112127,5.986648248276317,4.109869821666615
"(50, 'split6')",0.42016735382626913,0.42081220307079126,6.449774785214866,4.406882173366586
"(50, 'split7')",0.42246448098016665,0.4568163184360668,6.662877176580373,4.417561791492905
"(50, 'split8')",0.5050872577938803,0.5064542666670148,6.099624582349386,3.9537645588074497
"(50, 'split9')",0.4971417462355656,0.4999375485498318,5.986041839887817,4.079088647991088
"(50, 'mean')",0.46934432266741466,0.4846350537644725,6.221679832759175,4.174202521814292
