,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2021971710734081,0.2326055296585084,7.484548562464403,4.829220707089353
"(5, 'split1')",0.0105321312776652,0.1170916093586574,8.418915383809987,5.2448105071182045
"(5, 'split2')",0.059799604428973,0.1389818528548085,8.378923459801152,5.248194479630612
"(5, 'split3')",0.1037453894403753,0.1973909281456064,8.164991517313933,4.886009685802944
"(5, 'split4')",0.1309178940927735,0.1912603903708516,7.9130310100112835,4.9493548560290135
"(5, 'split5')",0.083315749916159,0.1764491205416908,8.232235976135604,5.049126986856672
"(5, 'split6')",0.2212179779551198,0.2409727817529204,7.54636369905973,4.879819818835846
"(5, 'split7')",0.1246109625437045,0.2246631686133538,7.916536907476317,5.049706223167336
"(5, 'split8')",0.0137200365756273,0.1648960755580603,8.401231713435047,5.054315488205822
"(5, 'split9')",0.1189143317954324,0.169912349886433,8.01456763450731,4.984410796948015
"(5, 'mean')",0.1068971249099238,0.1854223806740891,8.047134586401478,5.017496954968381
"(10, 'split0')",0.2021530460866969,0.2699583841057806,7.557625338458471,4.823166228358779
"(10, 'split1')",0.2087806786666406,0.2152600483113752,7.582177405015928,4.907612948874721
"(10, 'split2')",0.1410582267724676,0.1889763201075646,7.910080543429766,5.099679313647721
"(10, 'split3')",0.158692112512174,0.2567416399858382,7.970377006311814,4.845003494174199
"(10, 'split4')",0.3066641425453971,0.3281895544402698,7.083984226051988,4.544915424596275
"(10, 'split5')",0.1915214208201348,0.2540611258825462,7.730388295841747,4.8721074479797855
"(10, 'split6')",0.2681456171904781,0.2700656370323386,7.324692083473503,4.864642588261389
"(10, 'split7')",0.1708250011529377,0.2712572138899194,7.586473497021535,4.873156170935817
"(10, 'split8')",0.0907694991399025,0.1711249739286418,8.097326117198566,4.923750966162993
"(10, 'split9')",0.1491675950147528,0.2104480140279609,7.957185620658336,4.829959699418472
"(10, 'mean')",0.1887777339901582,0.2436082911712235,7.680031013346165,4.858399428241016
"(15, 'split0')",0.1735790751819347,0.2718327017319059,7.747963587879985,4.91726466397727
"(15, 'split1')",0.3937021968497957,0.4029953552685087,6.49273069937857,4.470821894804421
"(15, 'split2')",0.1476942819116915,0.2183471028443929,8.016236150452128,5.104951011742702
"(15, 'split3')",0.1443442967572052,0.2580801614279225,8.078986469556755,4.866669368793628
"(15, 'split4')",0.2805629761083077,0.3233521282184834,7.323717373518107,4.586352055239488
"(15, 'split5')",0.2252801953252911,0.2929496632558163,7.698466245082602,4.754545805077943
"(15, 'split6')",0.2469016995129275,0.2710856301493451,7.5349818797375505,4.816979186604572
"(15, 'split7')",0.1928134397258817,0.2913031891488056,7.568105787189176,4.827024565018565
"(15, 'split8')",0.1822558435884229,0.2058354982872051,7.68408200327545,4.797596534954733
"(15, 'split9')",0.1725855005379548,0.2263030758697656,7.850295437327854,4.8081145605208695
"(15, 'mean')",0.2159719505499412,0.2762084506202151,7.599556563339819,4.795031964673419
"(20, 'split0')",0.2719528024052107,0.3352404064510474,7.341965362320897,4.637614902178756
"(20, 'split1')",0.4462904110819758,0.4482249874210071,6.069413242026212,4.208683663912174
"(20, 'split2')",0.1334266781638927,0.2137880089873598,8.137237947387904,5.202106508057966
"(20, 'split3')",0.1589986688627607,0.2481596895587876,8.130779899083024,4.899336542696701
"(20, 'split4')",0.4036006371874784,0.4109504101473463,6.558867154499444,4.319079640447598
"(20, 'split5')",0.3008617159370058,0.3332097625951388,7.252626283077561,4.613923203271779
"(20, 'split6')",0.2868020008170122,0.2996807208569244,7.27090763192104,4.715649487540706
"(20, 'split7')",0.2031278696090921,0.3176722561493912,7.601199217754108,4.807602230721335
"(20, 'split8')",0.370845927117883,0.3781095412895526,6.568785491481698,4.456603806748883
"(20, 'split9')",0.1796778313382597,0.2446374308058556,7.857431291505955,4.79689683035798
"(20, 'mean')",0.2755584542520571,0.322967321426241,7.278921352105785,4.665749681593388
"(30, 'split0')",0.2822904039355122,0.350873978168185,7.395502528642266,4.661250081533014
"(30, 'split1')",0.4060532630682264,0.4374229728026905,6.0639159920787975,4.256939115059345
"(30, 'split2')",0.1079632660856537,0.2435623722893594,8.443329327807739,5.295543258994683
"(30, 'split3')",0.324159858609213,0.3699373810228616,7.257598073372041,4.657303826179278
"(30, 'split4')",0.4394557715515601,0.4520376635296922,6.3290954572990525,4.084147813140072
"(30, 'split5')",0.3747759788211737,0.3776840897634061,6.732245939051763,4.476487509086453
"(30, 'split6')",0.3473358491310544,0.3753199643335954,7.156640064658058,4.547331165724313
"(30, 'split7')",0.302282012415542,0.3629720306184667,7.293960557750093,4.654268564928875
"(30, 'split8')",0.4132449421664582,0.4148813074370128,6.444153034729051,4.273029384029196
"(30, 'split9')",0.4408472300909222,0.4464985421522338,6.19947481213127,4.20841605305518
"(30, 'mean')",0.3438408575875316,0.3831190302117504,6.931591578752013,4.5114716771730405
"(40, 'split0')",0.3916283540651769,0.4426730475671634,6.928824680340654,4.345690092848623
"(40, 'split1')",0.4844622710468285,0.4899644033396084,5.742027433186539,4.054326243687048
"(40, 'split2')",0.2612824537844146,0.3452119149585046,7.508606246101816,4.764249027918053
"(40, 'split3')",0.448672302058853,0.4588906404861457,6.472157495833004,4.390429667889644
"(40, 'split4')",0.4549120563394099,0.4701765741542985,6.369047535615482,4.070630307120417
"(40, 'split5')",0.4235980869760533,0.4282870921968081,6.384122014501247,4.370446621966982
"(40, 'split6')",0.4044901485780211,0.4166473311914597,6.79490912685018,4.435353300963388
"(40, 'split7')",0.3621099648976236,0.395504013672861,7.040707647620208,4.584551307330177
"(40, 'split8')",0.4311271798423696,0.4353842619317387,6.470280909741432,4.21537621999532
"(40, 'split9')",0.4381945926770548,0.4452784084303256,6.172084033590168,4.225772364702591
"(40, 'mean')",0.4100477410265805,0.4328017687928914,6.588276712338073,4.345682515442225
"(50, 'split0')",0.3964261155593084,0.44274366079235133,6.713207384731964,4.359546211678665
"(50, 'split1')",0.49170735719483427,0.4943335385342359,5.777319129387545,3.9865825697027817
"(50, 'split2')",0.3474989953630959,0.44859462203452843,7.099007889116508,4.496357249172015
"(50, 'split3')",0.4734422130780015,0.47654365495460843,6.1922450929861474,4.299594004897111
"(50, 'split4')",0.4514977331709169,0.4571449104355434,6.464457085480304,4.035522941700288
"(50, 'split5')",0.4595584031543396,0.4595715452228496,6.0780501175868205,4.06645633707582
"(50, 'split6')",0.409081952591697,0.41012316280504235,6.51113717891438,4.317243990353265
"(50, 'split7')",0.4034806979784751,0.4507935026654197,6.7714972839539636,4.388903695916768
"(50, 'split8')",0.415062170311713,0.4195270700703189,6.631223153256403,4.312147244395858
"(50, 'split9')",0.4603070009230973,0.46032947447494943,6.201408622964858,4.136405373599174
"(50, 'mean')",0.43080626393254784,0.4519705141989848,6.44395529383789,4.239875961849175
