,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2269798112516392,0.2429941177572395,7.367382918548788,5.035592566985959
"(5, 'split1')",0.0653065771304423,0.090922323037007,8.182573028490026,5.429930578314361
"(5, 'split2')",0.1048502796205543,0.1769220109573958,8.175716972338176,5.297431407431575
"(5, 'split3')",0.1505553819809499,0.1831902977375483,7.948909839106216,5.122774370083102
"(5, 'split4')",0.2073526798354279,0.2077074573779072,7.557052885272259,5.287950561071597
"(5, 'split5')",0.0608971873388739,0.0974231287856501,8.33229230008231,5.3883697582589365
"(5, 'split6')",0.2361310582584495,0.2570858859232667,7.473760899346498,4.886485002286712
"(5, 'split7')",0.2040907929757843,0.2472273521138356,7.548600705458312,5.256660527310324
"(5, 'split8')",-0.0504071595368815,0.0381340116801828,8.670051846016191,5.44508262152041
"(5, 'split9')",0.197300430574484,0.223240036278777,7.649755327242549,5.016504932378904
"(5, 'mean')",0.1403057039429724,0.176484662164881,7.890609672190132,5.216678232564189
"(10, 'split0')",0.2433077060060956,0.2796450290763886,7.360125477460394,4.847952089238236
"(10, 'split1')",0.1969899118312249,0.2054277203772924,7.638463369754701,5.026601603866148
"(10, 'split2')",0.1976154588731,0.2216897903096812,7.645225855773263,4.986322461344402
"(10, 'split3')",0.18307865549018,0.2319912319761022,7.854011012150921,5.015563330570572
"(10, 'split4')",0.2650741119157391,0.2651521169717796,7.29335793259834,5.0797774546612215
"(10, 'split5')",0.1501689378647809,0.1852079147136497,7.925621910829533,5.192817545750123
"(10, 'split6')",0.2737974999465505,0.276006194882017,7.296354111800426,4.970091995297902
"(10, 'split7')",0.226291424279227,0.2647678412195208,7.3283389963185135,5.015791471774856
"(10, 'split8')",0.1145584304241474,0.1194763201328279,7.990695590699208,5.224828441168632
"(10, 'split9')",0.2220218247742502,0.2463657813411063,7.608887885666788,4.829459530651804
"(10, 'mean')",0.2072903961405296,0.2295729941000366,7.594108214305208,5.018920592432389
"(15, 'split0')",0.2600334180743868,0.3126899271265655,7.331502246304295,4.759693126214724
"(15, 'split1')",0.2642799349307718,0.2667023216650482,7.15221716960659,4.932530178929611
"(15, 'split2')",0.1648127085979234,0.1944420462088407,7.93532539681472,5.202257416529809
"(15, 'split3')",0.1326185573842512,0.2249854228677801,8.134154539348328,5.027984047059152
"(15, 'split4')",0.2819716511568876,0.3072826826019824,7.316543852667943,4.801574694645283
"(15, 'split5')",0.1978844120335475,0.2212770671078295,7.833400996686787,5.004303095183135
"(15, 'split6')",0.2490438042527382,0.265440511799947,7.524258037734405,4.989368667295998
"(15, 'split7')",0.2830557289645505,0.2983042581300373,7.132518918377154,4.80480983515826
"(15, 'split8')",0.2074172496312528,0.2343233322693289,7.564941507013372,4.828758495166185
"(15, 'split9')",0.2180467707327178,0.2544494419890438,7.631586418521176,4.898619135532148
"(15, 'mean')",0.2259164235759028,0.2579897011766403,7.555644908307476,4.924989869171431
"(20, 'split0')",0.279061448015073,0.3290465072514867,7.306034000351608,4.745221142525439
"(20, 'split1')",0.3718231698835286,0.3747209981745891,6.4646741972926645,4.561811685072443
"(20, 'split2')",0.1760046006427417,0.2188752593649538,7.9348140158020595,5.194787689450153
"(20, 'split3')",0.1636371283874378,0.2612583067438023,8.108326641083774,4.993070415163714
"(20, 'split4')",0.315603957747149,0.3174901703902387,7.026094617587706,4.808625664361692
"(20, 'split5')",0.2914196018377597,0.3125255363489775,7.301436699059838,4.789612362727838
"(20, 'split6')",0.2935327274413157,0.3127243954982349,7.236517110217241,4.755269082432863
"(20, 'split7')",0.2473180989735421,0.3032750306858818,7.38743261497448,4.846902343768504
"(20, 'split8')",0.3287287357348166,0.3440283228211128,6.785089831038136,4.819226990536688
"(20, 'split9')",0.2467819087128117,0.3068253035627762,7.529198365207929,4.741857562782117
"(20, 'mean')",0.2713911377376176,0.3080769830842054,7.307961809261544,4.8256384938821455
"(30, 'split0')",0.2833944764939744,0.3339794673107069,7.389811986090176,4.806810237973592
