,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.2114582836271294,0.2432661775888255,7.440980416437385,4.817963773539863
"(5, 'split1')",0.08209791951233,0.1830597407754764,8.108741837702109,5.107266666150588
"(5, 'split2')",0.0238589665166427,0.1608815413715103,8.537570306718367,5.269571387345255
"(5, 'split3')",0.1191389500728486,0.2140660700371652,8.094569193547512,4.9148371862836
"(5, 'split4')",0.1620838086192807,0.2414169917110478,7.7698521515293315,4.926341597772431
"(5, 'split5')",0.1130969868979924,0.1815503912355097,8.097407419939211,5.017760593023028
"(5, 'split6')",0.2155244136785973,0.2470370258142475,7.573898658955149,4.875571524154831
"(5, 'split7')",0.127468633720574,0.1989424307702716,7.903604741652964,5.032568069112057
"(5, 'split8')",-0.0142174649600614,0.1320124869200558,8.519388049118774,5.193472446703324
"(5, 'split9')",0.12418602333031,0.1900623173662688,7.990555374717005,4.932882879578168
"(5, 'mean')",0.1164696521015644,0.1992295173590379,8.00365681503178,5.008823612366315
"(10, 'split0')",0.1750439961779142,0.2698483094625264,7.684948413110965,4.845937670472318
"(10, 'split1')",0.2173287981161241,0.258129827117302,7.541108282362943,4.8918918414415655
"(10, 'split2')",0.1322279657351538,0.1695978194768246,7.950635956264612,5.129459565276452
"(10, 'split3')",0.102072825105389,0.2075921008242606,8.234210056826404,5.008221595346525
"(10, 'split4')",0.2462948888878082,0.2758668515884551,7.385952069379985,4.775194089702912
"(10, 'split5')",0.1969141676405771,0.2584797599430836,7.70456338341187,4.877237791718744
"(10, 'split6')",0.2471616193158325,0.2557778452904151,7.42895810880928,4.912380816990346
"(10, 'split7')",0.1807095635265796,0.2382329360801884,7.541118898892718,4.906903562940437
"(10, 'split8')",0.0817604967397903,0.1530969323245131,8.13734293299665,4.949703471786302
"(10, 'split9')",0.1414044789432321,0.2122738966990187,7.99340443942534,4.905001833034541
"(10, 'mean')",0.1720918800188401,0.2298896278806587,7.760224254148076,4.920193223871014
"(15, 'split0')",0.1646709407597741,0.2605130852358547,7.789609981643505,4.884835721940522
"(15, 'split1')",0.3011999428876678,0.3188107669277101,6.970450677396419,4.700224943219037
"(15, 'split2')",0.1354040565162653,0.1869606788141134,8.073826235878814,5.177855195859438
"(15, 'split3')",0.0846449292275798,0.2001308422411563,8.356071586854643,5.071907663912185
"(15, 'split4')",0.2215923711960225,0.2791867320534691,7.61796066987281,4.79590133148159
"(15, 'split5')",0.1801249981273549,0.2271361134954292,7.9196447910414705,4.898120227642139
"(15, 'split6')",0.2076199235516642,0.2362253890453446,7.728997237148802,4.981673385984368
"(15, 'split7')",0.2242546730279054,0.2731816230163328,7.419246781073807,4.807392271488146
"(15, 'split8')",0.1337243701705215,0.1890402741391239,7.908813141169947,4.868663745173066
"(15, 'split9')",0.1336923312287329,0.1963947828828883,8.032680942123458,4.943336197554968
"(15, 'mean')",0.1786928536693489,0.2367580287851423,7.781730204420368,4.912991068425546
"(20, 'split0')",0.2316181971701814,0.3113265480459679,7.54260039623175,4.749026624264383
"(20, 'split1')",0.3551471553556602,0.3728583682380298,6.549920000063457,4.500564502264826
"(20, 'split2')",0.0993207023343161,0.1741373875060301,8.295822450276235,5.287460194486044
"(20, 'split3')",0.1391127710153322,0.2367624810528934,8.226346452196148,4.970909139489982
"(20, 'split4')",0.3113898353031118,0.3267465099403759,7.0476927730416765,4.659111929027853
"(20, 'split5')",0.2336603808393981,0.2739315701972291,7.593192266881131,4.802433236918396
"(20, 'split6')",0.2443773400418577,0.2645261856767082,7.4840392426533136,4.893071876440055
"(20, 'split7')",0.1698640166861171,0.2725889933125233,7.758225802590113,4.911137322922222
"(20, 'split8')",0.2890084820900738,0.3025599351335268,6.982947606658852,4.901587200371344
"(20, 'split9')",0.144218914580637,0.2103928321113378,8.025455845075262,4.953950280809698
"(20, 'mean')",0.2217717795416685,0.2745830811214622,7.550624283566793,4.862925230699481
"(30, 'split0')",0.2249280033905849,0.3047092466452961,7.6853621375433665,4.850050239084435
"(30, 'split1')",0.2942537464686886,0.3087641055307872,6.610034350318241,4.56454462271669
"(30, 'split2')",0.0875015621258701,0.206553297660174,8.539617615431277,5.350257314444601
"(30, 'split3')",0.2456095192157076,0.3086498553117841,7.667769013346424,4.932306004810046
"(30, 'split4')",0.3317982619214751,0.3682502106905207,6.910198194034411,4.399458364295106
"(30, 'split5')",0.2670862431491857,0.2748653279352138,7.289010605441244,4.832979782706412
"(30, 'split6')",0.2712793587218393,0.3060351440101295,7.562142060975001,4.865616000776486
"(30, 'split7')",0.2463825164223185,0.2991711164788811,7.580518875004132,4.847452767553223
"(30, 'split8')",0.3111907071868126,0.3137050014821402,6.982113804267517,4.67680693677719
"(30, 'split9')",0.3020717654058207,0.3146913946350069,6.926200247357738,4.651988769933031
"(30, 'mean')",0.2582101684008303,0.3005394700379934,7.375296690371935,4.797146080309721
"(40, 'split0')",0.3000810689645038,0.3574018988487322,7.431884647212596,4.700238628038036
"(40, 'split1')",0.3623163595513328,0.3716796579289032,6.3861288044807,4.420443720235175
"(40, 'split2')",0.142531364241757,0.2363226131614412,8.089640921462703,5.11832338355413
"(40, 'split3')",0.3431782797752791,0.3620900168450314,7.06428031961418,4.772885627931121
"(40, 'split4')",0.3238875099709619,0.3762683313721682,7.093338439480952,4.476783881987123
"(40, 'split5')",0.2722263673761772,0.2731203027167606,7.17359130675339,4.852500929958091
"(40, 'split6')",0.3065468490585284,0.3275804484271535,7.332426878513464,4.76466765550849
"(40, 'split7')",0.281250131415294,0.3248254728735081,7.473642018634035,4.845287840863634
"(40, 'split8')",0.3226633095955177,0.3295993666229626,7.060213668886876,4.713398749248884
"(40, 'split9')",0.3252961710700068,0.3368765264448103,6.763873244972757,4.534813031733391
"(40, 'mean')",0.2979977411019359,0.3295764635241471,7.1869020250011655,4.719934344905807
"(50, 'split0')",0.3000327500563126,0.3702546564973724,7.22942412146143,4.6794176400840914
"(50, 'split1')",0.3540034680260712,0.36912508211477146,6.513051906321677,4.373349199773513
"(50, 'split2')",0.1990142004804527,0.3036697427094344,7.865375748710113,4.946962831871547
"(50, 'split3')",0.36365333571434577,0.3780017293110482,6.807254752197396,4.647297516821798
"(50, 'split4')",0.3381828263261303,0.3661283763718853,7.100874869451506,4.516538439972144
"(50, 'split5')",0.3101669644250896,0.3116469909900568,6.866918402321038,4.611043691225894
"(50, 'split6')",0.27681064735739325,0.2775724786067898,7.203096449254749,4.871052641362338
"(50, 'split7')",0.29933635937201264,0.3390572351606399,7.338837116561371,4.830409926714604
"(50, 'split8')",0.34612830624261925,0.3502529208469889,7.011082165906902,4.628749176523082
"(50, 'split9')",0.32669575661605,0.34141299220046833,6.92664025266144,4.556691947607497
"(50, 'mean')",0.31140246146164774,0.34071222048094557,7.086255578484762,4.666151301195651
