,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.247099556,0.292152226,7.27087371,4.96559153
"(5, 'split1')",0.003491999,0.125211052,8.44881288,5.342466892
"(5, 'split2')",0.137924926,0.216763695,8.023254208,5.047839037
"(5, 'split3')",0.174124342,0.238328967,7.837857612,4.865316589
"(5, 'split4')",0.184419593,0.202971737,7.665594741,5.277228597
"(5, 'split5')",0.046470375,0.111853237,8.396050102,5.509600883
"(5, 'split6')",0.249959104,0.250834684,7.40580454,4.977885336
"(5, 'split7')",0.190256753,0.273154835,7.613920828,5.064596217
"(5, 'split8')",-0.066269411,0.122752206,8.735269998,6.204023645
"(5, 'split9')",0.287645807,0.320441129,7.206410915,4.554137352
"(5, 'mean')",0.145512304,0.215446377,7.860384953,5.180868608
,0.11578412,0.074264849,0.527697197,0.447392209
"(10, 'split0')",0.307507479,0.346095112,7.040979931,4.639212544
"(10, 'split1')",0.256799835,0.281148019,7.34849492,4.830225553
"(10, 'split2')",0.233888265,0.280667537,7.4704214,4.860910846
"(10, 'split3')",0.195889972,0.283633497,7.792182638,4.86442351
"(10, 'split4')",0.343050075,0.368918348,6.895597262,4.592128746
"(10, 'split5')",0.219811416,0.284928496,7.593934479,4.890348815
"(10, 'split6')",0.314643939,0.315921181,7.088186931,4.906301204
"(10, 'split7')",0.266618104,0.320744827,7.134802209,4.844675879
"(10, 'split8')",0.208522556,0.223915508,7.554816218,4.867118985
"(10, 'split9')",0.247519495,0.303288504,7.483161266,4.627184642
"(10, 'mean')",0.259425114,0.300926103,7.340257725,4.792253072
,0.04876668,0.040240349,0.287730005,0.121594003
"(15, 'split0')",0.270904756,0.334162674,7.277447001,4.70663829
"(15, 'split1')",0.351158935,0.35521595,6.716662971,4.591486054
"(15, 'split2')",0.199896488,0.264289771,7.766867388,5.004968382
"(15, 'split3')",0.166442256,0.302194656,7.97398109,4.855166547
"(15, 'split4')",0.350973924,0.417006178,6.956107057,4.462130001
"(15, 'split5')",0.273842884,0.35061709,7.453275586,4.625578812
"(15, 'split6')",0.278974397,0.288354604,7.372787583,4.916671879
"(15, 'split7')",0.319752101,0.354656377,6.947584498,4.672469162
"(15, 'split8')",0.270830381,0.301593417,7.256004592,4.600592461
"(15, 'split9')",0.265385982,0.318882214,7.396973168,4.667416326
"(15, 'mean')",0.27481621,0.328697293,7.311769093,4.710311791
,0.058825236,0.04345512,0.379211338,0.166201764
"(20, 'split0')",0.296878782,0.36266219,7.215188236,4.65820948
"(20, 'split1')",0.378887796,0.380382904,6.428219782,4.5219493
"(20, 'split2')",0.192243179,0.276564223,7.856238789,5.083015763
"(20, 'split3')",0.197401392,0.31388173,7.942972598,4.86612348
"(20, 'split4')",0.394047137,0.424305116,6.611190479,4.311235
"(20, 'split5')",0.297302308,0.352804422,7.271064897,4.571979726
"(20, 'split6')",0.31628837,0.343830848,7.119017376,4.621186129
"(20, 'split7')",0.291426308,0.351428716,7.167708052,4.727549457
"(20, 'split8')",0.383571023,0.387033365,6.502016937,4.512961483
"(20, 'split9')",0.270752301,0.345109778,7.408425223,4.623929731
"(20, 'mean')",0.30187986,0.353800329,7.152204237,4.649813955
,0.070997808,0.040278156,0.521286648,0.210245439
"(30, 'split0')",0.33621276,0.392954366,7.112262272,4.598479497
"(30, 'split1')",0.367685236,0.381878695,6.25671088,4.474308214
"(30, 'split2')",0.186611346,0.309116188,8.062531321,5.057574371
"(30, 'split3')",0.344124142,0.394279217,7.149599992,4.68892262
"(30, 'split4')",0.38899062,0.425615808,6.607857091,4.22331553
"(30, 'split5')",0.387719289,0.395574046,6.662196442,4.375098536
"(30, 'split6')",0.341172568,0.364854962,7.190351694,4.66320276
"(30, 'split7')",0.332716368,0.368541612,7.133106149,4.726656499
"(30, 'split8')",0.41842429,0.423075973,6.41564839,4.371619548
"(30, 'split9')",0.413805088,0.415040729,6.347616524,4.353704228
"(30, 'mean')",0.351746171,0.38709316,6.893788075,4.55328818
,0.066060053,0.034422277,0.546964766,0.24417432
"(40, 'split0')",0.377370181,0.452479433,7.009548549,4.395497878
"(40, 'split1')",0.423997961,0.424605465,6.069417975,4.253197228
"(40, 'split2')",0.271298722,0.363284633,7.457527933,4.715044778
"(40, 'split3')",0.404300973,0.422952098,6.727560571,4.544793771
"(40, 'split4')",0.404613926,0.454584815,6.656417265,4.183868298
"(40, 'split5')",0.39440223,0.394902926,6.543808861,4.367631736
"(40, 'split6')",0.366534181,0.387579406,7.008107756,4.614863974
"(40, 'split7')",0.36225156,0.391253942,7.039926179,4.651370855
"(40, 'split8')",0.404978296,0.413951214,6.617317117,4.383487299
"(40, 'split9')",0.396809479,0.396864939,6.395376653,4.405569095
"(40, 'mean')",0.380655751,0.410245887,6.752500886,4.451532491
,0.042896543,0.029107591,0.391138777,0.174053609
"(50, 'split0')",0.415081681,0.473015822,6.608645483,4.304287012
"(50, 'split1')",0.456435089,0.460629574,5.974411786,4.08926543
"(50, 'split2')",0.310041683,0.383550505,7.299926602,4.672725602
"(50, 'split3')",0.419994796,0.424011774,6.498918084,4.561501317
"(50, 'split4')",0.4114899,0.443144748,6.696067203,4.221699053
"(50, 'split5')",0.419797482,0.422771136,6.297667061,4.18414991
"(50, 'split6')",0.347682435,0.351069339,6.841049843,4.614818163
"(50, 'split7')",0.369729952,0.406195786,6.96042555,4.589702905
"(50, 'split8')",0.408581321,0.412961518,6.667857449,4.314772651
"(50, 'split9')",0.400978126,0.402885375,6.533385695,4.426238931
"(50, 'mean')",0.395981247,0.418023558,6.637835476,4.397916097
,0.042157272,0.03589311,0.361312845,0.204016383
