,Mean R2,Mean R2 - Pearson,Mean RMSE,Mean MAE
"(5, 'split0')",0.243088959,0.298212267,7.290213462,4.909073924
"(5, 'split1')",0.120092453,0.209500006,7.939146536,5.096281614
"(5, 'split2')",-0.009417461,0.157344501,8.681872728,5.577157276
"(5, 'split3')",0.172588214,0.258756287,7.845143426,4.875846515
"(5, 'split4')",0.199040661,0.237080086,7.596572697,5.048948203
"(5, 'split5')",0.055351034,0.161687031,8.356860507,5.465596684
"(5, 'split6')",0.305000364,0.316213119,7.128892439,4.779516538
"(5, 'split7')",0.139311997,0.260022677,7.849781417,5.112315401
"(5, 'split8')",0.066844817,0.169292571,8.171838859,4.924830207
"(5, 'split9')",0.201172918,0.270522129,7.631280545,4.832759416
"(5, 'mean')",0.149307396,0.233863068,7.849160262,5.062232578
,0.094584227,0.057162501,0.472097498,0.266949264
"(10, 'split0')",0.263159171,0.322482725,7.262939122,4.732201715
"(10, 'split1')",0.302836541,0.323305576,7.117259615,4.669874077
"(10, 'split2')",0.177215218,0.21510376,7.741803942,5.109219859
"(10, 'split3')",0.201184522,0.30190032,7.766487002,4.877088927
"(10, 'split4')",0.347388111,0.399899239,6.872792714,4.464240586
"(10, 'split5')",0.19995223,0.312513272,7.689976447,4.845029489
"(10, 'split6')",0.303639004,0.312626655,7.1448687,4.730328571
"(10, 'split7')",0.239493067,0.318860716,7.265548971,4.784865797
"(10, 'split8')",0.157841974,0.217744809,7.792941725,4.924079314
"(10, 'split9')",0.20540691,0.275957376,7.689708377,4.788712762
"(10, 'mean')",0.239811675,0.300039445,7.434432661,4.79256411
,0.062419572,0.054011473,0.336906095,0.169280941
"(15, 'split0')",0.231026508,0.326946023,7.47381947,4.845955552
"(15, 'split1')",0.378776545,0.38242019,6.572162829,4.489522052
"(15, 'split2')",0.166887599,0.252041173,7.92546224,5.066145974
"(15, 'split3')",0.169926576,0.288261338,7.957297784,4.90040243
"(15, 'split4')",0.334029825,0.40487917,7.046323441,4.470485873
"(15, 'split5')",0.249556378,0.33635504,7.576888845,4.708001919
"(15, 'split6')",0.273838213,0.301429338,7.399000795,4.807446175
"(15, 'split7')",0.287219436,0.366236649,7.111777444,4.64644914
"(15, 'split8')",0.235762585,0.285186984,7.428436479,4.639993795
"(15, 'split9')",0.223801361,0.286487246,7.60345318,4.727568386
"(15, 'mean')",0.255082503,0.323024315,7.409462251,4.73019713
,0.066590228,0.049180525,0.416094485,0.183249445
"(20, 'split0')",0.261294129,0.394545854,7.395513587,4.70784515
"(20, 'split1')",0.41399982,0.415373563,6.243880178,4.325348554
"(20, 'split2')",0.153225083,0.254808909,8.043746048,5.184796032
"(20, 'split3')",0.20160959,0.299089442,7.92212187,4.907622698
"(20, 'split4')",0.395743316,0.41693696,6.601930998,4.304063055
"(20, 'split5')",0.312077816,0.364935605,7.194215033,4.540547025
"(20, 'split6')",0.288185752,0.325496666,7.263850676,4.644878871
"(20, 'split7')",0.278824648,0.370213672,7.231164372,4.68748384
"(20, 'split8')",0.354878369,0.355901545,6.651619162,4.557491913
"(20, 'split9')",0.237899755,0.313962475,7.573461438,4.70398668
"(20, 'mean')",0.289773828,0.351126469,7.212150336,4.656406382
,0.082624055,0.052646348,0.576121599,0.259329553
"(30, 'split0')",0.301521483,0.390154093,7.295748257,4.620643088
"(30, 'split1')",0.425459754,0.426144977,5.964027725,4.171717822
"(30, 'split2')",0.132118396,0.263680752,8.328227901,5.323672492
"(30, 'split3')",0.339440841,0.397091483,7.175080552,4.699972722
"(30, 'split4')",0.408795213,0.453870016,6.49988502,4.138940313
"(30, 'split5')",0.378116215,0.386287655,6.714238467,4.420700807
"(30, 'split6')",0.308249788,0.349685953,7.36781897,4.685082401
"(30, 'split7')",0.322045402,0.367905204,7.189914996,4.6857832
"(30, 'split8')",0.415452478,0.420898098,6.432019263,4.255271811
"(30, 'split9')",0.390150655,0.397150063,6.474421062,4.422224097
"(30, 'mean')",0.342135023,0.385286829,6.944138221,4.542400876
,0.086716455,0.051965334,0.668855676,0.348669757
"(40, 'split0')",0.345513415,0.433507133,7.186632956,4.482199769
"(40, 'split1')",0.441238682,0.445140363,5.9778939,4.167749833
"(40, 'split2')",0.259874431,0.369714746,7.515758677,4.756325524
"(40, 'split3')",0.425820233,0.44350571,6.604928395,4.48587972
"(40, 'split4')",0.397910278,0.461798774,6.693785768,4.18535023
"(40, 'split5')",0.394285296,0.394723163,6.544440598,4.354779741
"(40, 'split6')",0.356721456,0.38090198,7.062178831,4.644252247
"(40, 'split7')",0.356183287,0.390507853,7.07333986,4.669234545
"(40, 'split8')",0.397300711,0.407878658,6.659872019,4.446811736
"(40, 'split9')",0.395018952,0.398681623,6.404861719,4.391317596
"(40, 'mean')",0.376986674,0.412636,6.772369273,4.458390094
,0.051139464,0.031161263,0.442704683,0.195356835
"(50, 'split0')",0.384158759,0.455437065,6.781085619,4.340436493
"(50, 'split1')",0.442970438,0.454169512,6.047955237,4.088132736
"(50, 'split2')",0.307709078,0.408518713,7.312255954,4.668605005
"(50, 'split3')",0.405710843,0.408852022,6.578456709,4.652598884
"(50, 'split4')",0.410139157,0.446648497,6.703747175,4.184456646
"(50, 'split5')",0.39904344,0.402654594,6.40931229,4.229499936
"(50, 'split6')",0.314272544,0.317186805,7.0140521,4.792919551
"(50, 'split7')",0.389395443,0.437500931,6.850976515,4.500644459
"(50, 'split8')",0.409108019,0.416417261,6.664887705,4.377939709
"(50, 'split9')",0.392173487,0.403990917,6.581225573,4.393541486
"(50, 'mean')",0.385468121,0.415137632,6.694395488,4.422877491
,0.04248589,0.040276792,0.340315135,0.229032436
